"","time","x","y","bs","pv","npv","ue","spatial_ref"
"1",1987-09-02 00:09:14.996578,644025,-2587350,66.6,2.85,29.1,6.7,3577
"2",1987-09-18 00:09:38.59746,644025,-2587350,64,3.25,31.2,6.75,3577
"3",1987-10-04 00:09:59.184148,644025,-2587350,66.8,3.9,27.8,6.95,3577
"4",1987-10-20 00:10:15.979158,644025,-2587350,67.7,3.35,27.45,6.4,3577
"5",1987-11-21 00:10:54.674476,644025,-2587350,80.95,1.05,16.5,4.1,3577
"6",1987-12-07 00:11:08.552098,644025,-2587350,72.3,5.6,20.5,6.7,3577
"7",1987-12-23 00:11:23.132617,644025,-2587350,55.85,2,40.7,6.6,3577
"8",1988-01-24 00:11:57.05069,644025,-2587350,60,2.1,36.5,9.6,3577
"9",1988-02-09 00:12:15.145884,643995,-2587359.54545455,68.0909090909091,2.63636363636364,27.7272727272727,5,3577
"10",1988-02-25 00:12:28.132421,644025,-2587350,74.75,7.25,16.3,6.1,3577
"11",1988-03-12 00:12:37.307863,644025,-2587350,77.65,5.75,15.25,5.65,3577
"12",1988-03-28 00:12:45.288906,643997.5,-2587342.5,47.25,0.333333333333333,51.1666666666667,3.91666666666667,3577
"13",1988-04-13 00:12:49.268656,644025,-2587350,63.9,6.45,28,6.45,3577
"14",1988-04-29 00:12:54.676876,644025,-2587350,60.85,9.15,28.35,7.15,3577
"15",1988-05-15 00:13:06.658601,644025,-2587350,41.2,5.3,51.85,7.1,3577
"16",1988-06-16 00:13:18.630119,644025,-2587350,60.15,11.8,26.55,7.1,3577
"17",1988-07-18 00:13:25.806495,644025,-2587350,63.05,8.65,26.65,6.5,3577
"18",1988-08-03 00:13:27.39426,644025,-2587350,66.8,6.65,25,6.45,3577
"19",1988-08-19 00:13:27.757488,644025,-2587350,54.55,7.4,36.6,7.35,3577
"20",1988-09-20 00:13:27.232919,644025,-2587350,70.05,6.8,21.5,6.4,3577
"21",1988-11-07 00:13:44.020645,644025,-2587350,68.7,5.6,24.25,6.2,3577
"22",1988-11-23 00:13:43.668999,644005,-2587330,44.1666666666667,0,55.1666666666667,6.5,3577
"23",1988-12-25 00:13:02.355515,644025,-2587350,53.1,0.7,44.8,5.95,3577
"24",1989-01-26 00:12:41.154102,644025,-2587350,66.45,3.45,28.35,6.2,3577
"25",1989-02-11 00:12:43.232864,644025,-2587350,71.35,4,23.1,6.1,3577
"26",1989-03-31 00:11:42.182786,644025,-2587350,74.15,7.6,16.9,5.85,3577
"27",1989-04-16 00:11:47.458575,644025,-2587350,70.95,4.3,23.05,6.05,3577
"28",1989-05-02 00:11:30.957623,644025,-2587350,70.6,4.85,23,6.15,3577
"29",1989-05-18 00:11:10.169627,644025,-2587350,69.5,6.95,21.85,6.15,3577
"30",1989-07-05 00:10:18.693766,644025,-2587350,75.8,7.55,15,6.1,3577
"31",1989-07-21 00:09:58.245666,644025,-2587350,76.2,5.65,16.55,5.95,3577
"32",1989-08-06 00:09:39.513486,644025,-2587350,77.4,5.3,15.7,6.1,3577
"33",1989-08-22 00:09:17.781872,644025,-2587350,79.6,5.8,13.15,5.85,3577
"34",1989-09-07 00:08:56.529703,644025,-2587350,77.6,5.4,15.4,6,3577
"35",1989-09-23 00:08:27.603199,644025,-2587350,74.45,5.4,18.45,6.05,3577
"36",1989-11-10 00:07:10.076136,644025,-2587350,77,5.25,16.25,5.8,3577
"37",1989-11-26 00:06:41.441571,644030,-2587385,0,0,100,8.66666666666667,3577
"38",1989-12-12 00:06:17.653547,644025,-2587350,71.9,10.65,15.95,6.05,3577
"39",1989-12-28 00:05:48.75117,644025,-2587350,73.6,7.7,17.25,6.15,3577
"40",1990-02-14 00:04:15.829499,644025,-2587350,77.05,6.2,15.25,5.65,3577
"41",1990-03-02 00:03:42.988899,644025,-2587350,70.05,6.7,21.75,5.9,3577
"42",1990-03-18 00:03:11.922432,644025,-2587350,74,5.55,18.95,5.35,3577
"43",1990-05-05 00:02:52.151962,644025,-2587350,72.75,8.3,17.35,5.95,3577
"44",1990-06-06 00:02:54.535232,644025,-2587350,72.75,7.5,18.25,5.75,3577
