"","time","x","y","bs","pv","npv","ue","spatial_ref"
"1",1987-09-12 23:53:22.72029,797895,-3516045,29.64,38.08,30.96,10.6,3577
"2",1987-09-19 23:59:43.407684,797895,-3516045,27.6,33.04,37.8,10.6,3577
"3",1987-09-28 23:53:44.340672,797895,-3516045,29.56,30.24,38.72,10.12,3577
"4",1987-10-05 00:00:03.691078,797895,-3516045,38.24,22.52,38,9.76,3577
"5",1987-10-30 23:54:18.607685,797895,-3516045,41.04,16.84,40.92,8.36,3577
"6",1987-11-07 00:00:39.782488,797862.692307692,-3516033.46153846,59.7692307692308,3.38461538461538,35.3846153846154,5.15384615384615,3577
"7",1987-12-01 23:54:55.91276,797895,-3516045,46.96,13.68,37.88,6.12,3577
"8",1987-12-25 00:01:27.516696,797895,-3516045,32.2,11.52,55,8.44,3577
"9",1988-01-02 23:55:25.521009,797895,-3516045,37.6,14.76,46.2,8.4,3577
"10",1988-01-10 00:01:43.800219,797895,-3516045,39.84,14.4,44.44,8.48,3577
"11",1988-01-18 23:55:42.877238,797895,-3516045,48.2,16.12,34.36,7.88,3577
"12",1988-01-26 00:02:01.772412,797895,-3516045,46.88,14.2,37.4,8.12,3577
"13",1988-02-11 00:02:19.253044,797895,-3516045,37.36,15.2,46.12,8.32,3577
"14",1988-02-27 00:02:31.226184,797895,-3516045,40.92,15.48,42.12,8.04,3577
"15",1988-03-06 23:56:25.591304,797895,-3516045,42.8,16.48,39.2,7.68,3577
"16",1988-03-14 00:02:40.306737,797895,-3516045,43.64,17.16,37.72,8.04,3577
"17",1988-03-22 23:56:34.058772,797895,-3516045,45.56,14.6,38.32,6.6,3577
"18",1988-04-07 23:56:40.006228,797895,-3516045,33,28.72,37,8.68,3577
"19",1988-04-15 00:02:51.356096,797895,-3516045,27.08,33.68,38.08,9.88,3577
"20",1988-04-23 23:56:44.795877,797895,-3516045,29.36,38.92,30.44,10.24,3577
"21",1988-05-01 00:02:58.861272,797895,-3516045,30.08,41.84,26.64,9.84,3577
"22",1988-05-09 23:56:55.163082,797895,-3516045,26.76,56.32,15.76,11.4,3577
"23",1988-06-02 00:03:16.082923,797895,-3516045,19.2,56.68,22.88,12.76,3577
"24",1988-06-18 00:03:21.344186,797895,-3516045,51.4,42.28,5.64,8.8,3577
"25",1988-06-26 23:57:13.161802,797895,-3516045,15.6,52.68,30.52,13.24,3577
"26",1988-07-12 23:57:16.342741,797895,-3516045,14.84,54.24,29.24,12.6,3577
"27",1988-07-20 00:03:27.959087,797895,-3516045,8.52,54.12,35.88,13.44,3577
"28",1988-08-05 00:03:29.26607,797895,-3516045,10.68,48.24,39.48,12.4,3577
"29",1988-08-13 23:57:17.717574,797867.5,-3516067.5,64.25,31.5833333333333,3,5.08333333333333,3577
"30",1988-08-21 00:03:30.817515,797895,-3516045,14.88,39.68,43.84,11.16,3577
"31",1988-08-29 23:57:22.681491,797895,-3516045,23.28,34.92,40.52,9.56,3577
"32",1988-09-06 00:03:33.596688,797895,-3516045,21.48,31.08,46.16,10.08,3577
"33",1988-09-14 23:57:19.692168,797895,-3516045,25.36,27.24,45.96,9.36,3577
"34",1988-09-22 00:03:28.503203,797895,-3516045,26.8,24.16,47.6,9.32,3577
"35",1988-09-30 23:57:13.486828,797895,-3516045,29.6,22.08,46.92,8.72,3577
"36",1988-10-08 00:03:23.402072,797895,-3516045,26.4,20.52,51.84,8.72,3577
"37",1988-10-16 23:57:08.54862,797895,-3516045,28.56,18.48,51.48,8.08,3577
"38",1988-10-24 00:03:18.795128,797895,-3516045,27.32,10.56,60.92,7.64,3577
"39",1988-11-01 23:57:11.43363,797895,-3516045,28.2,14.56,55.84,8.08,3577
"40",1988-11-09 00:03:21.46122,797895,-3516045,25.96,16.72,56.12,8.52,3577
"41",1988-11-25 00:03:21.906481,797895,-3516045,26.04,15.56,57.12,8.24,3577
"42",1988-12-11 00:03:10.627785,797895,-3516045,34.96,14.48,49.24,9.16,3577
"43",1988-12-27 00:03:05.255138,797895,-3516045,38.64,13.12,46.8,9.76,3577
"44",1989-01-04 23:56:53.952833,797895,-3516045,38.04,12.44,48.32,9,3577
"45",1989-01-12 00:02:57.996322,797895,-3516045,33.04,14.36,51.36,8.8,3577
"46",1989-01-20 23:56:34.01365,797895,-3516045,32.88,12.32,53.64,8.44,3577
"47",1989-01-28 00:02:44.799709,797895,-3516045,31.52,12.12,55.16,8.84,3577
"48",1989-02-05 23:56:36.938097,797895,-3516045,33.92,13.4,51.2,8.08,3577
"49",1989-02-13 00:02:46.143447,797895,-3516045,36.96,10.76,50.76,6.84,3577
"50",1989-02-21 23:56:29.629429,797895,-3516045,33.28,13.16,52.16,8.16,3577
"51",1989-03-01 00:02:32.475015,797895,-3516045,34.08,12.76,51.84,8.48,3577
"52",1989-03-17 00:01:54.324663,797895,-3516045,41.56,12.88,44.16,10.72,3577
"53",1989-03-25 23:55:31.114367,797895,-3516045,39.24,17.04,42.24,9.88,3577
"54",1989-04-02 00:01:48.193917,797895,-3516045,45.16,20.16,33.12,8.32,3577
"55",1989-04-10 23:55:43.488629,797895,-3516045,19.28,35,44.28,11.8,3577
"56",1989-04-18 00:01:45.810907,797895,-3516045,23.6,39.8,35.28,11.64,3577
"57",1989-05-04 00:01:31.781416,797895,-3516045,14.88,54.4,29.24,12.96,3577
"58",1989-05-20 00:01:11.013003,797895,-3516045,13.08,54.32,31.12,13.32,3577
"59",1989-07-07 00:00:17.377771,797895,-3516045,7.84,56,34.76,14.24,3577
"60",1989-07-31 23:53:37.522523,797895,-3516045,7.2,55.16,36.04,13.88,3577
"61",1989-08-07 23:59:38.93472,797895,-3516045,4.64,53.96,39.96,14.04,3577
"62",1989-08-16 23:53:13.227392,797895,-3516045,10.24,54.4,33.8,13,3577
"63",1989-09-01 23:52:55.734472,797895,-3516045,15.12,54.92,28.2,11.56,3577
"64",1989-09-08 23:58:54.256025,797895,-3516045,34.44,46.64,17.32,19.56,3577
"65",1989-09-17 23:52:22.790893,797895,-3516045,13.92,53,31.4,11.8,3577
"66",1989-09-24 23:58:29.76863,797895,-3516045,45.92,40.76,12.16,8.28,3577
"67",1989-10-03 23:52:13.885339,797895,-3516045,21.16,46.6,30.72,10.88,3577
"68",1989-10-10 23:58:08.35331,797895,-3516045,18.72,43.32,36.28,11.2,3577
"69",1989-11-11 23:57:06.678606,797895,-3516045,19.2,28.84,50.44,9.68,3577
"70",1989-11-20 23:50:31.324942,797895,-3516045,20.6,27.32,50.64,9,3577
"71",1989-11-27 23:56:42.223919,797895,-3516045,29.72,21.4,47.36,7,3577
"72",1989-12-13 23:56:16.68643,797895,-3516045,23.16,21.36,54.2,9.32,3577
"73",1989-12-22 23:49:49.423823,797895,-3516045,22.24,17.8,58.68,8.92,3577
"74",1989-12-29 23:55:46.834046,797895,-3516045,19.76,18.48,60.44,9.4,3577
"75",1990-02-24 23:47:46.899116,797895,-3516045,27.04,15.6,56.16,9.64,3577
"76",1990-03-03 23:53:41.351817,797902.5,-3516056.25,24.625,17.375,57.125,16.25,3577
"77",1990-03-12 23:47:12.79225,797895,-3516045,24.28,21.52,52.8,9.48,3577
"78",1990-03-28 23:46:42.001856,797895,-3516045,22.84,23.28,52.6,9.4,3577
"79",1990-04-04 23:52:47.84023,797895,-3516045,20.8,23.08,54.68,10.08,3577
"80",1990-04-13 23:46:47.647041,797895,-3516045,23.24,26.24,49.16,9.32,3577
"81",1990-04-29 23:46:40.446496,797895,-3516045,25.96,22.56,50.12,10.04,3577
"82",1990-05-06 23:52:56.700315,797895,-3516045,26.76,16.28,55.48,16.04,3577
"83",1990-06-07 23:52:56.448114,797895,-3516045,19.16,35.16,44.4,12.48,3577
"84",1990-06-23 23:52:55.556354,797895,-3516045,19.72,37.28,41.64,12.6,3577
"85",1990-07-02 23:46:43.811294,797895,-3516045,11.8,44.04,42.72,14.72,3577
"86",1990-07-09 23:52:53.672521,797895,-3516045,18.44,43.64,36.48,12.08,3577
"87",1990-07-18 23:46:38.912311,797895,-3516045,14.88,48.6,35.04,13.84,3577
"88",1990-07-25 23:52:49.541283,797895,-3516045,13.32,49.32,36.12,14.04,3577
"89",1990-08-03 23:46:35.010162,797895,-3516045,16.64,53.24,28.8,12.68,3577
"90",1990-08-19 23:46:31.894776,797895,-3516045,15.8,48.84,34.12,12,3577
"91",1990-08-26 23:52:39.534425,797895,-3516045,28.72,34.8,34.92,13.2,3577
"92",1990-09-20 23:46:21.718488,797895,-3516045,24.88,35.28,38.4,10.28,3577
"93",1990-09-27 23:52:27.756062,797895,-3516045,26.08,28.64,43.84,10.36,3577
"94",1990-10-06 23:46:09.297391,797895,-3516045,28.6,23.6,46.44,9.28,3577
"95",1990-10-22 23:46:07.079554,797895,-3516045,28.72,20.36,49.56,8.88,3577
"96",1990-10-29 23:52:12.727461,797895,-3516045,29.2,16.68,52.8,8.76,3577
