"","time","x","y","bs","pv","npv","ue","spatial_ref"
"1",1987-09-02 00:12:26.48427,309660,-3790560,20.8125,46.125,31.8125,17.9375,3577
"2",1987-09-18 00:12:50.282238,309660,-3790560,15,45.5,38.125,17.1875,3577
"3",1987-09-25 00:19:10.554566,309660,-3790560,17.3125,44.375,36.9375,16.5,3577
"4",1987-10-20 00:13:27.700442,309660,-3790560,15.1875,42.4375,41.1875,15.8125,3577
"5",1987-10-27 00:19:44.095305,309660,-3790560,17.3125,38.25,43.1875,16.25,3577
"6",1987-11-12 00:20:06.646662,309660,-3790560,11.5,41.625,45.3125,16.25,3577
"7",1987-11-28 00:20:23.762953,309660,-3790560,28.125,32.375,38.4375,13.625,3577
"8",1987-12-23 00:14:34.616833,309660,-3790560,8.375,42.8125,47.625,15.8125,3577
"9",1987-12-30 00:20:53.312808,309660,-3790560,8,41.25,49.75,16.8125,3577
"10",1988-02-09 00:15:26.824775,309660,-3790560,7.0625,45.4375,46.1875,16.5,3577
"11",1988-02-25 00:15:39.642607,309660,-3790560,9.625,42.9375,46.125,16.5625,3577
"12",1988-04-20 00:22:14.391825,309660,-3790560,10.625,41.9375,45.9375,18.1875,3577
"13",1988-04-29 00:16:06.27998,309660,-3790560,14.125,40.3125,44.3125,17.9375,3577
"14",1988-05-31 00:16:24.796751,309660,-3790560,6.75,51.0625,40.75,20.1875,3577
"15",1988-07-18 00:16:37.322822,309660,-3790560,7.9375,48.125,42.4375,21.375,3577
"16",1988-08-19 00:16:39.288468,309660,-3790560,18.25,40.1875,39.9375,19.6875,3577
"17",1988-09-27 00:22:45.324127,309660,-3790560,15.375,41.75,41.3125,16.875,3577
"18",1988-10-06 00:16:33.777339,309660,-3790560,14.5,40.625,43.5,15,3577
"19",1988-10-13 00:22:39.006799,309660,-3790560,14,37.4375,47.3125,15.4375,3577
"20",1988-12-09 00:16:21.026909,309660,-3790560,11.6875,43.625,43.1875,16.0625,3577
"21",1988-12-25 00:16:14.035906,309660,-3790560,0,17.4375,82.4375,4,3577
"22",1989-01-17 00:22:11.861602,309660,-3790560,13.5,41.5625,43.375,15.75,3577
"23",1989-01-26 00:15:52.850156,309660,-3790560,9.5,45.0625,43.9375,16.25,3577
"24",1989-03-31 00:14:53.781235,309660,-3790560,11.8125,42.375,44.5,17.5625,3577
"25",1989-04-23 00:20:58.919921,309660,-3790560,10.25,48.625,39.5625,19.0625,3577
"26",1989-05-18 00:14:21.79012,309660,-3790560,11.75,49.875,36.875,17.8125,3577
"27",1989-06-03 00:14:10.873243,309660,-3790560,10.4375,50.3125,37.75,19.8125,3577
"28",1989-07-05 00:13:30.191048,309660,-3790560,11.3125,50.5625,36.8125,20.8125,3577
"29",1989-07-21 00:13:09.76847,309660,-3790560,6.3125,49.1875,43.125,21.125,3577
"30",1989-08-06 00:12:51.174467,309660,-3790560,11.6875,54.8125,32.25,21.5625,3577
"31",1989-08-13 00:18:51.826539,309660,-3790560,8.4375,49.6875,40.375,22.125,3577
"32",1989-08-22 00:12:29.488376,309660,-3790560,31.875,31.3125,35.75,16,3577
"33",1989-08-29 00:18:32.338234,309642,-3790569,30.8,40.6,27.4,21.9,3577
"34",1989-09-23 00:11:39.165826,309660,-3790560,13.75,43.9375,40.75,17.25,3577
"35",1989-10-09 00:11:24.211523,309705,-3790530,2,47,50,25,3577
"36",1989-11-26 00:09:53.069178,309660,-3790560,14.0625,36.375,48.4375,14.75,3577
"37",1989-12-03 00:15:55.732454,309660,-3790560,27.6875,28.0625,43.125,14.0625,3577
"38",1989-12-12 00:09:29.405225,309660,-3790560,16.75,34.0625,48.0625,13.9375,3577
"39",1989-12-19 00:15:28.10957,309660,-3790560,0,4.75,93.25,2.25,3577
"40",1989-12-28 00:09:00.387282,309660,-3790560,14.4375,35.1875,49.3125,15.4375,3577
"41",1990-03-02 00:06:54.499712,309660,-3790560,25.6875,25.4375,47.5625,12.8125,3577
"42",1990-04-03 00:05:56.756272,309660,-3790560,8.25,42.0625,48.5,17.3125,3577
"43",1990-06-06 00:06:06.134713,309660,-3790560,13.375,43.9375,41.1875,20.875,3577
"44",1990-06-22 00:06:04.667966,309660,-3790560,12.125,46.5,40.3125,19.375,3577
"45",1990-08-25 00:05:49.284808,309615,-3790560,18.75,37,43.25,17.25,3577
"46",1990-09-26 00:05:39.50113,309660,-3790560,16.0625,39.75,43,15.5,3577
"47",1990-10-03 00:11:41.464362,309660,-3790560,21.6875,33.75,43.0625,21.5,3577
"48",1990-10-28 00:05:24.464791,309660,-3790560,16.4375,42.1875,40.1875,16.125,3577
"49",1991-01-16 00:06:11.633718,309660,-3790560,92.6875,0,6.25,8.5625,3577
"50",1991-02-01 00:06:29.339977,309660,-3790560,86.25,0,12.5625,9.1875,3577
"51",1991-02-17 00:06:47.287571,309660,-3790560,85.75,0,12.8125,8.5625,3577
"52",1991-04-22 00:07:55.061098,309660,-3790560,66.8125,1.6875,30.1875,8.3125,3577
"53",1991-06-09 00:08:43.181896,309660,-3790560,0,1.6875,89.125,3.8125,3577
"54",1991-07-27 00:09:23.20414,309660,-3790560,0,8.3125,92.75,7.0625,3577
"55",1991-08-12 00:09:26.108482,309660,-3790560,38,8.25,52.375,11.9375,3577
"56",1991-10-31 00:10:02.679381,309660,-3790560,54.9375,9.125,34.1875,7.75,3577
"57",1991-11-16 00:10:07.775008,309660,-3790560,51.125,10.8125,36.5,8.8125,3577
"58",1991-12-02 00:10:20.867381,309660,-3790560,55.625,12.75,30.3125,7.5,3577
"59",1991-12-18 00:10:16.895216,309660,-3790560,43.25,9.1875,46.375,6.3125,3577
"60",1992-01-03 00:10:10.180237,309660,-3790560,46.8125,14.375,37.375,8.6875,3577
"61",1992-02-04 00:10:12.351564,309660,-3790560,29.4375,20.9375,48.5625,11.3125,3577
"62",1992-02-20 00:10:04.006345,309663,-3790557,55.8,13.7333333333333,29.4666666666667,12.1333333333333,3577
"63",1992-04-24 00:09:45.81664,309660,-3790560,26.5625,32.8125,39.375,11.6875,3577
"64",1992-05-26 00:09:30.679842,309660,-3790560,12.75,39.9375,46.25,13.625,3577
"65",1992-06-27 00:09:09.366577,309657,-3790557,24.5333333333333,39.4666666666667,34.7333333333333,22.6,3577
"66",1992-07-13 00:08:57.279833,309660,-3790560,14.875,51.1875,32.5,16.125,3577
"67",1992-07-29 00:08:44.668884,309660,-3790560,26,49.25,23.625,13.25,3577
"68",1993-08-08 00:14:29.182568,309660,-3790560,22.5,46.25,29.8125,14.375,3577
"69",1993-10-27 00:14:13.255743,309660,-3790560,30.3125,44.25,24.125,11.4375,3577
"70",1993-12-30 00:13:44.627534,309660,-3790560,22.625,39.25,36.8125,12.25,3577
"71",1994-01-31 00:13:19.723297,309660,-3790560,20.4375,40.125,38.0625,12,3577
"72",1994-03-13 00:06:33.377662,309660,-3790560,21.5,39.8125,37.375,12.25,3577
"73",1994-04-21 00:12:04.018113,309660,-3790560,18.3125,43.75,36.5625,13.5625,3577
"74",1994-04-30 00:05:43.957526,309660,-3790560,25.1875,41.125,32.375,12.75,3577
"75",1994-05-16 00:05:26.178557,309660,-3790560,58.6875,22.8125,17.5625,18.4375,3577
"76",1994-06-01 00:05:09.026366,309660,-3790560,5.125,47.875,45.5,19,3577
"77",1994-06-17 00:04:48.399625,309660,-3790560,9.1875,54.5,34.875,15.625,3577
"78",1994-08-04 00:03:30.019893,309660,-3790560,10.625,48.375,39.6875,15.8125,3577
"79",1994-08-20 00:03:08.089157,309660,-3790560,16.5,45,37.1875,14.875,3577
"80",1994-08-27 00:09:08.825366,309660,-3790560,14.375,44.3125,40.125,15.0625,3577
"81",1994-09-21 00:02:19.233389,309660,-3790560,22.5,42.25,33.875,12.375,3577
"82",1994-10-23 00:01:19.197644,309660,-3790560,21.9375,43.125,33.875,12.125,3577
"83",1994-11-15 00:06:41.447401,309660,-3790560,30.5,36.25,31.8125,11.5625,3577
"84",1995-01-02 00:05:09.984347,309615,-3790560,44.75,27.75,26.5,8,3577
"85",1995-01-10 23:58:39.936773,309660,-3790560,25.375,36.875,36.375,11.4375,3577
"86",1995-02-19 00:03:17.555471,309660,-3790560,24.4375,42.375,31.75,11,3577
"87",1995-03-07 00:02:39.896543,309660,-3790560,21.3125,44.5625,32.9375,12.4375,3577
"88",1995-03-15 23:56:06.777962,309660,-3790560,22.5625,41.25,34.9375,12.375,3577
"89",1995-04-16 23:54:48.225654,309660,-3790560,35.4375,30.8125,32.6875,10.5625,3577
"90",1995-05-18 23:53:22.412575,309660,-3790560,0,98.4375,10.5,17.1875,3577
"91",1995-06-19 23:51:53.635272,309660,-3790560,16.625,40.75,41.625,15.125,3577
"92",1995-08-29 23:54:51.049522,309660,-3790560,26.5625,44.1875,27.8125,12.9375,3577
"93",1995-09-14 23:54:04.04536,309660,-3790560,19.125,47,32.3125,15.5,3577
"94",1995-10-16 23:52:22.339333,309660,-3790560,33.125,37.8125,28.0625,10.5,3577
"95",1995-10-25 23:45:41.128618,309660,-3790560,22.1875,43.0625,33.6875,12.6875,3577
"96",1995-11-01 23:51:37.672662,309660,-3790560,22.75,37,39,10.6875,3577
"97",1995-11-26 23:45:44.096741,309660,-3790560,21.125,40.0625,37.5,12.25,3577
"98",1995-12-12 23:46:47.825123,309660,-3790560,23.3125,39.5625,35.8125,11.625,3577
"99",1996-02-14 23:51:20.435462,309660,-3790560,17.4375,42.5625,38.75,12.875,3577
"100",1996-03-01 23:52:24.573202,309660,-3790560,20.875,41.75,36,12.375,3577
"101",1996-03-17 23:53:27.167799,309660,-3790560,21.0625,40.125,37.5,12.625,3577
"102",1996-05-04 23:56:24.647068,309660,-3790560,15.375,43.4375,39.625,14.875,3577
"103",1996-06-21 23:59:05.268888,309687,-3790563,26.6,51.4,20.2,24.4,3577
"104",1996-08-25 00:02:27.714546,309660,-3790560,19.0625,48.0625,31.625,13.375,3577
"105",1996-09-10 00:03:21.5171,309660,-3790560,20.375,45.6875,32.5,14.3125,3577
"106",1996-09-26 00:04:13.561589,309660,-3790560,34.0625,33.3125,31.375,15.4375,3577
"107",1996-12-31 00:08:53.707249,309660,-3790560,27.25,42.1875,29.5625,11.8125,3577
"108",1997-01-16 00:09:38.737844,309660,-3790560,22.0625,43.625,33.0625,12.3125,3577
"109",1997-02-17 00:11:02.697715,309660,-3790560,22.25,43.5,32.9375,13.25,3577
"110",1997-07-11 00:16:14.472116,309675,-3790550.45454545,31.3636363636364,35.8181818181818,31.3636363636364,21.8181818181818,3577
"111",1997-09-29 00:18:43.42876,309660,-3790560,18.625,47.0625,32.9375,14.375,3577
"112",1997-11-23 00:26:18.415367,309649.615384615,-3790563.46153846,49.1538461538462,29.6923076923077,20.3076923076923,16.8461538461538,3577
"113",1997-12-18 00:20:45.20682,309681,-3790551,22.6,28.2,49,17.2,3577
"114",1998-01-10 00:27:28.471471,309660,-3790560,17.5,38.9375,42.5,13.5,3577
"115",1998-01-26 00:27:48.69823,309660,-3790560,21.5,31.3125,46.0625,19.875,3577
"116",1998-02-27 00:28:25.64847,309660,-3790560,16.0625,37.5625,45.125,14,3577
"117",1998-03-08 00:22:23.567161,309660,-3790560,20.125,36.1875,42.375,13.875,3577
"118",1998-06-12 00:23:45.913,309615,-3790515,33,37,29,25,3577
"119",1998-07-14 00:24:09.482589,309660,-3790560,7.375,53.8125,37.1875,20.3125,3577
"120",1998-08-06 00:30:28.655841,309660,-3790560,18.5625,43.125,36.875,19.875,3577
"121",1998-08-22 00:30:38.855099,309660,-3790560,13.8125,43.9375,40.8125,14.5625,3577
"122",1998-08-31 00:24:34.595183,309660,-3790560,15.4375,43.625,39.75,15.4375,3577
"123",1998-11-19 00:24:57.446064,309660,-3790560,18.4375,41.25,39.1875,12.125,3577
"124",1998-11-26 00:31:07.586407,309660,-3790560,20.4375,37.9375,40.625,12.75,3577
"125",1999-01-13 00:31:05.841044,309660,-3790560,15.625,41.25,41.875,13.875,3577
"126",1999-01-22 00:24:56.63981,309660,-3790560,19.875,39.0625,39.875,12.25,3577
"127",1999-02-07 00:25:04.460623,309660,-3790560,17.6875,41.4375,39.75,13.1875,3577
"128",1999-03-11 00:24:59.343248,309660,-3790560,17.375,40.9375,40.375,13.25,3577
"129",1999-04-03 00:30:48.496455,309660,-3790560,15.875,41.125,41.875,14.75,3577
"130",1999-04-12 00:24:38.156828,309660,-3790560,15.875,42.75,40.1875,14.4375,3577
"131",1999-06-06 00:30:07.233045,309653.571428571,-3790564.28571429,9.21428571428571,50.0714285714286,39.0714285714286,16.7857142857143,3577
"132",1999-06-15 00:23:52.710721,309660,-3790560,4,58.75,35.875,19.4375,3577
"133",1999-06-30 00:44:46.839493,309675,-3790605,0,23.6666666666667,79.3333333333333,10.3333333333333,3577
"134",1999-07-09 00:38:41.989481,309660,-3790560,42.25,36.6875,20,11.6875,3577
"135",1999-07-17 00:23:39.232174,309660,-3790560,8.375,54,36.1875,18,3577
"136",1999-08-02 00:23:38.012316,309660,-3790560,18.875,50.375,29.625,16,3577
"137",1999-08-10 00:38:49.146365,309675,-3790605,24,49,26,15,3577
"138",1999-08-17 00:44:56.987327,309660,-3790560,8.375,50.5625,39.875,17.25,3577
"139",1999-08-18 00:23:28.686818,309661,-3790563,52.6,26.7333333333333,19.3333333333333,20.4666666666667,3577
"140",1999-09-10 00:28:57.345727,309660,-3790560,18.875,45.375,34.625,14.6875,3577
"141",1999-09-11 00:38:47.751844,309660,-3790560,16,47.1875,35.5,15.25,3577
"142",1999-09-19 00:22:32.86933,309660,-3790560,24,42.6875,32.0625,13.75,3577
"143",1999-09-26 00:28:36.301212,309660,-3790560,20.4375,40.375,37.5625,15.75,3577
"144",1999-10-21 00:22:27.469996,309660,-3790560,21.125,41.25,36.4375,12.0625,3577
"145",1999-11-13 00:27:53.93233,309660,-3790560,14.875,38.25,45.8125,12,3577
"146",1999-11-14 00:38:48.55739,309660,-3790560,17.875,42.4375,38.6875,11.6875,3577
"147",1999-11-22 00:21:20.945405,309659,-3790557,22.3333333333333,29.9333333333333,46.6,8.46666666666667,3577
"148",1999-11-30 00:38:41.679341,309660,-3790560,13.1875,39.3125,46.4375,13.75,3577
"149",1999-12-08 00:21:01.88193,309660,-3790560,12.125,41.75,45,12.875,3577
"150",2000-02-02 00:38:42.397306,309660,-3790560,11.6875,39.4375,47.9375,14.25,3577
"151",2000-02-09 00:44:49.31933,309660,-3790560,13.5625,36.3125,48.875,13.8125,3577
"152",2000-03-21 00:38:31.475448,309660,-3790560,13.125,42.625,43.125,13.1875,3577
"153",2000-03-28 00:44:38.66122,309660,-3790560,9.75,42.6875,46.1875,16.125,3577
"154",2000-04-22 00:38:13.021866,309663,-3790557,25.9333333333333,43.7333333333333,29.0666666666667,11.4666666666667,3577
"155",2000-05-08 00:38:04.763047,309660,-3790560,7.9375,48.3125,42.4375,16.4375,3577
"156",2000-05-15 00:44:13.005331,309659,-3790563,22.9333333333333,44.0666666666667,32,23.9333333333333,3577
"157",2000-05-24 00:37:52.853246,309660,-3790560,7.625,51.4375,39.5,17.5625,3577
"158",2000-07-11 00:37:25.12233,309660,-3790560,2.0625,55.0625,41.6875,20.3125,3577
"159",2000-07-27 00:37:06.919723,309660,-3790560,5.875,55.1875,37.4375,18.625,3577
"160",2000-08-03 00:43:14.992339,309660,-3790560,4.8125,51.75,42.25,18.625,3577
"161",2000-08-12 00:37:00.267634,309660,-3790560,23.375,34.8125,40.75,17.4375,3577
"162",2000-09-13 00:36:33.660968,309660,-3790560,13.25,45.9375,39.5625,15.3125,3577
"163",2000-09-20 00:42:33.476034,309660,-3790560,15.5625,44.9375,38.1875,14.875,3577
"164",2000-09-29 00:36:21.789392,309660,-3790560,19.8125,45.1875,33.875,12.5,3577
"165",2000-10-22 00:42:20.048671,309660,-3790560,12.4375,47.8125,38.3125,15.75,3577
"166",2000-11-16 00:36:15.499807,309660,-3790560,14.375,46.375,37.8125,14.4375,3577
"167",2000-11-23 00:42:23.389153,309660,-3790560,16.1875,44.4375,38.0625,14.3125,3577
"168",2000-12-02 00:36:16.508687,309660,-3790560,14.3125,45.3125,38.9375,14,3577
"169",2000-12-09 00:42:26.775289,309660,-3790560,14.5,43.9375,40.375,14.5625,3577
"170",2000-12-18 00:36:20.251803,309660,-3790560,16.8125,42.75,39.25,13.625,3577
"171",2001-01-03 00:36:17.717607,309660,-3790560,16.9375,36,45.8125,14,3577
"172",2001-01-19 00:36:24.983069,309660,-3790560,15.625,41.75,41.0625,13.375,3577
"173",2001-02-20 00:36:19.437579,309660,-3790560,11.8125,44.3125,42.5,14.875,3577
"174",2001-02-27 00:42:25.572637,309670,-3790555,34.6666666666667,25.3333333333333,38.6666666666667,19.5,3577
