"","time","x","y","bs","pv","npv","ue","spatial_ref"
"1",1987-09-14 00:35:51.909504,-149130,-3188115,50.35,1.2,47.1,9.2,3577
"2",1987-09-21 00:42:12.379303,-149130,-3188115,52.5,2.65,43.65,9.4,3577
"3",1987-10-16 00:36:31.330783,-149130,-3188115,56.35,2.75,39.4,8.35,3577
"4",1987-11-01 00:36:47.900607,-149130,-3188115,55.05,2.55,40.95,7.65,3577
"5",1987-11-08 00:43:08.802829,-149130,-3188115,56.35,0.25,42.35,14.15,3577
"6",1987-11-17 00:37:09.187055,-149130,-3188115,53,3,42.65,8.6,3577
"7",1987-11-24 00:43:27.371454,-149130,-3188115,57.5,3.35,37.45,8.45,3577
"8",1987-12-03 00:37:24.37541,-149130,-3188115,58.05,4.2,36.2,8.3,3577
"9",1987-12-10 00:43:40.139136,-149130,-3188093.57142857,57.6428571428571,3.35714285714286,37.8571428571429,7.64285714285714,3577
"10",1987-12-19 00:37:38.340155,-149130,-3188115,50,2.65,46,8.05,3577
"11",1988-01-04 00:37:54.121414,-149130,-3188115,53.2,2.65,42.85,8.2,3577
"12",1988-01-11 00:44:12.570303,-149130,-3188115,53.8,3.05,41.8,7.05,3577
"13",1988-01-27 00:44:30.551604,-149130,-3188115,56.2,11.05,31,8.35,3577
"14",1988-02-05 00:38:30.078634,-149123.823529412,-3188123.82352941,53.7058823529412,7.41176470588235,37.2352941176471,5.76470588235294,3577
"15",1988-02-21 00:38:44.277668,-149130,-3188115,48.4,14.15,36.1,8.15,3577
"16",1988-02-28 00:44:59.545436,-149130,-3188115,49.4,12.65,36.65,8.25,3577
"17",1988-03-08 00:38:54.003416,-149130,-3188115,55.2,9.4,33.85,7.95,3577
"18",1988-03-15 00:45:08.416494,-149130,-3188115,50.85,10.2,37.35,8.3,3577
"19",1988-04-09 00:39:07.766771,-149130,-3188115,50.35,6.95,41.35,8.05,3577
"20",1988-05-18 00:45:37.950179,-149130,-3188115,44.1,6.5,48.05,9.2,3577
"21",1988-05-27 00:39:30.010547,-149130,-3188115,49.45,5.55,43.6,8.75,3577
"22",1988-06-28 00:39:41.025363,-149125,-3188113.33333333,66.7222222222222,2.38888888888889,29.3333333333333,7.44444444444444,3577
"23",1988-07-05 00:45:53.146837,-149130,-3188115,52.3,4.15,42,8.3,3577
"24",1988-07-14 00:39:44.220138,-149130,-3188115,48.6,4.35,45.6,8.9,3577
"25",1988-07-21 00:45:55.614569,-149130,-3188115,49.15,5.65,43.65,8.95,3577
"26",1988-07-30 00:39:46.372112,-149130,-3188115,69.1,0.45,29.2,5.45,3577
"27",1988-08-15 00:39:45.703784,-149130,-3188115,55.55,3.25,39.55,8.25,3577
"28",1988-08-22 00:45:58.872287,-149130,-3188115,50.7,2.9,45.15,7.45,3577
"29",1988-08-31 00:39:50.26313,-149130,-3188115,56.3,3.95,38.35,7.75,3577
"30",1988-09-23 00:45:55.621399,-149130,-3188115,60.4,4.25,33.75,7.55,3577
"31",1988-10-02 00:39:41.172171,-149130,-3188115,61.55,4.25,32.65,7.25,3577
"32",1988-10-09 00:45:49.967731,-149130,-3188115,60.25,4.6,33.75,7.4,3577
"33",1988-10-18 00:39:35.952051,-149130,-3188115,59.95,3.4,35.2,7.3,3577
"34",1988-10-25 00:45:46.481052,-149130,-3188115,56.2,4.95,37.5,7.85,3577
"35",1988-11-10 00:45:48.579919,-149130,-3188115,58.2,4.15,36.25,7.6,3577
"36",1988-11-19 00:39:37.551706,-149130,-3188115,59.55,4.25,34.7,7.3,3577
"37",1988-11-26 00:45:49.296058,-149130,-3188115,67.3,2.45,28.75,5.7,3577
"38",1988-12-12 00:45:37.459609,-149130,-3188115,46.3,6.9,45.25,9.25,3577
"39",1988-12-28 00:45:32.486616,-149130,-3188115,48.05,17.15,33.35,8.15,3577
"40",1989-01-06 00:39:21.246485,-149130,-3188115,40.2,26.2,32.2,8.6,3577
"41",1989-01-13 00:45:23.499097,-149130,-3188115,33.3,31.65,33.8,9.05,3577
"42",1989-01-22 00:39:01.20053,-149130,-3188115,31.35,32.3,35.05,8.95,3577
"43",1989-01-29 00:45:13.317472,-149130,-3188115,0,0.3,97.5,2,3577
"44",1989-02-07 00:39:04.080058,-149130,-3188115,32.25,29,37.4,8.55,3577
"45",1989-03-02 00:44:58.336708,-149130,-3188115,34.65,27.5,36.35,8.45,3577
"46",1989-03-18 00:44:17.982201,-149125.714285714,-3188130,28.2857142857143,27.3571428571429,42.8571428571429,12.0714285714286,3577
"47",1989-03-27 00:37:59.542663,-149130,-3188115,22.4,39.25,36.9,10.5,3577
"48",1989-04-03 00:44:17.269203,-149130,-3188115,27.4,43.25,28,9.7,3577
"49",1989-04-19 00:44:11.005384,-149130,-3188115,8.45,51.1,38.95,12.85,3577
"50",1989-05-14 00:37:35.90126,-149130,-3188115,7.1,47.05,44.6,14.05,3577
"51",1989-06-22 00:42:59.450701,-149130,-3188115,8.45,48.5,41.65,18,3577
"52",1989-07-17 00:36:22.582102,-149130,-3188115,10.25,39,49.6,14.6,3577
"53",1989-07-24 00:42:25.362605,-149130,-3188115,9.45,39.65,49.95,15,3577
"54",1989-08-02 00:36:03.602324,-149130,-3188115,13.15,35.45,50.3,13.9,3577
"55",1989-08-09 00:42:04.765466,-149130,-3188115,12.05,34.05,52.9,14.25,3577
"56",1989-08-18 00:35:39.18146,-149130,-3188115,16.15,32.5,50.25,13.05,3577
"57",1989-08-25 00:41:43.970168,-149115,-3188115,41.0666666666667,7.13333333333333,51.0666666666667,6.53333333333333,3577
"58",1989-09-03 00:35:22.041192,-149130,-3188115,17.9,30.65,50.25,12.05,3577
"59",1989-09-19 00:34:49.354398,-149130,-3188115,20.1,26,52.65,11.25,3577
"60",1989-09-26 00:40:57.359327,-149130,-3188115,19.9,24.8,53.85,11.55,3577
"61",1989-10-05 00:34:40.192775,-149130,-3188115,21.95,21.3,55.5,10.45,3577
"62",1989-10-12 00:40:32.095286,-149130,-3188115,21.35,21.05,56.35,10.55,3577
"63",1989-11-06 00:33:39.518598,-149130,-3188115,22.75,16.05,60.15,9.8,3577
"64",1989-11-13 00:39:30.709201,-149130,-3188115,17.6,16.3,64.8,12.05,3577
