"","time","x","y","bs","pv","npv","ue","spatial_ref"
"1",1987-09-16 00:22:45.286481,325515,-2883210,73.15,0,25.75,5.7,3577
"2",1987-10-02 00:23:06.431272,325515,-2883210,76.4,0.9,21.25,5.7,3577
"3",1987-10-18 00:23:23.857361,325515,-2883207.63157895,49.7894736842105,0,49.5789473684211,4.15789473684211,3577
"4",1987-11-03 00:23:41.529792,325515,-2883210,68.4,0,30.55,5.05,3577
"5",1987-11-19 00:24:01.964318,325515,-2883210,73.65,0.2,24.95,5.7,3577
"6",1987-12-05 00:24:16.570332,325485,-2883172.5,57,0.5,41.5,4,3577
"7",1987-12-21 00:24:30.831627,325515,-2883210,62.2,0,36.85,5.65,3577
"8",1988-01-06 00:24:46.727019,325515,-2883210,68.3,1.2,29.15,5.95,3577
"9",1988-02-07 00:25:22.744802,325515,-2883210,71.7,0.3,26.95,5.7,3577
"10",1988-02-23 00:25:36.442076,325515,-2883210,75.5,0.1,23.2,5.5,3577
"11",1988-03-10 00:25:45.754322,325515,-2883210,78,1.3,19.25,5.25,3577
"12",1988-03-26 00:25:53.933499,325515,-2883210,73.4,0.35,24.9,5.15,3577
"13",1988-04-11 00:25:58.588445,325515,-2883210,67.55,1.2,29.65,5.7,3577
"14",1988-04-27 00:26:03.780747,325515,-2883210,66,11.55,20.9,5.9,3577
"15",1988-05-13 00:26:15.035852,325515,-2883210,56.5,11.55,30.75,5.25,3577
"16",1988-05-29 00:26:21.66117,325515,-2883210,53.75,16.75,28.1,6.8,3577
"17",1988-06-14 00:26:27.30438,325515,-2883210,55.95,14,28.65,6.7,3577
"18",1988-06-30 00:26:32.255043,325515,-2883210,57.25,13.05,28.35,6.4,3577
"19",1988-08-01 00:26:37.201395,325515,-2883210,60.95,7,30.55,6.15,3577
"20",1988-09-02 00:26:40.768362,325515,-2883210,60.75,10.95,26.8,6.1,3577
"21",1988-09-18 00:26:37.190904,325515,-2883210,62.75,10.35,25.35,6.3,3577
"22",1988-10-04 00:26:31.929531,325515,-2883210,61.9,6.7,29.9,6,3577
"23",1988-10-20 00:26:25.797144,325515,-2883210,61,3.3,34.25,6,3577
"24",1988-11-21 00:26:28.727338,325515,-2883210,61.65,1.6,35.2,6,3577
"25",1989-01-08 00:26:10.220382,325515,-2883210,61.85,1.7,35.05,5.6,3577
"26",1989-02-25 00:25:44.086875,325515,-2883210,64.35,1.3,32.8,6,3577
"27",1989-04-14 00:24:59.433496,325515,-2883210,45,15.55,38,7.95,3577
"28",1989-05-16 00:24:23.556916,325515,-2883210,47.55,14.85,36.2,7.25,3577
"29",1989-06-17 00:23:43.539791,325515,-2883210,45.5,16.9,36.3,7.35,3577
"30",1989-08-20 00:22:28.701562,325515,-2883210,52.05,5.7,40.65,7.15,3577
"31",1989-09-21 00:21:37.965772,325515,-2883210,51.45,2.6,44.5,6.8,3577
"32",1989-11-08 00:20:25.716943,325515,-2883210,50.8,0.45,47.35,6.65,3577
"33",1989-12-10 00:19:29.470523,325515,-2883210,57.3,0,41.75,6,3577
"34",1989-12-26 00:19:02.921968,325515,-2883210,54.9,0.5,43.3,6.1,3577
"35",1990-02-12 00:17:29.280186,325515,-2883210,60.65,0.05,38.3,6.05,3577
"36",1990-02-28 00:16:58.125721,325515,-2883210,55.9,0,43.1,6.15,3577
"37",1990-03-16 00:16:24.88793,325515,-2883210,57.95,0.1,41,6.05,3577
"38",1990-04-01 00:15:56.956948,325515,-2883210,58.25,0,40.75,6.05,3577
"39",1990-05-03 00:15:59.343616,325515,-2883210,60.3,0.05,38.5,6.25,3577
"40",1990-06-04 00:16:04.044483,325465,-2883220,70.8333333333333,0,27.8333333333333,3.83333333333333,3577
"41",1990-07-06 00:16:00.78858,325515,-2883210,55.35,2.3,40.9,6.7,3577
"42",1990-07-22 00:15:56.796617,325515,-2883210,32.55,0.35,66.05,7.45,3577
"43",1990-08-07 00:15:52.891294,325515,-2883210,56.65,1.05,41,6.6,3577
"44",1990-09-08 00:15:42.720741,325515,-2883210,61.7,0.1,37.05,6.55,3577
"45",1990-09-24 00:15:38.959814,325524.375,-2883200.625,52.25,0,46.9375,7,3577
"46",1990-10-26 00:15:24.044448,325515,-2883210,63.9,0.05,34.95,6.1,3577
"47",1990-11-11 00:15:23.469087,325515,-2883210,63.4,0,35.6,6,3577
"48",1990-11-27 00:15:11.175389,325515,-2883210,62.05,0,36.85,6.1,3577
"49",1990-12-13 00:15:13.53724,325515,-2883210,61.1,0,37.95,6.2,3577
"50",1990-12-29 00:15:36.672313,325510,-2883205,62.8333333333333,0,36.3888888888889,5,3577
"51",1991-01-14 00:16:05.625088,325515,-2883210,58.5,0,40.5,6.2,3577
"52",1991-02-15 00:16:42.615905,325515,-2883210,60.5,1.5,36.75,6.05,3577
"53",1991-03-03 00:16:59.522586,325515,-2883210,64.8,0,34.2,6,3577
"54",1991-03-19 00:17:21.847445,325515,-2883210,65.85,0.05,33,5.5,3577
"55",1991-04-04 00:17:32.644797,325515,-2883210,65.7,0,33.25,6.05,3577
"56",1991-04-20 00:17:50.643234,325515,-2883210,66.55,0,32.5,6.05,3577
"57",1991-05-06 00:18:10.919489,325515,-2883210,62.85,0,36.25,6.3,3577
"58",1991-05-22 00:18:26.198471,325515,-2883210,64.95,0,34.2,6.05,3577
"59",1991-06-07 00:18:40.909887,325515,-2883210,55.65,0.15,43.15,6.8,3577
"60",1991-06-23 00:18:53.621826,325515,-2883210,58.75,0,40.4,6.75,3577
"61",1991-07-09 00:19:06.196406,325515,-2883210,60.8,0.1,37.95,6.4,3577
"62",1991-07-25 00:19:20.331195,325515,-2883210,54.25,0.05,44.7,7.95,3577
"63",1991-08-10 00:19:24.372645,325515,-2883210,67.05,0,31.95,6.55,3577
"64",1991-08-26 00:19:31.40706,325515,-2883210,67.25,0,31.75,6.05,3577
"65",1991-09-11 00:19:44.340018,325515,-2883210,67.7,0,31.3,6,3577
"66",1991-09-27 00:19:48.213523,325515,-2883210,63.85,0,35.1,6.05,3577
"67",1991-11-14 00:20:05.447,325515,-2883210,63.6,0.15,35.05,6,3577
"68",1991-11-30 00:20:16.800093,325515,-2883210,67.6,0,31.35,6,3577
"69",1991-12-16 00:20:17.743022,325515,-2883210,67.15,0.15,31.4,6,3577
"70",1992-01-17 00:20:07.969092,325515,-2883210,67.45,0.05,31.45,6,3577
"71",1992-02-18 00:20:01.818507,325515,-2883210,68,0.45,30.35,6,3577
"72",1992-03-05 00:20:02.798895,325515,-2883210,65.45,0.7,32.5,6.05,3577
"73",1992-03-21 00:20:03.589375,325515,-2883210,72,4.55,21.95,5.05,3577
"74",1992-04-06 00:19:54.40185,325515,-2883210,63.9,0.75,34.05,5.65,3577
"75",1992-04-22 00:19:46.630593,325515,-2883210,66.25,1.6,30.7,5.75,3577
"76",1992-06-09 00:19:20.78229,325513.333333333,-2883215,65,3.22222222222222,30.7777777777778,4.77777777777778,3577
"77",1992-06-25 00:19:08.431764,325515,-2883210,63.3,1.65,33.65,6.05,3577
"78",1992-07-11 00:18:56.466348,325515,-2883210,63.8,2.9,31.6,6.1,3577
"79",1992-07-27 00:18:43.997052,325515,-2883210,64.15,3.65,30.75,6,3577
"80",1992-09-13 00:18:01.490707,325515,-2883210,64.35,3.5,30.6,6,3577
"81",1992-09-29 00:17:41.662409,325515,-2883210,65.9,2.9,29.6,6,3577
"82",1992-10-31 00:17:12.909193,325515,-2883210,63.05,0.4,35.4,6,3577
"83",1993-01-19 00:17:34.285806,325515,-2883210,61.3,0.25,37.35,6,3577
"84",1993-02-04 00:17:45.349345,325515,-2883210,65.85,0.65,32.05,6,3577
"85",1993-02-20 00:17:51.22828,325515,-2883210,64.4,0.15,34.45,6,3577
"86",1993-03-08 00:18:01.344582,325515,-2883210,69.2,0,29.55,5.9,3577
"87",1993-04-09 00:18:08.577371,325515,-2883210,66.65,0,32.4,5.2,3577
"88",1993-04-25 00:18:18.027104,325515,-2883210,69.65,0.1,29.3,5.8,3577
"89",1993-05-27 00:18:25.255971,325515,-2883210,64.3,0.45,34.05,6,3577
"90",1993-06-12 00:18:25.647855,325515,-2883210,66.95,2.95,28.55,5,3577
"91",1993-06-28 00:18:19.314046,325515,-2883210,55.05,1.95,42,5.55,3577
"92",1993-08-15 00:18:16.582562,325515,-2883210,37.85,3.7,57.2,12.9,3577
"93",1993-11-03 00:17:57.362256,325515,-2883210,62.85,0,36.1,6,3577
"94",1993-12-21 00:17:37.732295,325515,-2883210,35.3,6.5,56.95,9.35,3577
"95",1994-01-22 00:17:10.742709,325515,-2883210,62.95,0.1,35.85,6,3577
"96",1994-03-27 00:16:18.899709,325515,-2883210,63.55,0.1,35.35,6,3577
"97",1994-04-12 00:16:00.348404,325515,-2883210,64.8,0,34.1,6,3577
"98",1994-04-28 00:15:44.055305,325515,-2883210,62.3,0.35,36.2,6.05,3577
"99",1994-05-14 00:15:26.011852,325515,-2883210,66.8,0,32.5,6.15,3577
"100",1994-05-30 00:15:09.343693,325515,-2883210,66.1,0,32.9,6.05,3577
"101",1994-06-15 00:14:49.174303,325515,-2883210,61.8,0.65,36.2,6.3,3577
"102",1994-07-01 00:14:25.593325,325515,-2883210,65.95,0.15,32.9,6.15,3577
"103",1994-07-17 00:13:58.824445,325515,-2883210,66.4,0.05,32.6,6,3577
"104",1994-08-02 00:13:31.417341,325515,-2883210,67.3,0,31.75,5.9,3577
"105",1994-08-18 00:13:08.737744,325515,-2883210,67.8,0.15,31,6,3577
"106",1994-10-05 00:11:52.604605,325515,-2883210,65.55,0.05,33.35,5.25,3577
"107",1994-10-21 00:11:21.459208,325515,-2883210,66.05,0.25,32.65,6,3577
"108",1994-11-22 00:10:13.650288,325515,-2883210,66.6,0.05,32,6,3577
"109",1994-12-08 00:09:45.883106,325515,-2883210,58.55,0,40.5,4.6,3577
"110",1994-12-24 00:09:15.448855,325515,-2883210,67.75,0.5,30.5,6,3577
"111",1995-01-09 00:08:42.195048,325515,-2883210,69.25,0,29.6,6,3577
"112",1995-01-25 00:08:06.069851,325515,-2883210,69.2,0.55,29,5.65,3577
"113",1995-02-10 00:07:26.972498,325515,-2883210,65.2,4.1,29.4,6,3577
"114",1995-02-26 00:06:48.756006,325515,-2883210,62.8,0.6,35.25,6,3577
"115",1995-03-14 00:06:09.820525,325515,-2883210,68.25,0.5,29.8,6,3577
"116",1995-03-30 00:05:30.586042,325515,-2883210,66.35,0.05,32.6,6,3577
"117",1995-04-15 00:04:51.162172,325515,-2883210,65.2,0,33.8,6,3577
"118",1995-05-17 00:03:25.784809,325515,-2883210,8.85,0,89.8,2,3577
"119",1995-06-02 00:02:40.64528,325515,-2883210,65.7,0,33.2,6,3577
"120",1995-06-18 00:01:57.001748,325515,-2883210,65.1,0,34.05,6.05,3577
"121",1995-07-04 00:01:13.561987,325515,-2883210,74,0,25.1,4.65,3577
"122",1995-07-20 00:00:30.057763,325515,-2883210,66.75,0,32.3,6.1,3577
"123",1995-09-21 23:57:29.842942,325513.421052632,-2883209.21052632,75.1052631578947,0.0526315789473684,23.8421052631579,3.63157894736842,3577
"124",1995-10-07 23:56:39.348211,325515,-2883210,63.6,1,33.85,6,3577
"125",1995-10-23 23:55:46.053376,325515,-2883210,60.95,0,38.1,6.7,3577
"126",1995-11-24 23:55:38.524552,325515,-2883210,65.85,0,33.15,6,3577
"127",1996-02-13 00:01:10.193532,325515,-2883210,71.7,0.35,26.65,6,3577
"128",1996-02-29 00:02:14.71297,325515,-2883210,69.45,0,29.45,6,3577
"129",1996-04-01 00:04:18.413213,325515,-2883210,62.65,0,36.35,6.65,3577
"130",1996-04-17 00:05:17.907766,325515,-2883210,71.5,0,27.55,5.8,3577
"131",1996-06-04 00:08:05.089359,325515,-2883210,58.7,0,40.75,5.15,3577
"132",1996-07-06 00:09:47.005191,325515,-2883210,53.5,0.05,45.45,7.6,3577
"133",1996-07-22 00:10:37.830515,325515,-2883210,71.8,0,27.2,5.85,3577
"134",1996-08-07 00:11:28.571643,325515,-2883210,68.75,0.7,29.1,6.05,3577
"135",1996-09-08 00:13:12.733921,325515,-2883210,68.95,0.9,28.65,6,3577
"136",1996-10-10 00:14:55.405967,325515,-2883210,65.65,0.05,33.2,6,3577
"137",1996-10-26 00:15:43.479596,325515,-2883210,64.9,0.05,34,6,3577
"138",1996-11-11 00:16:28.792696,325515,-2883210,69.2,0,29.75,6,3577
"139",1996-11-27 00:17:13.930555,325515,-2883210,69.85,0,29.15,6,3577
"140",1997-01-14 00:19:31.18789,325515,-2883210,66.6,0.05,32.35,6,3577
"141",1997-01-30 00:20:14.424208,325515,-2883210,66.75,0.3,31.65,6.05,3577
"142",1997-02-15 00:20:55.83328,325515,-2883210,54.95,7,36.55,6.2,3577
"143",1997-03-03 00:21:35.041674,325515,-2883210,61.95,6.35,30.1,6.05,3577
"144",1997-03-19 00:22:12.301975,325515,-2883210,61.95,3.5,33.15,6,3577
"145",1997-04-04 00:22:47.993966,325515,-2883210,68.6,4.45,25.45,5.8,3577
"146",1997-04-20 00:23:22.281982,325515,-2883210,65.65,1.55,31.55,5.95,3577
"147",1997-05-22 00:24:29.179758,325515,-2883210,57.45,3.15,38.3,6,3577
"148",1997-06-07 00:25:02.789054,325515,-2883210,58.15,2.6,37.7,6.5,3577
"149",1997-08-26 00:27:42.654555,325515,-2883210,63.05,0.65,35.05,6,3577
"150",1997-09-11 00:28:10.442007,325515,-2883210,64.1,0.1,34.55,5.75,3577
"151",1997-10-13 00:29:03.730783,325515,-2883210,63.45,1.75,33.25,6.35,3577
"152",1997-10-29 00:29:30.32278,325515,-2883210,63.45,0,35.6,5.85,3577
