"","time","pv","npv","bs","ue","x","y","spatial_ref"
"1",1987-09-09 00:16:48.159081,0,41.05,58.2,5.6,374895,-3054390,3577
"2",1987-09-25 00:17:10.584432,0,34.65,64.75,5.5,374895,-3054390,3577
"3",1987-10-27 00:17:44.384781,0,44.35,54.9,5.7,374895,-3054390,3577
"4",1987-11-12 00:18:06.935953,0,36.3,63,5.35,374895,-3054390,3577
"5",1987-11-28 00:18:24.031715,0,29.85,69.55,5.65,374895,-3054390,3577
"6",1987-12-30 00:18:53.563109,0,48.1,51.3,5.25,374895,-3054390,3577
"7",1988-01-15 00:19:10.187836,0,39.3,59.85,5.15,374895,-3054390,3577
"8",1988-01-31 00:19:52.096837,0,32.1,67.35,5.3,374895,-3054390,3577
"9",1988-02-16 00:19:44.212694,0,37.3,62.05,5.4,374895,-3054390,3577
"10",1988-03-03 00:19:54.438334,0,36.05,63.15,5.45,374895,-3054390,3577
"11",1988-03-19 00:20:03.303987,0.05,26.65,72.3,5,374895,-3054390,3577
"12",1988-04-04 00:20:10.31675,0.05,41.65,57.65,5.4,374895,-3054390,3577
"13",1988-04-20 00:20:14.577264,0.25,40.85,57.95,5.25,374895,-3054390,3577
"14",1988-05-22 00:20:32.281205,63.55,41.05,0,9.3,374895,-3054390,3577
"15",1988-06-07 00:20:37.932493,2.25,35,61.7,5.55,374895,-3054390,3577
"16",1988-06-23 00:20:42.950259,2.6,37.2,59.35,6.4,374895,-3054390,3577
"17",1988-07-09 00:20:46.48926,9,35,55.5,9,374940,-3054375,3577
"18",1988-07-25 00:20:49.457483,4,39.1,55.7,5.6,374895,-3054390,3577
"19",1988-08-10 00:20:48.197852,3.25,34.35,61.35,5.6,374895,-3054390,3577
"20",1988-08-26 00:20:53.352024,1.65,42.15,55.15,5.9,374895,-3054390,3577
"21",1988-09-11 00:20:52.909203,0.55,38.65,59.95,5.65,374895,-3054390,3577
"22",1988-09-27 00:20:45.577401,0,39.9,59.35,5.55,374895,-3054390,3577
"23",1988-10-13 00:20:39.237867,0.15,40.9,58.1,5.7,374895,-3054390,3577
"24",1988-10-29 00:20:40.308401,0,45.25,53.95,5.5,374895,-3054390,3577
"25",1988-11-14 00:20:41.511971,0,47,52,4,374955,-3054345,3577
"26",1988-12-16 00:20:26.390436,0.05,37.9,61.1,5.6,374895,-3054390,3577
"27",1989-01-17 00:20:12.059442,0.3,43.35,55.5,5.55,374895,-3054390,3577
"28",1989-02-02 00:20:08.807898,0,44.75,54.7,5.65,374895,-3054390,3577
"29",1989-02-18 00:20:04.416782,0,40.85,58.45,5.45,374895,-3054390,3577
"30",1989-03-06 00:19:44.825715,0,36.1,63.2,5.35,374895,-3054390,3577
"31",1989-03-22 00:19:04.339147,0.65,53.45,44.85,6.3,374895,-3054390,3577
"32",1989-05-09 00:18:47.530755,8.05,34.75,56,6.05,374895,-3054390,3577
"33",1989-06-26 00:17:50.83677,13.35,27.9,57.6,6.4,374895,-3054390,3577
"34",1989-08-13 00:17:15.898889,9.6,30.75,58.35,6.3,374895,-3054390,3577
"35",1989-08-29 00:16:32.577435,7.25,35.7,55.5,6.2,374895,-3054390,3577
"36",1989-09-14 00:16:22.36452,2.8,42.05,54.1,5.75,374895,-3054390,3577
"37",1989-09-30 00:15:48.800424,0.9,45.9,52,5.6,374895,-3054390,3577
"38",1989-10-16 00:15:13.584083,1.4,44.65,52.6,5.55,374895,-3054390,3577
"39",1989-11-01 00:14:49.418446,0,48.7,50.6,6.2,374895,-3054390,3577
"40",1989-11-17 00:14:12.922973,0.45,77.85,20.75,8.1,374895,-3054390,3577
"41",1989-12-03 00:14:19.765771,0.05,54.75,44.55,7.2,374895,-3054390,3577
"42",1989-12-19 00:13:28.285574,0.1,46.9,52.3,6.05,374895,-3054390,3577
"43",1990-02-21 00:11:25.877692,0,47.95,51.3,5.55,374895,-3054390,3577
"44",1990-03-09 00:10:50.852585,0,46.95,52.3,5.75,374895,-3054390,3577
"45",1990-04-10 00:10:15.448328,0,43.3,56.05,5.5,374895,-3054390,3577
"46",1990-05-12 00:10:21.578087,0,44.25,55.1,5.5,374895,-3054390,3577
"47",1990-05-28 00:10:17.02368,0,44.2,55,5.6,374895,-3054390,3577
"48",1990-06-13 00:10:16.278596,0.578947368421053,42.2631578947368,56.3684210526316,19,374898.157894737,-3054387.63157895,3577
"49",1990-06-29 00:10:15.464968,0,38.25,61,5.5,374895,-3054390,3577
"50",1990-07-15 00:10:12.614246,0,51.55,47.65,4.7,374895,-3054390,3577
"51",1990-09-17 00:09:56.06112,0,45,54.5714285714286,5.71428571428571,374890.714285714,-3054370.71428571,3577
"52",1990-10-03 00:09:41.650503,0,40.8,58.45,5.65,374895,-3054390,3577
"53",1990-10-19 00:09:37.493495,0,39.5,59.85,5.6,374895,-3054390,3577
"54",1990-11-04 00:09:31.896888,0,39.4,59.85,5.8,374895,-3054390,3577
"55",1990-11-20 00:09:32.495187,0,42.15,57.35,5.8,374895,-3054390,3577
