"","time","pv","npv","bs","ue","x","y","spatial_ref"
"1",1987-09-11 00:06:05.34694,41.5,45.8,11.4,17.15,561345,-3667050,3577
"2",1987-10-13 00:06:46.2322,37.25,48.9,12.65,15.7,561345,-3667050,3577
"3",1987-11-14 00:07:23.512219,31.1,51.4,16.2,14.1,561345,-3667050,3577
"4",1987-12-16 00:07:53.377923,29.6,54.5,14.75,13.7,561345,-3667050,3577
"5",1988-01-17 00:08:26.53744,31.15,49.4,18.2,14.35,561345,-3667050,3577
"6",1988-02-02 00:08:44.624733,32.65,47.65,18.4,13.7,561345,-3667050,3577
"7",1988-02-18 00:08:59.913283,31.8,51.55,15.45,13.7,561345,-3667050,3577
"8",1988-03-05 00:09:09.961475,31.9,46.55,20.3,14.35,561345,-3667050,3577
"9",1988-03-21 00:09:18.60808,32.45,46.15,20.05,13.05,561345,-3667050,3577
"10",1988-04-06 00:09:25.161527,37.5,49.9,11.6,14.9,561345,-3667050,3577
"11",1988-05-08 00:09:39.433597,31,41.65,25.95,16.35,561345,-3667050,3577
"12",1988-07-11 00:10:01.373271,10.8,89.2,0,6.8,561327,-3667011,3577
"13",1988-07-27 00:10:04.045011,39.85,45.55,13.35,17.25,561345,-3667050,3577
"14",1988-08-12 00:10:02.396784,36.5,50.65,11.55,18.25,561345,-3667050,3577
"15",1988-09-29 00:09:58.035536,34.8,48.8,15.15,15.85,561345,-3667050,3577
"16",1988-10-15 00:09:54.180216,30.95,50.25,17.45,14.2,561345,-3667050,3577
"17",1988-10-31 00:09:55.904067,29.75,53.1,15.95,14.7,561345,-3667050,3577
"18",1988-12-02 00:09:53.999635,12,52.2,34.65,6.15,561345,-3667050,3577
"19",1989-02-04 00:09:23.249795,35.55,48.6,14.65,13.9,561345,-3667050,3577
"20",1989-02-20 00:09:17.461119,34.05,46.95,17.6,14.05,561345,-3667050,3577
"21",1989-04-25 00:08:11.868753,43,47.75,8.15,16.45,561345,-3667050,3577
"22",1989-07-14 00:06:43.965728,49.9,46.8,2.45,20,561345,-3667050,3577
"23",1989-07-30 00:06:25.660343,46.8125,35.125,16.6875,18.8125,561358.125,-3667055.625,3577
"24",1989-08-31 00:05:43.947967,43.65,47.2,7.95,17.45,561345,-3667050,3577
"25",1989-09-16 00:05:09.605412,42.05,46.25,10.35,16.6,561345,-3667050,3577
"26",1989-10-02 00:05:01.742725,39.9,49.05,9.8,16.2,561345,-3667050,3577
"27",1989-10-18 00:04:21.207255,36.3,48.9,13.6,14.85,561345,-3667050,3577
"28",1989-11-03 00:04:02.071442,33.25,52.1,13.4,14.9,561345,-3667050,3577
"29",1989-11-19 00:03:23.613667,31.75,51.35,15.7,13.75,561345,-3667050,3577
"30",1989-12-05 00:03:06.149643,30.8,52.4,15.7,14.9,561345,-3667050,3577
"31",1989-12-21 00:02:38.175942,31.7,52.05,15.05,14.4,561345,-3667050,3577
"32",1990-04-11 23:59:31.522872,39,47.6,12.05,15.15,561345,-3667050,3577
"33",1990-08-01 23:59:21.08602,45.95,45.25,7.45,18.85,561345,-3667050,3577
"34",1990-08-17 23:59:18.097702,47.1,43.4,8.25,19.5,561345,-3667050,3577
"35",1990-10-20 23:58:52.634123,36.3,45.7,16.8,13.55,561345,-3667050,3577
"36",1990-11-21 23:58:44.64585,27.8,46.75,24.1,14.45,561345,-3667050,3577
"37",1990-12-07 23:58:36.816411,17.9473684210526,78.0526315789474,3.47368421052632,8.8421052631579,561341.842105263,-3667047.63157895,3577
"38",1990-12-23 23:58:57.347572,33.4,51.3,14.05,15.2,561345,-3667050,3577
