"","time","x","y","bs","pv","npv","ue","spatial_ref"
"1",1987-09-25 23:25:34.169997,1247883.33333333,-4647471.66666667,9.38888888888889,53.1111111111111,36.1111111111111,24.1111111111111,3577
"2",1987-10-20 23:19:50.993319,1247883.33333333,-4647471.66666667,7.5,51.6111111111111,39.3333333333333,23.1666666666667,3577
"3",1987-11-21 23:20:29.542039,1247885.625,-4647474.375,8.875,52.625,36.9375,24.5,3577
"4",1988-01-15 23:27:33.470596,1247880,-4647465,7,55.35,36.15,23.8,3577
"5",1988-01-24 23:21:32.472549,1247880,-4647465,14.9,54.75,29,22.05,3577
"6",1988-01-31 23:27:51.538622,1247875,-4647455,18.6666666666667,53.6666666666667,26,25,3577
"7",1988-02-09 23:21:50.165186,1247889,-4647475,4.33333333333333,56.7333333333333,37.2666666666667,24.6,3577
"8",1988-02-16 23:28:07.153262,1247883.75,-4647472.5,6.5,60.75,31.375,24.5625,3577
"9",1988-02-25 23:22:02.670232,1247890.71428571,-4647456.42857143,4.42857142857143,59.1428571428571,34.8571428571429,24.5714285714286,3577
"10",1988-03-03 23:28:17.084085,1247875,-4647485,5.33333333333333,54.6666666666667,38.3333333333333,25,3577
"11",1988-03-12 23:22:11.727694,1247880,-4647465,7.8,65.75,24.9,22.75,3577
"12",1988-03-19 23:28:25.855633,1247877,-4647477,6.4,58.4,33.2,25,3577
"13",1988-03-28 23:22:19.427406,1247885,-4647473,12.2,59.9333333333333,26.2,24.2,3577
"14",1988-04-13 23:22:23.237127,1247850,-4647525,66.5,30.5,2,18.5,3577
"15",1988-06-23 23:29:05.397992,1247874,-4647438,79.1,12.8,6.9,22.8,3577
"16",1988-08-03 23:23:01.21914,1247870,-4647445,15.8333333333333,77.1666666666667,9.5,17.1666666666667,3577
"17",1988-08-10 23:29:10.08159,1247895,-4647495,18,50,30,25,3577
"18",1988-09-27 23:29:06.910074,1247925,-4647450,47.5,35,16.5,16,3577
"19",1988-10-06 23:22:55.83985,1247835,-4647495,39,63,0,21,3577
"20",1988-11-23 23:22:53.685717,1247880,-4647465,12.15,47.2,39.2,21.95,3577
"21",1988-12-16 23:28:48.758551,1247883.33333333,-4647470,10.3888888888889,47.5,40.7777777777778,24.2222222222222,3577
"22",1989-01-01 23:28:47.968044,1247884.09090909,-4647462.27272727,9.90909090909091,48.3636363636364,40.2727272727273,24.6363636363636,3577
"23",1989-01-26 23:22:15.682375,1247880,-4647456,6.8,54.7,37.1,24.7,3577
"24",1989-02-02 23:28:31.122623,1247847,-4647489,40.8,32.8,25,17.4,3577
"25",1989-02-27 23:22:05.54287,1247875,-4647465,10.3333333333333,52.6666666666667,35.3333333333333,24.6666666666667,3577
"26",1989-03-15 23:21:32.320672,1247889,-4647489,9.6,53.6,35.2,24.6,3577
"27",1989-04-23 23:27:20.784523,1247925,-4647405,10,53,36,25,3577
"28",1989-05-25 23:26:50.925949,1247876.25,-4647495,10.625,54.625,33.375,24.625,3577
"29",1989-08-06 23:19:12.361382,1247901.66666667,-4647468.33333333,29.3333333333333,59.6666666666667,9.33333333333333,24.3333333333333,3577
"30",1989-10-16 23:23:32.616055,1247883.75,-4647491.25,12.625,52.125,33.875,24.75,3577
"31",1989-12-03 23:22:16.289041,1247880,-4647465,14.3,41.25,43,21.4,3577
"32",1990-02-14 23:13:47.518349,1247845,-4647505,15.6666666666667,43.6666666666667,39,24.3333333333333,3577
"33",1990-03-02 23:13:15.294581,1247881.36363636,-4647484.09090909,11.4545454545455,49.6363636363636,37.6363636363636,24.5454545454545,3577
"34",1990-03-25 23:18:41.276093,1247887.5,-4647472.5,8.75,53,36.75,25,3577
"35",1990-05-21 23:12:31.325338,1247835,-4647435,1,51,47,25,3577
"36",1990-05-28 23:18:39.208083,1247855,-4647415,11,59,28.6666666666667,24.6666666666667,3577
"37",1990-08-25 23:12:11.6977,1247865,-4647460,16.3333333333333,53.5,28.5833333333333,21.75,3577
"38",1990-10-12 23:11:53.723573,1247889,-4647475,8.46666666666667,50,40.3333333333333,24.1333333333333,3577
"39",1990-10-19 23:18:00.187367,1247880,-4647465,17.6,51.7,29.65,21.3,3577
"40",1990-11-04 23:17:55.26027,1247886.17647059,-4647473.82352941,8.64705882352941,50.1176470588235,40,24.4117647058824,3577
"41",1990-11-13 23:11:47.329552,1247880,-4647465,6.15,51.7,40.8,22.85,3577
"42",1990-12-15 23:11:42.626172,1247885.625,-4647474.375,9.1875,49.1875,40.3125,24.1875,3577
"43",1991-01-07 23:18:29.334435,1247885.625,-4647474.375,7.0625,52.1875,39.1875,24.625,3577
"44",1991-01-16 23:12:35.853272,1247880,-4647465,7,56.05,35.35,23.45,3577
"45",1991-02-01 23:12:51.234307,1247882.64705882,-4647472.05882353,8.58823529411765,55.1176470588235,34.8823529411765,24.1176470588235,3577
"46",1991-02-17 23:13:10.743679,1247895,-4647480,2.9,54,41.6,24.5,3577
"47",1991-02-24 23:19:30.096439,1247888.07692308,-4647467.30769231,3.69230769230769,57.0769230769231,37.8461538461538,24.8461538461538,3577
"48",1991-03-12 23:19:48.92779,1247925,-4647405,4,60,34,25,3577
"49",1991-04-06 23:14:02.179732,1247900,-4647455,8.91666666666667,58.9166666666667,30.6666666666667,20.1666666666667,3577
"50",1991-07-27 23:15:45.905783,1247895,-4647435,24,77,0,20,3577
