"","time","pv","npv","bs","ue","x","y","spatial_ref"
"1",1987-09-18 23:19:14.042888,37.65,59,2.2,11.7,1306779,-4676244,3577
"2",1987-10-20 23:19:50.993319,45.15,50.9,2.75,13.6,1306779,-4676244,3577
"3",1987-11-21 23:20:29.542039,49.7,45.8,3.45,13.5,1306779,-4676244,3577
"4",1987-12-07 23:20:42.9452,32.2,62,4.4,15.8,1306797,-4676241,3577
"5",1988-01-08 23:21:14.42436,30.25,49.25,19.25,7.75,1306822.5,-4676212.5,3577
"6",1988-02-09 23:21:50.165186,45.75,47.8,5.35,13.25,1306779,-4676244,3577
"7",1988-02-25 23:22:02.670232,43.85,49.15,5.9,13.2,1306779,-4676244,3577
"8",1988-05-31 23:22:47.755344,28.8,43.2,27.55,15.8,1306779,-4676244,3577
"9",1988-07-02 23:22:57.197799,52.8,36.2,10.2,23.4,1306800,-4676253,3577
"10",1988-08-03 23:23:01.21914,56.35,38.4,4,18.05,1306779,-4676244,3577
"11",1988-09-20 23:23:00.90129,25,18.6,55.55,12.7,1306779,-4676244,3577
"12",1988-10-06 23:22:55.83985,52.6,40.6,5.55,14.3,1306779,-4676244,3577
"13",1988-11-07 23:22:53.640362,56.7,34.8,7.25,13.95,1306779,-4676244,3577
"14",1988-11-23 23:22:53.685717,55.9,36.15,6.5,13.6,1306779,-4676244,3577
"15",1989-01-26 23:22:15.682375,53.65,43.05,2.15,14.8,1306779,-4676244,3577
"16",1989-02-27 23:22:05.54287,46.45,46.15,6.15,13.55,1306779,-4676244,3577
"17",1989-03-15 23:21:32.320672,41.9,43.3,13.55,12.3,1306779,-4676244,3577
"18",1989-05-02 23:21:04.527437,56.15,38.3,4.2,17.25,1306779,-4676244,3577
"19",1989-07-21 23:19:31.682415,34.25,56.35,8.95,13.25,1306779,-4676244,3577
"20",1990-02-14 23:13:47.518349,43,50.2,5.5,12.35,1306779,-4676244,3577
