"","time","x","y","bs","pv","npv","ue","spatial_ref"
"1",1987-09-21 23:48:12.40548,874275,-3852855,53.08,14.08,31.36,8.16,3577
"2",1987-10-23 23:48:47.766472,874275,-3852855,30.44,16.56,51.8,11.68,3577
"3",1987-11-08 23:49:08.665931,874275,-3852855,54.96,11.44,32.28,7.12,3577
"4",1987-12-10 23:49:39.927127,874275,-3852855,44.2,11.84,42.68,7.6,3577
"5",1988-01-11 23:50:12.398743,874275,-3852855,29.96,10.8,58.24,10.16,3577
"6",1988-01-27 23:50:30.305655,874275,-3852855,66,10.32,22.68,6.04,3577
"7",1988-02-28 23:50:58.66721,874275,-3852855,60.92,7.64,30.4,5.52,3577
"8",1988-03-15 23:51:07.437633,874275,-3852855,62.68,8.32,27.92,6.24,3577
"9",1988-03-31 23:51:14.544689,874275,-3852855,17.32,11.2,70.44,10.6,3577
"10",1988-04-16 23:51:18.748581,874275,-3852855,50.72,6.96,41.16,6.56,3577
"11",1988-05-02 23:51:26.851467,874275,-3852855,43.56,10.24,44.8,8.12,3577
"12",1988-05-18 23:51:36.976606,874275,-3852855,24.04,18.32,56.52,11.64,3577
"13",1988-06-19 23:51:48.006274,874269.545454545,-3852848.18181818,28.9090909090909,27.6363636363636,42.2272727272727,13.9545454545455,3577
"14",1988-07-21 23:51:54.362629,874287.631578947,-3852842.36842105,19.9473684210526,34.4210526315789,44.4210526315789,10.4210526315789,3577
"15",1988-08-06 23:51:54.837302,874275,-3852855,19.32,28.32,51.08,12.96,3577
"16",1988-08-22 23:51:57.965738,874275,-3852855,19.12,23.76,55.84,11.64,3577
"17",1988-09-07 23:51:59.518265,874275,-3852855,37.6,17.96,43.2,11.24,3577
"18",1988-09-23 23:51:53.754798,874275,-3852855,33.16,19.56,46.16,13.36,3577
"19",1988-10-25 23:51:45.07953,874285.714285714,-3852825,29.9285714285714,15.5714285714286,53.6428571428571,6.57142857142857,3577
"20",1988-11-10 23:51:46.59328,874275,-3852855,37.8,14.96,46.08,8.12,3577
"21",1988-11-26 23:51:47.86092,874275,-3852855,0,8,89,2,3577
"22",1988-12-12 23:51:35.428062,874275,-3852855,47,10.76,41.2,7.32,3577
"23",1988-12-28 23:51:31.082469,874275,-3852855,49.08,11.12,38.56,7.36,3577
"24",1989-01-13 23:51:20.863457,874275,-3852855,54.08,9.68,35,6.56,3577
"25",1989-01-29 23:51:12.847789,874275,-3852855,47.08,7.88,43.88,6.32,3577
"26",1989-02-14 23:51:11.786233,874279.090909091,-3852846.81818182,39.2727272727273,10.2727272727273,49.3181818181818,6.81818181818182,3577
"27",1989-03-02 23:50:55.492466,874275,-3852855,56.2,7.96,34.64,6.56,3577
"28",1989-04-03 23:50:17.28263,874275,-3852855,47.68,10,40.92,7.64,3577
"29",1989-04-19 23:50:07.58696,874275,-3852855,57.72,10.2,30.8,7.36,3577
"30",1989-05-21 23:49:36.863029,874275,-3852855,23.12,23.64,51.96,12.56,3577
"31",1989-07-24 23:48:23.122608,874270.263157895,-3852864.47368421,58.1052631578947,13.2105263157895,27.8421052631579,11.0526315789474,3577
"32",1989-08-09 23:48:01.726674,874258.333333333,-3852811.66666667,23.8888888888889,25.4444444444444,49.5555555555556,11.5555555555556,3577
"33",1989-09-26 23:46:55.907111,874275,-3852855,33.68,14,51.08,9.96,3577
"34",1989-11-13 23:45:25.473463,874275,-3852855,40.12,9.56,49.32,6.8,3577
"35",1989-12-15 23:44:39.789077,874275,-3852855,52.6,6.8,39.4,6.84,3577
"36",1990-02-17 23:42:36.953882,874275,-3852855,52.44,3.56,42.64,6.92,3577
"37",1990-03-05 23:42:03.643081,874275,-3852855,47.32,3.92,47.52,6.84,3577
"38",1990-03-21 23:41:29.336187,874275,-3852855,55.76,2.92,39.96,6.72,3577
"39",1990-04-06 23:41:17.0238,874275,-3852855,48.96,5.04,44.88,6,3577
"40",1990-05-08 23:41:25.074493,874275,-3852855,54.96,3.44,40.4,6.64,3577
"41",1990-06-09 23:41:22.907963,874275,-3852855,22.2,11.92,64.6,11.56,3577
"42",1990-07-27 23:41:15.45612,874275,-3852855,36.36,11.12,51.24,9.92,3577
"43",1990-08-12 23:41:10.9118,874252.058823529,-3852860.29411765,33.2941176470588,11.8235294117647,53.9411764705882,18.7647058823529,3577
"44",1990-09-13 23:41:03.137944,874275,-3852795,44.3333333333333,12.3333333333333,42.3333333333333,6,3577
"45",1990-09-29 23:40:51.608517,874275,-3852855,54.52,5.92,38.24,7.24,3577
"46",1990-11-16 23:40:40.430055,874275,-3852855,57.96,5.76,34.92,6.72,3577
"47",1990-12-02 23:40:22.611195,874275,-3852855,49.68,3.68,45.48,6.52,3577
"48",1991-01-19 23:41:35.376856,874275,-3852855,59.88,4.08,34.84,5.2,3577
"49",1991-02-04 23:41:42.487281,874275,-3852855,67.88,3.32,27.44,5.4,3577
"50",1991-02-20 23:42:07.269398,874275,-3852855,68.64,1.2,29.12,5.24,3577
"51",1991-03-24 23:42:47.590853,874275,-3852855,66.08,0.88,32.08,5.36,3577
"52",1991-04-09 23:43:01.40318,874275,-3852855,62.56,1.12,35.24,5.64,3577
"53",1991-04-25 23:43:14.717057,874275,-3852855,16.28,8.72,73.96,10.8,3577
"54",1991-05-11 23:43:34.682622,874275,-3852855,43.2,3.28,52.72,8.12,3577
"55",1991-05-27 23:43:50.683169,874275,-3852855,52,2.68,44,6.84,3577
"56",1991-06-12 23:43:58.560669,874275,-3852855,24.48,13.28,60.88,11.6,3577
"57",1991-06-28 23:44:18.547252,874275,-3852855,17.64,17.88,63.12,13.44,3577
"58",1991-07-30 23:44:40.342923,874275,-3852855,22.28,23.72,52.8,11.44,3577
"59",1991-09-16 23:45:07.531096,874275,-3852855,13.28,19.72,66.8,18.36,3577
"60",1991-10-18 23:45:21.889147,874275,-3852855,49.56,12,37.44,7.04,3577
"61",1991-11-19 23:45:23.605651,874275,-3852855,53.8,7.8,37.04,6.44,3577
"62",1991-12-05 23:45:40.291872,874275,-3852855,57.68,5.44,35.68,6.28,3577
"63",1992-02-07 23:45:23.090434,874273.5,-3852847.5,41.35,11.6,46.15,8.95,3577
"64",1992-02-23 23:45:23.296428,874275,-3852855,57.68,2.56,38.4,5.84,3577
"65",1992-03-10 23:45:22.61064,874275,-3852855,61.64,2.04,35.12,5.96,3577
"66",1992-04-27 23:45:02.56929,874275,-3852855,21.24,9.52,67.96,11,3577
"67",1992-05-29 23:44:45.861536,874275,-3852855,26.16,17.6,55,11.24,3577
"68",1992-06-14 23:44:34.069039,874275,-3852855,31.88,20.8,46.24,10.44,3577
"69",1992-07-16 23:44:11.035038,874275,-3852855,28.2,23.52,47.04,10.88,3577
"70",1992-08-01 23:43:58.550381,874275,-3852855,38.84,18.12,41.8,8.48,3577
"71",1992-08-17 23:43:42.481113,874275,-3852855,35.4,17.28,46.04,10,3577
"72",1992-09-18 23:43:14.07754,874275,-3852855,20.16,19.88,58.72,12,3577
"73",1992-10-20 23:42:39.583925,874275,-3852855,11.88,20.8,66.36,12.8,3577
"74",1992-12-07 23:42:25.812443,874275,-3852855,18.44,15.72,64.56,10.68,3577
"75",1993-01-08 23:42:45.934356,874275,-3852855,32.96,12.36,53.68,7.36,3577
"76",1993-02-09 23:43:07.734079,874275,-3852855,54.56,11,33.4,6.32,3577
"77",1993-03-13 23:43:22.149855,874275,-3852855,41.4,11.56,45.84,7.36,3577
"78",1993-03-29 23:43:23.576975,874275,-3852855,32.24,13.56,52.96,8.64,3577
"79",1993-04-14 23:43:31.584942,874275,-3852855,38.48,13.36,46.96,8.12,3577
"80",1993-04-30 23:43:38.286684,874275,-3852855,42.08,11.64,45.08,7.44,3577
"81",1993-05-16 23:43:41.44579,874275,-3852855,37.88,13.64,47.28,8.88,3577
"82",1993-06-17 23:43:42.675864,874275,-3852855,19.48,18.2,61.08,10.64,3577
"83",1993-07-03 23:43:35.480009,874275,-3852855,13.36,15.16,70.6,13.36,3577
"84",1993-08-20 23:43:34.782465,874275,-3852855,47.04,14.4,37.08,7.52,3577
"85",1993-09-05 23:43:33.831495,874275,-3852855,25.88,18.56,54.36,10.64,3577
"86",1993-09-21 23:43:30.77904,874275,-3852855,17.2,20.96,60.56,13.24,3577
"87",1993-10-07 23:43:26.686513,874275,-3852855,16.72,20.08,61.92,11.92,3577
"88",1993-11-08 23:43:12.449195,874275,-3852855,32.92,16.2,49.88,7.92,3577
"89",1993-11-24 23:43:05.827684,874275,-3852855,41.84,11.84,45.2,7.8,3577
"90",1993-12-26 23:42:52.778611,874281.818181818,-3852848.18181818,39.3181818181818,15.5909090909091,44.5,19.3636363636364,3577
"91",1994-01-11 23:42:38.925517,874275,-3852855,34.28,10.24,54.4,7.56,3577
"92",1994-01-27 23:42:27.218326,874275,-3852855,40.6,8.16,50,7.16,3577
"93",1994-02-12 23:42:16.445556,874275,-3852855,19.92,12.16,66.68,9.64,3577
"94",1994-02-28 23:42:01.327938,874275,-3852855,29.2,10.92,58.88,9.6,3577
"95",1994-04-01 23:41:31.214746,874227,-3852819,36,10.2,52.4,6.6,3577
"96",1994-05-03 23:40:56.265286,874275,-3852855,47.6,7.24,43.84,7.52,3577
"97",1994-05-19 23:40:39.067303,874275,-3852855,21.2,12.36,65.24,11.08,3577
"98",1994-07-06 23:39:33.919238,874275,-3852855,39.64,12.88,46.28,9.44,3577
"99",1994-07-22 23:39:07.536578,874285.5,-3852861,50.8,11.8,36.15,12.35,3577
"100",1994-08-07 23:38:41.40998,874275,-3852855,33.12,12.24,53.32,11,3577
"101",1994-08-23 23:38:19.19174,874275,-3852855,44.68,8.8,45.08,8.84,3577
"102",1994-09-08 23:37:55.425189,874275,-3852855,34.32,9.24,55.2,9.92,3577
"103",1994-10-10 23:37:00.202493,874275,-3852855,46.8,7.6,44.36,7.32,3577
"104",1994-10-26 23:36:27.380258,874275,-3852855,51.8,7.52,39.28,6.72,3577
"105",1994-11-27 23:35:22.321283,874275,-3852855,57.6,6.84,34.2,7.2,3577
"106",1994-12-29 23:34:22.243702,874275,-3852855,63.28,5.16,30.16,6.36,3577
"107",1995-01-30 23:33:10.648399,874275,-3852855,65.6,3.84,29.28,5.88,3577
"108",1995-03-03 23:31:53.224421,874275,-3852855,58.92,2.04,37.88,5.8,3577
"109",1995-03-19 23:31:13.361666,874275,-3852855,60.48,2.44,35.88,5.68,3577
"110",1995-04-04 23:30:34.991771,874275,-3852855,24.08,8.24,66.36,10.96,3577
"111",1995-05-06 23:29:11.844697,874275,-3852855,25,11.36,62.64,11.76,3577
"112",1995-05-22 23:28:28.070289,874240,-3852855,48.9166666666667,11.3333333333333,38.1666666666667,13.5,3577
"113",1995-08-10 23:24:50.239136,874281.666666667,-3852845,46.3333333333333,18.6666666666667,34.2222222222222,13.2222222222222,3577
"114",1995-09-11 23:23:19.013408,874215,-3852795,48,20,30,11,3577
"115",1995-09-27 23:22:29.976844,874275,-3852855,40.36,14.12,44.28,8.36,3577
"116",1995-10-13 23:21:38.454795,874275,-3852855,42.08,14.36,42.24,7.92,3577
"117",1995-11-14 23:20:38.647276,874275,-3852855,53.96,8.56,36.4,6.84,3577
"118",1996-02-02 23:25:47.837966,874275,-3852855,62.76,5.32,30.52,6.52,3577
"119",1996-02-18 23:26:53.283316,874275,-3852855,55.12,4.32,39.08,6.64,3577
"120",1996-03-21 23:28:59.155824,874275,-3852855,53.88,6.76,38.12,6.2,3577
"121",1996-04-22 23:30:58.404017,874275,-3852855,61.08,6.68,30.88,5.88,3577
"122",1996-05-08 23:31:55.403844,874275,-3852855,56.32,5.52,36.88,6.52,3577
"123",1996-06-09 23:33:43.434471,874275,-3852855,31.84,13.76,53.2,10.76,3577
"124",1996-06-25 23:34:34.596349,874222.5,-3852817.5,51.75,13,33.75,19.75,3577
"125",1996-08-12 23:37:06.010863,874283.571428571,-3852876.42857143,64.7142857142857,17.8571428571429,16.1428571428571,5.71428571428571,3577
"126",1996-08-28 23:37:58.041764,874305,-3852795,41.6666666666667,16.3333333333333,41,11.6666666666667,3577
"127",1996-12-18 23:43:35.388244,874275,-3852855,57.6,4.6,36.36,6.16,3577
"128",1997-01-03 23:44:21.830208,874275,-3852855,54.72,5.28,38.56,6.4,3577
"129",1997-01-19 23:45:06.426067,874275,-3852855,51.32,5.28,42.12,7.12,3577
"130",1997-02-04 23:45:48.905251,874275,-3852855,60.72,4.8,33.36,5.6,3577
"131",1997-03-08 23:47:07.696483,874275,-3852855,61.96,4.04,32.52,6.48,3577
"132",1997-03-24 23:47:44.67329,874335,-3852795,39,5,55,10,3577
"133",1997-04-09 23:48:19.605642,874275,-3852855,55.76,2.44,40.64,6.64,3577
"134",1997-04-25 23:48:53.739372,874275,-3852855,56.84,2.08,39.96,6.72,3577
"135",1997-05-27 23:50:00.900318,874275,-3852855,28.6,7.24,62.68,10.28,3577
"136",1997-06-28 23:51:06.857972,874275,-3852855,38.44,7.88,52.32,9.04,3577
"137",1997-08-15 23:52:42.87994,874275,-3852855,43.68,5.84,49.04,9.84,3577
"138",1997-09-16 23:53:38.833847,874275,-3852855,56.28,7.16,35.2,7.44,3577
"139",1997-10-02 23:54:06.834958,874230,-3852825,42.25,15.75,41,11.75,3577
"140",1997-10-18 23:54:32.483829,874275,-3852855,64.44,7.32,26.96,7.08,3577
"141",1997-11-03 23:54:58.152193,874275,-3852855,63.64,6.8,28.28,6.48,3577
"142",1997-11-19 23:55:19.459964,874275,-3852855,67.92,6.92,24,6.32,3577
"143",1997-12-05 23:55:44.948472,874275,-3852855,56.36,4.52,37.68,4.2,3577
"144",1998-01-22 23:56:49.663419,874275,-3852855,70.72,5,23.16,5.32,3577
"145",1998-02-07 23:57:11.37369,874275,-3852855,10.6,13.76,74.6,9.88,3577
"146",1998-02-23 23:57:28.809969,874275,-3852855,75.56,4.36,18.92,5.32,3577
"147",1998-05-14 23:58:37.985517,874275,-3852855,47.44,9.44,41.88,6.6,3577
"148",1998-05-30 23:58:53.158155,874275,-3852855,67.8,10.72,20.6,12.92,3577
"149",1998-06-15 23:59:05.041765,874275,-3852855,36,14.76,47.96,10.12,3577
"150",1998-08-02 23:59:33.40131,874275,-3852855,27.88,16.72,54.24,10.96,3577
"151",1998-11-23 00:00:14.055572,874275,-3852855,60.88,9.96,28,5.76,3577
"152",1998-12-25 00:00:16.193151,874275,-3852855,49.68,9.72,39.48,5.16,3577
"153",1999-01-10 00:00:13.687412,874275,-3852855,58,6.76,34.04,6.56,3577
"154",1999-01-26 00:00:14.253294,874275,-3852855,60.04,7.16,31.56,5.32,3577
"155",1999-03-14 00:00:13.453685,874275,-3852855,62.84,6.68,29.24,5.52,3577
"156",1999-06-02 23:59:16.324727,874284,-3852843,45.1,10.9,43.15,10.6,3577
"157",1999-06-18 23:59:08.048876,874275,-3852855,39.76,13.76,45.12,9.04,3577
"158",1999-07-04 23:58:59.604032,874275,-3852855,36.64,16.4,45.76,10.88,3577
"159",1999-07-29 00:14:04.368098,874275,-3852855,55.76,14.24,28.68,7.64,3577
"160",1999-08-05 23:58:53.80186,874275,-3852855,60.68,13.2,24.92,6.96,3577
"161",1999-08-14 00:14:04.430085,874275,-3852855,32.76,21.4,44.56,11.64,3577
"162",1999-08-21 23:58:40.988494,874275,-3852855,53.28,14.64,30.8,8.4,3577
"163",1999-08-30 00:14:08.932894,874275,-3852855,34.44,20.52,43.72,11.2,3577
"164",1999-09-06 23:58:09.56009,874275,-3852855,37.76,17.76,43.28,10.28,3577
"165",1999-10-01 00:14:13.292099,874275,-3852855,48.64,14.68,35.44,8.04,3577
"166",1999-10-17 00:14:08.777374,874275,-3852855,53.6,12.48,33,7.36,3577
"167",1999-11-02 00:14:04.515598,874275,-3852855,47.76,12.8,38.48,7.4,3577
"168",1999-11-25 23:56:32.099566,874275,-3852855,55.12,10.36,33.36,6.32,3577
"169",1999-12-11 23:56:19.930294,874269.782608696,-3852851.08695652,58.7826086956522,8.65217391304348,31.304347826087,5.30434782608696,3577
"170",1999-12-20 00:14:07.696561,874275,-3852855,59.36,10.8,28.88,6.44,3577
"171",2000-01-05 00:14:01.634123,874275,-3852855,60.08,10.28,28.48,6.08,3577
"172",2000-02-06 00:13:57.460404,874275,-3852855,60.44,7.76,30.56,6.16,3577
"173",2000-03-25 00:13:47.296841,874275,-3852855,38.44,9.56,50.84,5.96,3577
"174",2000-04-10 00:13:33.967674,874276.304347826,-3852857.60869565,55.0434782608696,14.7826086956522,29.0869565217391,6.78260869565217,3577
"175",2000-04-26 00:13:31.053918,874275,-3852855,34.04,15.36,49.52,9.2,3577
"176",2000-05-12 00:13:19.296169,874275,-3852855,27.56,16.8,54.48,9.96,3577
"177",2000-06-13 00:13:03.655635,874272.5,-3852853.75,31.2916666666667,17.25,50.25,10.75,3577
"178",2000-08-16 00:12:16.547606,874275,-3852855,20.88,20.12,57.84,14.32,3577
"179",2000-09-17 00:11:44.546225,874275,-3852855,38.32,15.96,44.36,6.24,3577
"180",2000-11-20 00:11:31.121867,874275,-3852855,39.88,10.8,48.2,7.52,3577
"181",2000-12-06 00:11:29.740821,874275,-3852855,49.72,13.84,35.48,8.84,3577
"182",2001-01-07 00:11:38.084099,874275,-3852855,51.28,9.96,37.64,6.36,3577
"183",2001-02-08 00:11:35.793726,874275,-3852855,42.56,9.16,47.16,6.72,3577
"184",2001-02-24 00:11:34.047684,874281.818181818,-3852848.18181818,40.3636363636364,8.36363636363636,50.1818181818182,5.59090909090909,3577
"185",2001-03-28 00:11:21.258877,874268.076923077,-3852825,56.9230769230769,13.5384615384615,28.2307692307692,5.84615384615385,3577
"186",2001-04-13 00:11:19.194503,874275,-3852855,52.24,8.4,38.16,6.84,3577
"187",2001-04-29 00:11:16.898471,874275,-3852855,42.12,11.12,45.72,8.56,3577
"188",2001-05-15 00:11:04.424165,874275,-3852855,42.28,10.32,45.92,8.4,3577
"189",2001-05-31 00:10:57.100746,874275,-3852855,25.88,14.92,57.92,12.4,3577
"190",2001-08-03 00:10:18.275197,874275,-3852855,45.44,13.64,39.6,8.4,3577
"191",2001-08-19 00:10:01.133808,874275,-3852855,35.64,13,50,10.28,3577
"192",2001-09-04 00:09:48.554798,874293,-3852879,48,14.6,36.4,16.8,3577
"193",2001-11-07 00:09:36.254413,874275,-3852855,49.36,12.76,36.68,8.24,3577
"194",2002-01-10 00:09:57.663473,874275,-3852855,51.6,8.64,38.52,7.24,3577
"195",2002-01-26 00:10:02.969261,874275,-3852855,49.48,8.48,40.76,7.56,3577
"196",2002-02-11 00:10:06.594065,874275,-3852855,55.32,7.2,36.16,7.12,3577
"197",2002-02-27 00:10:09.261575,874275,-3852855,54.72,6.72,37.32,6.28,3577
"198",2002-03-15 00:10:04.130503,874275,-3852855,56.64,5.04,37.04,6.2,3577
"199",2002-03-31 00:09:59.319912,874275,-3852855,52.04,7,39.56,7.24,3577
"200",2002-04-16 00:09:58.363275,874275,-3852855,52,6.72,40.04,7.36,3577
"201",2002-05-02 00:10:02.490118,874275,-3852855,49.92,5.08,43.6,7.32,3577
"202",2002-07-21 00:09:29.236133,874275,-3852855,48.28,9.28,40.84,8.72,3577
"203",2002-08-06 00:09:22.057099,874273.421052632,-3852872.36842105,51.3157894736842,9,38.2105263157895,13.5263157894737,3577
"204",2002-09-07 00:09:10.463215,874275,-3852855,58.36,3.8,36.52,5.36,3577
"205",2002-09-23 00:08:58.324524,874275,-3852855,61.04,5.36,32.32,7.04,3577
"206",2002-11-10 00:09:04.707103,874275,-3852855,65.36,6.68,26.68,5.52,3577
"207",2002-12-12 00:09:26.361129,874275,-3852855,63.92,3.32,31.56,6.2,3577
"208",2002-12-28 00:09:32.650826,874275,-3852855,67.44,3.88,27.4,6.04,3577
"209",2003-01-13 00:09:36.068261,874275,-3852855,55.52,4.72,38.76,5.8,3577
"210",2003-01-29 00:09:42.021708,874275,-3852855,59.68,2.48,36.56,6.16,3577
"211",2003-02-14 00:09:52.746722,874275,-3852855,66.32,2.28,29.96,6.12,3577
"212",2003-03-02 00:09:53.881298,874275,-3852855,61.28,3.48,34,5.6,3577
"213",2003-03-18 00:09:54.531793,874275,-3852855,62,2.24,34.72,5.76,3577
"214",2003-04-03 00:09:55.896562,874275,-3852855,65.16,4.48,29.12,6.16,3577
"215",2003-04-19 00:09:56.406432,874275,-3852855,62.08,4.12,32.64,6.48,3577
"216",2003-05-05 00:09:57.687438,874275,-3852855,64.8,3.4,30.36,6.64,3577
"217",2003-05-21 00:09:51.819755,874275,-3852855,40.16,8.92,49.68,10.64,3577
"218",2003-07-24 00:09:42.794025,874275,-3852855,30.76,16.92,51,13.52,3577
"219",2003-07-31 23:57:55.299909,874275,-3852855,42.72,12.52,43.44,10.92,3577
"220",2003-08-09 00:09:35.44446,874280,-3852835,32.3888888888889,12.0555555555556,54.1666666666667,11.8888888888889,3577
"221",2003-08-16 23:58:11.340634,874275,-3852855,38.32,12.56,47.8,10.68,3577
"222",2003-08-25 00:09:35.004857,874275,-3852855,15.88,16.88,66.12,12.64,3577
"223",2003-09-26 00:09:23.375194,874290,-3852829.28571429,36.8571428571429,10.3571428571429,51.8571428571429,10.5,3577
