"","time","x","y","bs","pv","npv","ue","spatial_ref"
"1",1987-09-06 01:26:18.643636,-1401189,-3623637,8.4,46.4,43.8,20.6,3577
"2",1987-09-29 01:32:37.609143,-1401220,-3623638.33333333,19.6666666666667,41.9444444444444,37.1666666666667,15.6111111111111,3577
"3",1987-10-15 01:32:55.841301,-1401225,-3623640,10.25,42.25,46.15,17.85,3577
"4",1987-12-02 01:33:49.014491,-1401225,-3623640,10.9,36.5,51.45,18.75,3577
"5",1987-12-18 01:34:02.981443,-1401225,-3623640,5.9,30.8,62.15,15.8,3577
"6",1988-01-03 01:34:18.579015,-1401225,-3623640,6.8,39.65,52.55,18.4,3577
"7",1988-01-19 01:34:36.154746,-1401225,-3623640,11.45,37.7,49.65,17.7,3577
"8",1988-02-13 01:29:16.361725,-1401225,-3623640,8.25,40.1,50.4,17.05,3577
"9",1988-02-20 01:35:09.040106,-1401225,-3623640,10.5,37.75,50.6,18.15,3577
"10",1988-02-29 01:29:27.796906,-1401225,-3623640,9.4,39.9,49.4,17.15,3577
"11",1988-03-16 01:29:36.563335,-1401225,-3623640,16.85,35.45,46.35,21.5,3577
"12",1988-04-01 01:29:43.624851,-1401165,-3623640,3,45.5,50.5,18,3577
"13",1988-04-08 01:35:33.085843,-1401225,-3623640,7.55,44.55,46.75,19.45,3577
"14",1988-04-24 01:35:37.982088,-1401225,-3623640,9.7,43.9,44.9,13.65,3577
"15",1988-05-10 01:35:48.315742,-1401225,-3623640,5.35,50.35,43.1,22.4,3577
"16",1988-05-19 01:30:06.158575,-1401225,-3623640,16.7,43.65,38.2,18.45,3577
"17",1988-05-26 01:35:55.229329,-1401228.15789474,-3623642.36842105,8.94736842105263,56.2105263157895,33.3684210526316,21.4736842105263,3577
"18",1988-06-11 01:36:00.280804,-1401275,-3623675,55,28,16.3333333333333,8,3577
"19",1988-06-20 01:30:17.11716,-1401207,-3623643,14.1,49.8,34.7,23.8,3577
"20",1988-07-29 01:36:11.719618,-1401191.66666667,-3623645,4.44444444444444,49.6666666666667,44.5555555555556,24.5555555555556,3577
"21",1988-08-07 01:30:23.874068,-1401225,-3623640,6.6,50.25,41.9,23.2,3577
"22",1988-08-23 01:30:27.036436,-1401225,-3623640,6.75,48.95,43,21.7,3577
"23",1988-08-30 01:36:15.832318,-1401225,-3623640,14.45,44.7,39.6,20.05,3577
"24",1988-09-15 01:36:12.808439,-1401225,-3623640,9.4,45.25,44.05,21.55,3577
"25",1988-10-17 01:36:01.668595,-1401228.33333333,-3623640,25.7777777777778,39.5555555555556,33.5555555555556,15.9444444444444,3577
"26",1988-11-27 01:30:16.881754,-1401225,-3623640,9.55,38.3,51.05,16.9,3577
"27",1988-12-04 01:35:59.637102,-1401225,-3623640,9.65,40.3,49,18.5,3577
"28",1988-12-20 01:35:47.564365,-1401225,-3623640,10.65,42.15,45.95,18.6,3577
"29",1989-01-21 01:35:50.915453,-1401219.375,-3623649.375,14.0625,32.375,52.5,12,3577
"30",1989-02-06 01:35:30.119075,-1401225,-3623640,7.45,46.85,44.45,17.6,3577
"31",1989-02-22 01:35:22.539145,-1401225,-3623640,8.2,45.95,44.55,18.65,3577
"32",1989-03-10 01:34:57.825535,-1401225,-3623640,4.15,49.9,44.6,20.1,3577
"33",1989-03-26 01:34:24.160301,-1401225,-3623640,6.5,49.1,43.1,20,3577
"34",1989-04-27 01:34:17.026671,-1401225,-3623640,3,56.3,39.1,19.65,3577
