"","time","x","y","bs","pv","npv","ue","spatial_ref"
"1",1987-09-01 01:02:51.041915,-600495,-1765380,27.05,25,46.7,10.45,3577
"2",1987-09-17 01:03:14.729038,-600495,-1765380,24,24.65,50.05,9.75,3577
"3",1987-10-19 01:03:52.603647,-600495,-1765380,23.5,22.95,52.2,9,3577
"4",1987-11-04 01:04:11.173772,-600495,-1765380,21.1,24.25,53.4,9.8,3577
"5",1987-11-20 01:04:31.23478,-600495,-1765380,19.45,26.85,52.7,11.85,3577
"6",1987-12-06 01:04:45.469152,-600495,-1765380,23.7,29.3,45.55,10.85,3577
"7",1988-02-08 01:05:51.638236,-600495,-1765380,6.85,51,40.75,14.3,3577
"8",1988-02-24 01:06:05.056311,-600495,-1765380,16.5,43.5,38.95,12.65,3577
"9",1988-03-11 01:06:14.487024,-600495,-1765380,19.95,41.5,37.25,10.75,3577
"10",1988-03-27 01:06:22.488146,-600495,-1765380,8.4,42,48.25,12.9,3577
"11",1988-04-12 01:06:26.806894,-600495,-1765380,17.15,34.5,47,15.6,3577
"12",1988-04-28 01:06:31.923097,-600495,-1765380,16.6,36.45,45.85,12.25,3577
"13",1988-05-14 01:06:43.658167,-600495,-1765380,15.3,33.45,50.2,11.65,3577
"14",1988-05-30 01:06:50.076743,-600495,-1765380,17.15,31.8,49.8,11.85,3577
"15",1988-06-15 01:06:55.771971,-600495,-1765380,21.2,30,47.5,11.75,3577
"16",1988-07-17 01:07:03.31193,-600495,-1765380,20,27.8,50.75,11.05,3577
"17",1988-08-02 01:07:05.124013,-600495,-1765380,19.55,27.85,51.35,10.8,3577
"18",1988-09-03 01:07:08.942561,-600495,-1765380,19.6,27.5,51.8,10.3,3577
"19",1988-09-19 01:07:04.909685,-600495,-1765380,22.4,23.4,53,10.4,3577
"20",1988-10-05 01:06:59.809662,-600495,-1765380,17.2,24.05,57.45,9.95,3577
"21",1988-10-21 01:06:53.457517,-600495,-1765380,17.6,25.8,55.55,10.75,3577
"22",1988-11-22 01:06:57.200354,-600462.272727273,-1765384.09090909,11.9090909090909,31.1818181818182,55.8181818181818,11.2727272727273,3577
"23",1988-12-08 01:06:48.090977,-600495,-1765380,18.45,33.3,47.05,11.2,3577
"24",1989-01-09 01:06:37.157554,-600495,-1765380,15.5,38.2,45.1,11.85,3577
"25",1989-01-25 01:06:18.254233,-600495,-1765380,9.05,43.7,46.3,13.4,3577
"26",1989-02-26 01:06:11.434342,-600495,-1765380,8.8,47.55,42.5,14.8,3577
"27",1989-05-01 01:05:08.653425,-600495,-1765380,6.85,42.1,49.9,14.4,3577
"28",1989-05-17 01:04:49.638034,-600495,-1765380,8.2,38.25,52.5,14.05,3577
"29",1989-06-02 01:04:37.747953,-600495,-1765380,7.7,36.8,54.35,13.65,3577
"30",1989-06-18 01:04:11.500503,-600495,-1765380,29.4,23.85,45.4,16.2,3577
"31",1989-07-04 01:03:57.740152,-600495,-1765380,25.15,27.6,45.85,14.15,3577
"32",1989-07-20 01:03:37.074949,-600495,-1765380,29.2,25.25,44.3,13,3577
"33",1989-08-05 01:03:18.267916,-600555,-1765425,36,21,42,10,3577
"34",1989-09-06 01:02:35.950082,-600495,-1765380,30,22.55,46.15,11.15,3577
"35",1989-09-22 01:02:04.864973,-600495,-1765380,26.65,23.75,48.4,10.2,3577
"36",1989-10-08 01:01:52.94147,-600495,-1765380,26.85,24.75,47.3,10.1,3577
"37",1989-11-09 01:00:50.954148,-600495,-1765380,22.5,25.65,50.6,10.95,3577
"38",1989-12-11 00:59:56.484081,-600495,-1765380,19.75,27.8,51.25,12.25,3577
"39",1989-12-27 00:59:28.485542,-600495,-1765380,23.75,27.9,47.05,11.9,3577
"40",1990-03-17 00:56:51.144559,-600495,-1765380,15.65,44.5,38.5,12.85,3577
"41",1990-04-02 00:56:23.512808,-600495,-1765380,18.3,37.95,42.75,12.2,3577
"42",1990-05-04 00:56:28.445845,-600495,-1765380,17.65,34.75,46.35,12.55,3577
"43",1990-05-20 00:56:36.588608,-600495,-1765380,20.6,30.6,47.55,10.65,3577
"44",1990-06-05 00:56:32.069389,-600495,-1765380,23.9,29.05,45.65,11.65,3577
"45",1990-06-21 00:56:30.727866,-600495,-1765380,20.45,28.15,50.05,11.6,3577
"46",1990-07-07 00:56:29.175791,-600495,-1765380,23.15,26.8,49,11.15,3577
"47",1990-07-23 00:56:24.936447,-600495,-1765380,21.75,27.4,49.65,10.85,3577
"48",1990-09-09 00:56:11.219654,-600495,-1765380,21.35,24.85,52.4,10.55,3577
"49",1990-09-25 00:56:06.100036,-600495,-1765380,21.45,23.4,53.75,10.05,3577
"50",1990-10-11 00:55:57.648113,-600495,-1765380,23.55,23.35,51.9,9.2,3577
"51",1990-10-27 00:55:51.108403,-600495,-1765380,21.75,24.15,52.85,10.05,3577
"52",1990-11-12 00:55:51.468159,-600495,-1765380,21.45,22.7,54.45,9,3577
"53",1990-11-28 00:55:37.995561,-600495,-1765380,10.65,29.45,58.7,13.6,3577
"54",1990-12-30 00:56:07.386704,-600513,-1765374,24.5,30.3,44,11.7,3577
"55",1991-01-15 00:56:35.791864,-600495,-1765380,7.75,46.15,44.6,15.25,3577
"56",1991-01-31 00:56:55.409085,-600495,-1765380,2.8,45.05,51.35,10.1,3577
"57",1991-03-20 00:57:51.192472,-600495,-1765380,8,46,44.75,14.1,3577
"58",1991-04-05 00:58:01.55339,-600495,-1765380,8.2,39.65,51,13.4,3577
"59",1991-04-21 00:58:20.096318,-600495,-1765380,12.75,32.95,53.05,13.3,3577
"60",1991-05-07 00:58:40.120625,-600495,-1765380,13.7,30.35,54.65,12.55,3577
"61",1991-05-23 00:58:55.612419,-600495,-1765380,16.2,29.05,53.6,12.05,3577
"62",1991-06-08 00:59:08.750765,-600495,-1765380,38.95,24.8,34.85,7.05,3577
"63",1991-07-10 00:59:33.963626,-600495,-1765380,18,28.15,52.6,11.05,3577
"64",1991-07-26 00:59:48.853498,-600495,-1765380,17.9,23.35,57.45,10.4,3577
"65",1991-08-11 00:59:52.204527,-600495,-1765380,24.15,23.05,51.5,10.6,3577
"66",1991-08-27 01:00:00.204686,-600495,-1765380,26.15,19.35,53.35,9.6,3577
"67",1991-09-12 01:00:12.430116,-600495,-1765380,20.25,20.6,57.9,9.55,3577
"68",1991-10-14 01:00:28.650949,-600495,-1765380,18.25,21.05,59.4,8.95,3577
"69",1991-10-30 01:00:29.823885,-600495,-1765380,5.55,11.95,81.6,7.9,3577
"70",1991-11-15 01:00:33.242574,-600495,-1765380,17.3,21.5,60.15,10.05,3577
"71",1991-12-01 01:00:45.863664,-600495,-1765380,16.1,21.75,60.9,11.25,3577
"72",1991-12-17 01:00:44.286159,-600495,-1765380,17.35,22.2,59.2,10.85,3577
"73",1992-01-02 01:00:37.006867,-600495,-1765380,9.8,26.9,62.05,12.2,3577
"74",1992-01-18 01:00:36.467712,-600495,-1765380,20.05,24.45,54.15,11.1,3577
"75",1992-02-03 01:00:39.50794,-600495,-1765380,14.55,30.25,54.05,12.1,3577
"76",1992-02-19 01:00:30.07139,-600495,-1765380,16.25,34.05,48.5,11.65,3577
"77",1992-03-06 01:00:31.398799,-600495,-1765380,11.95,37.35,49.45,12.45,3577
"78",1992-03-22 01:00:31.01841,-600495,-1765380,16.4,36.85,45.5,12.2,3577
"79",1992-04-07 01:00:21.450692,-600495,-1765380,15,29.55,54.15,10.1,3577
"80",1992-05-09 01:00:05.164225,-600495,-1765380,18.65,28.3,52.05,11.7,3577
"81",1992-05-25 00:59:56.746005,-600495,-1765380,17.3,27.5,53.8,13,3577
"82",1992-06-10 00:59:47.856619,-600495,-1765380,23.4,25.5,49.85,11.8,3577
"83",1992-06-26 00:59:35.845817,-600495,-1765380,24.65,22.65,51.3,11.8,3577
"84",1992-07-12 00:59:23.777359,-600495,-1765380,24.65,22.25,51.65,11.55,3577
"85",1992-09-14 00:58:28.458232,-600495,-1765380,24.7,22.1,51.8,10.35,3577
"86",1992-09-30 00:58:07.953435,-600495,-1765380,22.45,19.85,56.6,9.95,3577
"87",1992-10-16 00:57:51.126365,-600495,-1765380,25.1,20.1,53.65,9.5,3577
"88",1992-11-01 00:57:39.685152,-600495,-1765380,23.45,21.8,53.55,9.2,3577
"89",1992-11-17 00:57:21.95753,-600495,-1765380,24.75,22.9,51.15,9.95,3577
