"","time","x","y","bs","pv","npv","ue","spatial_ref"
"1",1987-09-08 01:13:11.862183,-1079310,-3359865,24.45,17.05,57.2,10.4,3577
"2",1987-09-15 01:19:32.937988,-1079310,-3359865,26.35,15.25,57.2,10.45,3577
"3",1987-09-24 01:13:34.548068,-1079310,-3359865,26.6,17.7,54.4,10,3577
"4",1987-10-01 01:19:54.183625,-1079310,-3359865,29.6,16.05,52.85,10.05,3577
"5",1987-10-10 01:13:53.824235,-1079310,-3359865,43.8,12.65,42.75,10.6,3577
"6",1987-10-17 01:20:11.821978,-1079310,-3359865,30.65,15.15,53.15,10.25,3577
"7",1987-11-02 01:20:29.070196,-1079310,-3359865,27.3,13.1,58.2,9.8,3577
"8",1987-11-18 01:20:49.845577,-1079310,-3359865,27.8,14.95,55.85,9.7,3577
"9",1987-11-27 01:14:48.262918,-1079310,-3359865,36.4,13.95,48.05,9.45,3577
"10",1987-12-04 01:21:04.691579,-1079310,-3359865,0,29.1,71.8,6,3577
"11",1987-12-20 01:21:18.90038,-1079310,-3359865,21.45,12.6,64.55,9.75,3577
"12",1987-12-29 01:15:17.688411,-1079292.69230769,-3359860.38461538,21.6923076923077,12.0769230769231,65.0769230769231,9.23076923076923,3577
"13",1988-01-05 01:21:34.838834,-1079310,-3359865,24.6,12.95,61.15,9.75,3577
"14",1988-01-21 01:21:52.132696,-1079312.14285714,-3359880,54.6428571428571,13.2142857142857,30.7142857142857,14.8571428571429,3577
"15",1988-02-06 01:22:10.70126,-1079310,-3359865,25.1,12.5,61.05,9.75,3577
"16",1988-02-15 01:16:08.470714,-1079310,-3359865,26.45,12.8,59.45,9.3,3577
"17",1988-02-22 01:22:24.724109,-1079310,-3359865,29.55,11,58.05,9.4,3577
"18",1988-03-02 01:16:19.049235,-1079320.71428571,-3359852.14285714,5.78571428571429,5.35714285714286,88.2857142857143,16.6428571428571,3577
"19",1988-04-03 01:16:34.995767,-1079310,-3359865,21,11.35,66.2,9.4,3577
"20",1988-04-19 01:16:39.248061,-1079310,-3359865,23.3,13.45,62.05,10.2,3577
"21",1988-04-26 01:22:52.476588,-1079310,-3359865,24.1,12.95,61.65,9.2,3577
"22",1988-06-06 01:17:02.859468,-1079310,-3359865,16.95,18.7,63.25,11.75,3577
"23",1988-06-13 01:23:15.746229,-1079310,-3359865,23.6,15.25,60,9.4,3577
"24",1988-07-08 01:17:11.423543,-1079313.33333333,-3359858.33333333,14,19.8888888888889,65,15.2222222222222,3577
"25",1988-07-15 01:23:24.015232,-1079310,-3359865,7.55,13.05,78.5,11.2,3577
