"","time","x","y","bs","pv","npv","ue","spatial_ref"
"1",1987-09-11 01:43:22.699012,-1699485,-3101925,19.84,27.28,51.72,9.92,3577
"2",1987-09-27 01:43:44.785809,-1699485,-3101925,23.16,24.64,50.92,10.32,3577
"3",1987-12-16 01:45:10.77132,-1699485,-3101925,21.4,16,61.4,9.08,3577
"4",1988-01-17 01:45:43.746617,-1699485,-3101925,30.2,15.04,53.52,8.84,3577
"5",1988-02-02 01:46:01.915498,-1699485,-3101925,21.4,17.32,59.96,10.08,3577
"6",1988-02-18 01:46:17.283215,-1699485,-3101925,27.2,15.04,56.36,9.12,3577
"7",1988-03-21 01:46:35.980164,-1699485,-3101925,28.64,15.84,54.16,8.92,3577
"8",1988-04-06 01:46:42.47366,-1699485,-3101925,18.56,15.8,64.32,9.08,3577
"9",1988-04-22 01:46:46.966298,-1699485,-3101925,21.2,19.92,57.64,10.08,3577
"10",1988-05-08 01:46:56.628553,-1699485,-3101925,21.8,18.4,58.28,10.08,3577
"11",1988-05-24 01:47:04.404216,-1699485,-3101925,16.32,24.8,57.56,11.4,3577
"12",1988-07-27 01:47:21.345564,-1699485,-3101925,15.16,28.08,55.6,12.4,3577
"13",1988-08-28 01:47:25.124875,-1699485,-3101925,20.2,27.76,50.64,10.92,3577
"14",1988-09-29 01:47:15.245645,-1699445,-3101965,7.33333333333333,21.3333333333333,70.6666666666667,16.1666666666667,3577
"15",1988-10-15 01:47:11.495925,-1699485,-3101925,23.56,27.52,47.56,10.44,3577
"16",1988-10-31 01:47:13.255869,-1699525,-3101965,11.8333333333333,23.3333333333333,64,10.5,3577
"17",1988-12-18 01:46:58.278142,-1699485,-3101925,17.44,24.2,57.04,8.8,3577
"18",1989-01-03 01:46:57.117516,-1699485,-3101925,22.28,24.24,52.24,10.32,3577
"19",1989-01-19 01:46:39.092654,-1699485,-3101925,19.48,22.04,57.28,9.88,3577
"20",1989-02-04 01:46:40.412779,-1699485,-3101925,22.56,20.76,55.36,9.28,3577
"21",1989-02-20 01:46:34.648559,-1699485,-3101925,20.92,20.68,57.2,8.6,3577
"22",1989-03-08 01:46:12.221239,-1699485,-3101925,21.48,21.92,55.48,10.04,3577
"23",1989-03-24 01:45:32.016746,-1699485,-3101925,24.64,21.36,52.68,9.48,3577
"24",1989-04-25 01:45:28.966385,-1699485,-3101925,19.4,24,55.4,10.28,3577
"25",1989-05-11 01:45:15.569129,-1699485,-3101925,16.92,30.64,51.36,11.16,3577
"26",1989-05-27 01:44:59.670748,-1699485,-3101925,8.52,36.32,54.04,14.08,3577
"27",1989-07-14 01:44:01.193761,-1699485,-3101925,12.16,31.84,54.6,13.16,3577
"28",1989-07-30 01:43:42.838709,-1699485,-3101925,11.88,33.88,53,13.08,3577
"29",1989-08-15 01:43:20.222184,-1699485,-3101925,24.44,26.04,48.28,10.04,3577
"30",1989-08-31 01:43:00.959926,-1699485,-3101925,19.96,28.2,50.76,11.28,3577
"31",1989-09-16 01:42:26.817659,-1699485,-3101925,21,28,49.8,10.76,3577
"32",1989-11-03 01:41:19.250503,-1699485,-3101925,22.88,21.32,54.52,9.44,3577
"33",1989-11-19 01:40:40.646372,-1699485,-3101925,25.6,17.08,55.96,9.72,3577
"34",1990-02-23 01:37:52.924348,-1699485,-3101925,18.84,19.16,60.76,10.04,3577
"35",1990-03-11 01:37:19.026887,-1699485,-3101925,13.88,19.48,65.36,10.08,3577
"36",1990-04-28 01:36:46.930078,-1699485,-3101925,16.32,24.32,58.04,11.44,3577
"37",1990-05-30 01:36:48.389056,-1699485,-3101925,13.88,26.48,58.28,13,3577
"38",1990-07-01 01:36:46.823747,-1699485,-3101925,15.76,29.64,53.36,13.2,3577
"39",1990-07-17 01:36:42.947298,-1699486.57894737,-3101918.68421053,14.9473684210526,24.1578947368421,59.6842105263158,18.6315789473684,3577
"40",1990-09-03 01:36:28.243855,-1699485,-3101925,24.16,23.04,51.76,11.12,3577
"41",1990-10-05 01:36:10.532925,-1699485,-3101925,24.12,23.48,51.2,11.76,3577
"42",1990-11-06 01:36:05.495966,-1699485,-3101925,25.28,20.24,53.04,10.12,3577
"43",1990-12-08 01:35:54.263642,-1699485,-3101925,22.8,16.92,58.96,9.84,3577
"44",1990-12-24 01:36:14.689863,-1699485,-3101925,21.24,15.76,61.8,9.52,3577
"45",1991-01-09 01:36:39.880366,-1699485,-3101925,21.96,15.52,61.2,9.52,3577
"46",1991-01-25 01:37:08.158854,-1699485,-3101925,25.16,16.92,56.6,9.36,3577
"47",1991-02-10 01:37:18.410825,-1699485,-3101925,23.28,14.28,61.16,9.64,3577
"48",1991-02-26 01:37:39.799161,-1699485,-3101925,7.84,20.04,70.92,10.4,3577
"49",1991-03-14 01:37:59.062523,-1699485,-3101925,23.28,17.88,57.48,9.64,3577
"50",1991-03-30 01:38:12.500238,-1699485,-3101925,20.76,15.76,62.28,10.08,3577
"51",1991-04-15 01:38:33.51964,-1699485,-3101925,19.24,17.04,62.64,10.44,3577
"52",1991-05-17 01:39:03.204265,-1699485,-3101925,14.2,21.28,63.32,11.84,3577
"53",1991-06-02 01:39:20.938321,-1699485,-3101925,10.6,26.4,61.88,13.48,3577
"54",1991-07-04 01:39:49.512257,-1699485,-3101925,10.48,27.6,60.76,14.6,3577
"55",1991-07-20 01:40:00.9525,-1699485,-3101925,10.56,26.36,62.04,15.36,3577
"56",1991-08-05 01:40:07.995321,-1699533,-3101889,20,22.2,56.6,13.8,3577
"57",1991-08-21 01:40:12.571072,-1699485,-3101925,18.52,24.36,55.84,11.84,3577
"58",1991-09-22 01:40:35.110134,-1699485,-3101925,19.6,21.44,57.88,10.08,3577
"59",1991-10-08 01:40:40.543849,-1699485,-3101925,22.08,24.84,51.88,10.52,3577
"60",1991-11-09 01:40:49.178451,-1699485,-3101925,24.12,21.64,53.12,10.4,3577
"61",1991-11-25 01:40:54.189874,-1699485,-3101925,27.48,18.88,52.36,7.76,3577
"62",1991-12-27 01:40:57.72421,-1699485,-3101925,19.76,20.6,58.44,10.36,3577
"63",1992-01-12 01:40:52.554519,-1699485,-3101925,25.16,16,57.92,9.92,3577
"64",1992-01-28 01:40:57.369937,-1699485,-3101925,20.36,19.52,58.8,10.08,3577
"65",1992-02-29 01:40:47.971041,-1699485,-3101925,20.96,19.96,57.88,9.64,3577
"66",1992-03-16 01:40:49.136211,-1699485,-3101925,8.24,18.88,71.64,10.4,3577
"67",1992-04-01 01:40:41.789038,-1699485,-3101925,23.2,20.24,55.24,8,3577
"68",1992-04-17 01:40:35.228614,-1699485,-3101925,11.64,24.76,62.44,11.56,3577
"69",1992-05-03 01:40:25.752558,-1699485,-3101925,14.8,24.4,59.68,11.32,3577
"70",1992-05-19 01:40:16.522435,-1699485,-3101925,16.6,23.52,58.6,11.04,3577
"71",1992-07-22 01:39:32.340497,-1699485,-3101925,14.88,26.08,57.88,12.4,3577
"72",1992-08-07 01:39:20.100823,-1699485,-3101925,13.84,22,63.08,19.36,3577
"73",1992-08-23 01:39:03.525092,-1699485,-3101925,19,26.04,53.64,11.48,3577
"74",1992-09-08 01:38:50.545244,-1699485,-3101925,18.68,20.28,59.6,10.04,3577
"75",1992-09-24 01:38:33.162183,-1699485,-3101925,20.44,23.6,54.48,11.04,3577
"76",1992-10-10 01:38:09.211531,-1699485,-3101925,26.12,21.96,50.56,10.68,3577
"77",1992-10-26 01:38:01.947297,-1699485,-3101925,21.72,23.92,53,10,3577
"78",1992-11-11 01:37:42.070552,-1699485,-3101925,24.56,21.44,52.68,10.08,3577
"79",1993-01-30 01:38:25.921789,-1699485,-3101925,27.32,13.64,57.64,7.6,3577
"80",1993-02-15 01:38:35.169379,-1699485,-3101925,19.12,20.88,58.72,10.04,3577
"81",1993-03-03 01:38:42.145142,-1699485,-3101925,21.4,18.04,59.32,9.76,3577
"82",1993-03-19 01:38:47.739223,-1699485,-3101925,19.44,17.88,61.56,9.08,3577
"83",1993-04-04 01:38:51.462791,-1699485,-3101925,20.08,18.44,60.12,9.56,3577
"84",1993-04-20 01:39:00.239911,-1699485,-3101925,15.32,20.32,63.16,10.8,3577
"85",1993-05-06 01:39:04.489066,-1699485,-3101925,14.64,24.92,59.08,12.16,3577
"86",1993-06-23 01:39:06.493011,-1699485,-3101925,6.44,30.48,62.12,13.8,3577
"87",1993-07-09 01:39:01.56999,-1699485,-3101925,12.28,27.6,58.76,13.12,3577
"88",1993-08-26 01:38:59.892441,-1699485,-3101925,20.88,24.68,53.12,11.24,3577
"89",1993-09-27 01:38:55.673592,-1699485,-3101925,21.44,23.84,53.28,10.12,3577
"90",1993-10-13 01:38:50.845738,-1699485,-3101925,21.84,20.76,56.04,10.04,3577
"91",1993-10-29 01:38:44.2383,-1699485,-3101925,20.48,18.76,59.64,10.16,3577
"92",1993-12-16 01:38:25.029765,-1699485,-3101925,28.8,17.72,52.16,10.04,3577
"93",1994-01-17 01:37:59.100151,-1699485,-3101925,20.48,14.16,64.12,9.6,3577
"94",1994-02-02 01:37:50.061042,-1699485,-3101925,18.68,15.52,64.52,9.44,3577
"95",1994-03-06 01:37:22.449162,-1699485,-3101925,22.88,19.44,56.32,10.24,3577
"96",1994-03-22 01:37:08.17603,-1699485,-3101925,16.12,19.24,63.56,10.08,3577
"97",1994-04-07 01:36:51.129203,-1699485,-3101925,21.68,18.88,58.16,10.12,3577
"98",1994-04-23 01:36:33.750109,-1699485,-3101925,16.88,18.44,63.36,10.56,3577
"99",1994-05-09 01:36:15.834875,-1699485,-3101925,18.56,18.72,61.44,11.16,3577
"100",1994-05-25 01:35:59.46439,-1699485,-3101925,9.84,24.96,64.12,12.4,3577
"101",1994-06-10 01:35:40.324914,-1699485,-3101925,11.88,24.24,62.72,12.72,3577
"102",1994-06-26 01:35:17.642308,-1699485,-3101925,13.76,26.88,58.24,13.04,3577
"103",1994-07-12 01:34:51.513181,-1699485,-3101925,12.16,21.28,65.4,17.72,3577
"104",1994-07-28 01:34:24.42677,-1699485,-3101925,17.96,24.72,56.16,12.44,3577
"105",1994-08-29 01:33:37.459891,-1699485,-3101925,16.48,25.44,56.6,11.32,3577
"106",1994-09-14 01:33:13.048709,-1699485,-3101925,18.12,25.08,55.48,11.16,3577
"107",1994-10-16 01:32:16.01196,-1699485,-3101925,20,23.4,55.48,10.56,3577
"108",1994-11-17 01:31:08.899728,-1699485,-3101925,23.4,16,59.56,9.44,3577
"109",1994-12-03 01:30:39.271891,-1699485,-3101925,20.44,15.72,62.52,10.08,3577
"110",1995-01-04 01:29:37.249146,-1699485,-3101925,23.6,15.4,59.76,9.72,3577
"111",1995-01-20 01:29:02.155056,-1699485,-3101925,16.16,17.24,65.2,9.92,3577
"112",1995-02-05 01:28:23.96152,-1699485,-3101925,21.56,15.24,61.84,9.68,3577
"113",1995-02-21 01:27:44.600811,-1699485,-3101925,13.88,18.92,66,10,3577
"114",1995-03-09 01:27:06.55751,-1699485,-3101925,20.72,15.16,62.92,10,3577
"115",1995-03-25 01:26:26.691784,-1699485,-3101925,15.2,18.88,64.56,9.36,3577
"116",1995-04-10 01:25:48.128697,-1699485,-3101925,9.08,25.92,63.8,11.2,3577
"117",1995-05-12 01:24:23.282852,-1699485,-3101925,7.36,27.52,63.92,12.2,3577
"118",1995-05-28 01:23:39.471588,-1699485,-3101925,8.12,28.88,62,12.84,3577
"119",1995-06-13 01:22:54.481929,-1699485,-3101925,10.08,31.44,57.32,13.36,3577
"120",1995-06-29 01:22:11.643215,-1699485,-3101925,10.96,29.04,58.88,13.2,3577
"121",1995-07-15 01:21:27.662378,-1699485,-3101925,10.72,30.48,57.76,16.76,3577
"122",1995-08-16 01:20:01.808322,-1699485,-3101925,18.48,26.12,53.96,12.36,3577
"123",1995-09-01 01:19:16.754061,-1699485,-3101925,22.08,23.48,53.08,11.36,3577
"124",1995-09-17 01:18:29.508988,-1699537.5,-3101887.5,14,14.5,70.75,14,3577
"125",1995-10-19 01:16:47.284457,-1699485,-3101925,15.72,25.28,57.64,10.64,3577
"126",1995-11-04 01:16:08.407182,-1699485,-3101925,18.4,21.32,59,10.4,3577
"127",1995-11-20 01:16:13.934288,-1699485,-3101925,17.08,20.96,60.8,10.32,3577
"128",1995-12-06 01:16:59.095925,-1699485,-3101925,21.52,17.76,59.44,9.88,3577
"129",1996-01-07 01:19:19.548518,-1699485,-3101925,25.4,17.28,56,9.8,3577
"130",1996-02-24 01:22:39.504285,-1699485,-3101925,18.48,17.84,62.36,9.48,3577
"131",1996-03-11 01:23:42.732731,-1699485,-3101925,15.88,15.72,66.96,10,3577
"132",1996-04-28 01:26:42.377445,-1699485,-3101925,12.96,23.72,62.04,11.4,3577
"133",1996-06-15 01:29:25.628557,-1699485,-3101922.5,7.16666666666667,31.0833333333333,60.4583333333333,10.875,3577
"134",1996-07-17 01:31:06.431673,-1699448.33333333,-3101951.66666667,9.88888888888889,22.8888888888889,66.2222222222222,11.6666666666667,3577
"135",1996-08-02 01:31:57.627819,-1699486.5,-3101920.5,5.5,17.25,77.05,15.8,3577
"136",1996-08-18 01:32:47.668044,-1699485,-3101925,18.8,24.8,55.2,12.12,3577
"137",1996-09-03 01:33:40.711348,-1699485,-3101925,19.56,24.44,54.52,11.2,3577
"138",1996-09-19 01:34:33.589889,-1699491.81818182,-3101918.18181818,25.0909090909091,22.3636363636364,51.1818181818182,8.36363636363636,3577
"139",1996-10-21 01:36:13.394089,-1699485,-3101925,11.64,27.8,59.4,12.32,3577
"140",1996-11-22 01:37:43.39522,-1699485,-3101925,18.64,24.48,55.6,10.28,3577
"141",1996-12-08 01:38:30.461225,-1699485,-3101925,21.24,23.16,54.28,10.28,3577
"142",1996-12-24 01:39:15.947552,-1699485,-3101925,18.68,23.6,56.36,10.12,3577
"143",1997-01-09 01:40:01.865141,-1699508.33333333,-3101941.66666667,22.8888888888889,18.6666666666667,57,8.33333333333333,3577
"144",1997-01-25 01:40:45.892748,-1699485,-3101925,20.04,23.2,55.6,9.72,3577
"145",1997-02-10 01:41:27.857325,-1699485,-3101925,20.08,22.96,55.64,10.08,3577
"146",1997-02-26 01:42:07.576807,-1699485,-3101925,17.28,27.28,54.32,10.6,3577
"147",1997-03-30 01:43:21.694686,-1699485,-3101925,15.96,26.56,56.28,9.32,3577
