"","time","pv","npv","bs","ue","x","y","spatial_ref"
"1",1987-09-12 00:48:58.733937,15,49,35,9,-347895,-3490575,3577
"2",1987-09-21 00:43:00.490503,23.55,30.6,44.9,7.8,-347850,-3490635,3577
"3",1987-10-14 00:49:39.068046,22.35,33.1,43.5,8.3,-347850,-3490635,3577
"4",1987-10-30 00:49:54.511999,19.55,34.8,44.3,7.25,-347850,-3490635,3577
"5",1987-12-10 00:44:28.121215,15.4615384615385,43.3076923076923,40.5384615384615,8,-347869.615384615,-3490628.07692308,3577
"6",1987-12-17 00:50:46.179331,17.1,45.15,36.7,6.75,-347850,-3490635,3577
"7",1988-01-02 00:51:02.846792,15.15,46.35,37.45,6.45,-347850,-3490635,3577
"8",1988-01-18 00:51:19.372649,17.7,29.1,52.2,6.25,-347850,-3490635,3577
"9",1988-01-27 00:45:18.700479,16.4,26.65,55.85,6.45,-347850,-3490635,3577
"10",1988-03-06 00:52:02.349899,16.7,31.95,50.3,6.35,-347850,-3490635,3577
"11",1988-03-22 00:52:10.990471,16.05,35.15,47.6,6.7,-347850,-3490635,3577
"12",1988-04-23 00:52:21.918132,20.15,37.3,41.45,7.95,-347850,-3490635,3577
"13",1988-05-02 00:46:15.34836,17.85,37,44.15,15.75,-347850,-3490635,3577
"14",1988-05-09 00:52:31.842006,25.3,28.15,45.55,9.05,-347850,-3490635,3577
"15",1988-06-10 00:52:44.340289,30.8,29.9,38.55,8.3,-347850,-3490635,3577
"16",1988-06-19 00:46:37.193977,33.7,26.05,39.05,8.4,-347850,-3490635,3577
"17",1988-07-12 00:52:53.465727,34.85,15.35,48.65,8.15,-347850,-3490635,3577
"18",1988-07-21 00:46:43.641725,36.3,46.1,16.15,10.9,-347850,-3490635,3577
"19",1988-07-28 00:52:55.982726,31.6,19.5,47.9,8.1,-347850,-3490635,3577
"20",1988-08-29 00:52:59.80705,24.55,24.4,49.95,7.25,-347850,-3490635,3577
"21",1988-09-07 00:46:48.908486,24.1666666666667,24.5833333333333,50.25,7.33333333333333,-347847.5,-3490607.5,3577
"22",1988-09-30 00:52:50.133362,21.75,23.55,53.65,6.75,-347850,-3490635,3577
"23",1988-10-09 00:46:38.042376,18.0625,31.6875,49.25,6.75,-347857.5,-3490623.75,3577
"24",1988-10-16 00:52:45.74204,12.5714285714286,48.2857142857143,38.1428571428571,6.14285714285714,-347869.285714286,-3490596.42857143,3577
"25",1988-10-25 00:46:34.522057,17.65,38.2,43,6.55,-347850,-3490635,3577
"26",1988-11-01 00:52:48.326607,16.3,38.75,43.8,6.7,-347850,-3490635,3577
"27",1988-11-10 00:46:36.630177,14.95,41.3,42.7,6.5,-347850,-3490635,3577
"28",1988-12-12 00:46:25.372722,18.8,36.45,43.55,7,-347850,-3490635,3577
"29",1989-01-13 00:46:11.556167,19.95,37.25,41.55,6.7,-347850,-3490635,3577
"30",1989-04-03 00:45:05.192817,17.45,35.2,45.9,5.2,-347850,-3490635,3577
"31",1989-04-19 00:44:59.075576,21.1176470588235,31.5294117647059,46,7.11764705882353,-347856.176470588,-3490626.17647059,3577
"32",1989-05-12 00:50:48.366107,25.15,26.65,47.15,6.35,-347850,-3490635,3577
"33",1989-07-24 00:43:13.442727,46.15,20.2,32.4,11.1,-347850,-3490635,3577
"34",1989-08-09 00:42:52.854298,42.7,11,45.3,9.15,-347850,-3490635,3577
"35",1989-08-25 00:42:32.080213,40.2,13.1,45.4,8.9,-347850,-3490635,3577
"36",1989-09-01 00:48:34.209213,37.55,12.2,49.05,8.65,-347850,-3490635,3577
"37",1989-09-17 00:48:01.051533,32.85,16.5,49.6,7.95,-347850,-3490635,3577
"38",1989-09-26 00:41:45.324795,31.6111111111111,19.2777777777778,47.8333333333333,8.05555555555556,-347853.333333333,-3490628.33333333,3577
"39",1989-10-12 00:41:20.232194,26.1052631578947,31.2105263157895,41.3684210526316,7.52631578947368,-347852.368421053,-3490631.84210526,3577
"40",1989-11-04 00:46:52.715808,24.6842105263158,37.9473684210526,36.2105263157895,7.52631578947368,-347852.368421053,-3490631.84210526,3577
"41",1989-11-13 00:40:18.690483,18.6363636363636,41.5454545454545,38.7272727272727,7.45454545454545,-347875.909090909,-3490629.54545455,3577
"42",1989-11-20 00:46:11.485196,21.8,36.7,40.25,7.35,-347850,-3490635,3577
"43",1989-12-15 00:39:30.563731,19.9411764705882,40.4705882352941,38.5294117647059,7.23529411764706,-347856.176470588,-3490626.17647059,3577
"44",1990-02-17 00:37:27.91663,20.9,35.95,41.9,7.05,-347850,-3490635,3577
"45",1990-03-05 00:36:54.957304,21.1666666666667,39,38.5,7,-347860,-3490585,3577
"46",1990-04-22 00:36:16.443514,29,27.15,42.65,7.9,-347850,-3490635,3577
"47",1990-04-29 00:42:19.692242,30.6,27,41.3,8.35,-347850,-3490635,3577
"48",1990-06-09 00:36:12.314893,35.7,20.5,42.85,7.85,-347850,-3490635,3577
"49",1990-07-11 00:36:09.055896,42.65,33.9,22.1,11.6,-347850,-3490635,3577
"50",1990-07-27 00:36:04.937781,42.5,39.5,17,11.15,-347850,-3490635,3577
"51",1990-08-12 00:36:00.434664,29.95,26.95,42.1,10.9,-347850,-3490635,3577
"52",1990-09-29 00:35:42.226839,27.2105263157895,25.6315789473684,46,7.84210526315789,-347852.368421053,-3490631.84210526,3577
"53",1990-11-07 00:41:40.736486,21.9,32.35,44.55,7.5,-347850,-3490635,3577
