"","time","x","y","bs","pv","npv","ue","spatial_ref"
"1",1987-09-12 00:48:58.733937,-352650,-3479970,29.6875,8.5625,60.25,7.125,3577
"2",1987-09-21 00:43:00.490503,-352650,-3479970,37.875,7.4375,53.0625,7.6875,3577
"3",1987-10-14 00:49:39.068046,-352650,-3479970,36.5625,9.625,52.4375,8.75,3577
"4",1987-10-30 00:49:54.511999,-352650,-3479970,35.6875,7.5,55.5625,8.375,3577
"5",1987-12-10 00:44:28.121215,-352650,-3479970,32.5625,7.1875,59.3125,7,3577
"6",1987-12-17 00:50:46.179331,-352650,-3479970,35.375,8,55.375,8.125,3577
"7",1988-01-02 00:51:02.846792,-352650,-3479970,31.25,5.375,61.75,6.8125,3577
"8",1988-01-11 00:45:00.692706,-352650,-3479970,38.1875,6.1875,54.1875,7.25,3577
"9",1988-01-18 00:51:19.372649,-352650,-3479970,44.3125,9.75,44.4375,7.8125,3577
"10",1988-01-27 00:45:18.700479,-352650,-3479970,48,8.5,42.1875,7.6875,3577
"11",1988-03-15 00:45:56.415195,-352650,-3479970,47.5625,6,45.0625,6.25,3577
"12",1988-03-22 00:52:10.990471,-352650,-3479970,37.9375,7.3125,53.25,8.375,3577
"13",1988-04-23 00:52:21.918132,-352650,-3479970,26.375,15.125,57.1875,10.0625,3577
"14",1988-05-02 00:46:15.34836,-352654.285714286,-3479963.57142857,43.5714285714286,10.5,44.9285714285714,7.92857142857143,3577
"15",1988-06-10 00:52:44.340289,-352650,-3479970,19.1875,21,58.6875,8.4375,3577
"16",1988-06-19 00:46:37.193977,-352650,-3479970,21.5,27.1875,50,10.125,3577
"17",1988-07-12 00:52:53.465727,-352650,-3479970,23.75,21.8125,53.125,10.625,3577
"18",1988-07-21 00:46:43.641725,-352650,-3479970,19.875,22.25,56.625,10.3125,3577
"19",1988-07-28 00:52:55.982726,-352650,-3479970,26.875,14.875,56.9375,9.875,3577
"20",1988-08-29 00:52:59.80705,-352650,-3479970,34.625,7.625,56.5625,8.9375,3577
"21",1988-09-07 00:46:48.908486,-352650,-3479970,33.0625,7.75,57.6875,8.625,3577
"22",1988-09-23 00:46:43.676366,-352650,-3479970,38.75,6.4375,53.1875,8.3125,3577
"23",1988-09-30 00:52:50.133362,-352650,-3479970,38.4375,7.625,52.4375,8.375,3577
"24",1988-10-09 00:46:38.042376,-352650,-3479970,35.375,5.125,58,7.75,3577
"25",1988-10-16 00:52:45.74204,-352650,-3479970,33.4375,4.125,61.0625,6.8125,3577
"26",1988-10-25 00:46:34.522057,-352650,-3479970,35.3125,7,56.0625,7.8125,3577
"27",1988-11-01 00:52:48.326607,-352650,-3479970,34.125,7.625,56.75,8.375,3577
"28",1988-11-10 00:46:36.630177,-352650,-3479970,36.125,5.8125,56.5,7.625,3577
"29",1988-12-12 00:46:25.372722,-352650,-3479970,35.375,7.25,55.8125,8.1875,3577
"30",1988-12-28 00:46:20.579506,-352650,-3479970,38.5,7.3125,52.8125,7.5,3577
"31",1989-01-13 00:46:11.556167,-352650,-3479970,33.5625,7.1875,57.6875,8.25,3577
"32",1989-01-20 00:52:11.880363,-352650,-3479970,34.125,8.9375,55.5,8.0625,3577
"33",1989-02-05 00:52:14.51399,-352650,-3479970,33.5,4.3125,60.625,7.25,3577
"34",1989-04-03 00:45:05.192817,-352650,-3479970,40,4.625,53.75,6.4375,3577
"35",1989-04-19 00:44:59.075576,-352650,-3479970,29.875,12.1875,56.5625,9.125,3577
"36",1989-05-12 00:50:48.366107,-352650,-3479970,31.5625,13.6875,53.5625,9.75,3577
"37",1989-07-15 00:49:34.693669,-352650,-3479970,6.0625,35.1875,57.5,12.1875,3577
"38",1989-07-24 00:43:13.442727,-352650,-3479970,9.125,36.8125,52.875,13.1875,3577
"39",1989-08-09 00:42:52.854298,-352650,-3479970,18.625,29.125,51.0625,10.4375,3577
