"","time","x","y","bs","pv","npv","ue","spatial_ref"
"1",1987-09-15 01:20:21.021825,-1192905,-3638445,10.2,21.48,67.2,14.88,3577
"2",1987-10-01 01:20:42.28414,-1192905,-3638445,19.88,15.08,63.88,18.36,3577
"3",1987-12-04 01:21:52.801102,-1192905,-3638445,0,27.52,72.24,4,3577
"4",1987-12-20 01:22:07.012233,-1192905,-3638445,7.32,16.12,75.32,12.88,3577
"5",1988-01-05 01:22:22.800843,-1192905,-3638445,11.04,14.8,72.76,10.48,3577
"6",1988-02-06 01:22:58.800364,-1192905,-3638445,11.12,16.24,71.48,13.52,3577
"7",1988-02-22 01:23:12.688249,-1192905,-3638445,16.4,14.52,67.76,13.2,3577
"8",1988-04-26 01:23:40.613573,-1192920,-3638445,24,10,65,10,3577
"9",1988-07-15 01:24:12.012094,-1192905,-3638445,11.16,34.52,53.52,21.64,3577
"10",1988-07-31 01:24:14.172663,-1192915,-3638443.57142857,10.8095238095238,26.9047619047619,60.9047619047619,17.047619047619,3577
"11",1988-08-16 01:24:13.634587,-1192905,-3638445,12.64,20.68,65.6,18.6,3577
"12",1988-09-17 01:24:14.538129,-1192935,-3638505,39,16,44,17,3577
"13",1988-12-06 01:23:59.50941,-1192905,-3638445,11.68,22.08,65.08,13.96,3577
"14",1988-12-22 01:23:48.661049,-1192905,-3638445,14,19.6,65.16,13.68,3577
"15",1989-01-07 01:23:48.15032,-1192905,-3638445,12.56,16.64,69.56,15.08,3577
"16",1989-01-23 01:23:27.832903,-1192905,-3638445,9.56,19.24,69.92,13.6,3577
"17",1989-02-08 01:23:30.854172,-1192905,-3638445,9.88,18.8,70.16,13.84,3577
"18",1989-03-28 01:22:28.091358,-1192905,-3638445,12.16,21.32,65.48,14.52,3577
"19",1989-04-29 01:22:18.213078,-1192905,-3638445,9.4,28.56,61.12,17.88,3577
"20",1989-07-18 01:20:49.052123,-1192905,-3638445,12.36,32.6,54.24,21.48,3577
"21",1989-08-03 01:20:29.836446,-1192887,-3638451,7.2,36.2,55.8,22.8,3577
"22",1989-08-19 01:20:06.515886,-1192905,-3638445,9.2,29,60.6,19.24,3577
"23",1989-09-04 01:19:48.440565,-1192905,-3638445,10.32,24.92,63.64,17.36,3577
"24",1989-09-20 01:19:16.221033,-1192888.33333333,-3638451.66666667,15.2222222222222,24.5555555555556,59.4444444444444,13,3577
"25",1989-11-07 01:18:05.065662,-1192905,-3638445,11.6,21.4,65.64,13.92,3577
"26",1989-11-23 01:17:28.17264,-1192905,-3638445,12.44,19.48,66.64,13.8,3577
"27",1989-12-09 01:17:07.922977,-1192905,-3638445,12.24,17.56,69,12.28,3577
"28",1989-12-25 01:16:41.808523,-1192905,-3638445,10.2,16.04,72.6,13.24,3577
"29",1990-02-11 01:15:07.976283,-1192905,-3638445,9.96,22.84,66.16,13.92,3577
"30",1990-02-27 01:14:37.692738,-1192905,-3638445,9.12,22.68,67.16,14.16,3577
"31",1990-03-15 01:14:03.988048,-1192905,-3638445,9.32,26.92,62.72,16.44,3577
"32",1990-05-18 01:13:46.018843,-1192911.81818182,-3638451.81818182,54.6363636363636,11.3181818181818,33.1363636363636,17.7272727272727,3577
"33",1990-06-19 01:13:40.066384,-1192902.5,-3638447.5,10.4166666666667,36.6666666666667,52.125,22.5,3577
"34",1990-07-05 01:13:38.230337,-1192897.5,-3638457.5,41.5833333333333,17.6666666666667,39.4166666666667,19.3333333333333,3577
"35",1990-07-21 01:13:33.843888,-1192860,-3638460,60.875,14.75,23.25,18,3577
"36",1990-08-22 01:13:25.952007,-1192905,-3638445,9.24,30,59.84,18.28,3577
"37",1990-10-25 01:13:01.743827,-1192932.5,-3638452.5,15.5833333333333,21,62.5833333333333,12,3577
"38",1990-11-10 01:13:00.528741,-1192905,-3638445,14.08,19.96,64.92,13.76,3577
"39",1990-11-26 01:12:49.693456,-1192905,-3638445,11.96,18.24,68.72,13.8,3577
"40",1990-12-12 01:12:50.192116,-1192905,-3638445,12.88,17.6,68.4,13.52,3577
"41",1990-12-28 01:13:11.240067,-1192905,-3638445,10.8,18.16,69.84,13.08,3577
"42",1991-01-29 01:14:04.268331,-1192905,-3638445,12.8,18.16,67.92,13.64,3577
"43",1991-03-02 01:14:34.890535,-1192905,-3638445,6.12,17.68,75.08,12.36,3577
"44",1991-04-03 01:15:09.37936,-1192905,-3638445,10.56,16,72.4,14.56,3577
"45",1991-05-05 01:15:46.953048,-1192845,-3638400,0,20.5,78.5,13.5,3577
"46",1991-06-06 01:16:17.56734,-1192845,-3638445,44,5,49,10,3577
"47",1991-06-22 01:16:29.588705,-1192932,-3638451,11.4,21.9,65.7,14.4,3577
"48",1991-07-08 01:16:43.412019,-1192905,-3638445,9.68,32.8,56.8,18.88,3577
"49",1991-08-09 01:17:01.374621,-1192939.61538462,-3638451.92307692,39.3846153846154,16.0769230769231,43.1538461538462,17,3577
"50",1991-09-10 01:17:21.195433,-1192905,-3638445,11.92,21.64,65.28,16.36,3577
"51",1991-09-26 01:17:25.993052,-1192896.66666667,-3638455,2.77777777777778,19.2222222222222,76.7777777777778,11.5,3577
"52",1991-11-29 01:17:52.556952,-1192905,-3638445,14.2,15.16,69.6,13.96,3577
"53",1991-12-15 01:17:55.816215,-1192905,-3638445,13.24,14.4,70.92,12.72,3577
"54",1991-12-31 01:17:48.096625,-1192883.18181818,-3638425.90909091,9.90909090909091,11.2727272727273,78,11.7272727272727,3577
"55",1992-02-01 01:17:50.326822,-1192905,-3638445,8.96,13.4,76.44,11.8,3577
"56",1992-04-05 01:17:32.31842,-1192905,-3638445,6.8,23.76,68.24,14,3577
"57",1992-04-21 01:17:24.750553,-1192905,-3638445,8.12,25.72,65,15,3577
"58",1992-05-07 01:17:15.019666,-1192905,-3638445,7.44,27.6,64.08,18.16,3577
"59",1992-06-08 01:16:58.630556,-1192905,-3638445,13.48,22.92,62.48,15.36,3577
"60",1992-06-24 01:16:45.899743,-1192875,-3638425.90909091,30.3636363636364,13.6363636363636,54.7272727272727,24.3636363636364,3577
"61",1992-08-11 01:16:08.710492,-1192845,-3638445,0,37,64,19,3577
"62",1992-09-12 01:15:39.551465,-1192905,-3638445,12,26.8,60,16.2,3577
"63",1993-01-02 01:14:58.307529,-1192905,-3638445,9.72,21.28,67.72,13.28,3577
"64",1993-03-23 01:15:39.146324,-1192905,-3638445,10.2,28.08,60.48,15.28,3577
"65",1993-04-08 01:15:44.713438,-1192905,-3638445,7.24,26.92,64.68,15.44,3577
"66",1993-05-10 01:15:58.497632,-1192920,-3638415,5.5,19.75,75,24.75,3577
"67",1993-05-26 01:16:02.16362,-1192905,-3638445,10.12,27.56,61.28,18.12,3577
"68",1993-06-27 01:15:57.015327,-1192911.81818182,-3638451.81818182,7.95454545454545,28.6818181818182,62.0909090909091,15.9545454545455,3577
"69",1993-07-13 01:15:54.05973,-1192905,-3638445,7.92,33.72,57.12,19.72,3577
"70",1993-08-14 01:15:53.584831,-1192905,-3638445,14.24,31.08,53.76,20.08,3577
"71",1993-10-01 01:15:47.383588,-1192905,-3638445,8.76,29.04,60.84,15.64,3577
"72",1993-10-17 01:15:41.258637,-1192905,-3638445,4.4,21.72,73.32,23,3577
"73",1993-11-02 01:15:34.825478,-1192905,-3638445,9.32,23.76,65.8,14.24,3577
"74",1994-01-05 01:15:03.88737,-1192905,-3638445,9.44,22.12,67.28,13.64,3577
