"","time","x","y","bs","pv","npv","ue","spatial_ref"
"1",1987-09-15 01:18:45.254548,-1104150,-3020505,41.9,10.5,46.15,9.15,3577
"2",1987-10-01 01:19:06.388357,-1104150,-3020505,45.7,11.4,41.2,9,3577
"3",1987-10-17 01:19:24.138863,-1104150,-3020505,46.6,10.25,41.7,9,3577
"4",1987-11-02 01:19:41.380165,-1104150,-3020505,45.45,8.6,44.25,9,3577
"5",1987-11-18 01:20:02.156567,-1104150,-3020505,45.2,10.25,43.15,9,3577
"6",1987-12-04 01:20:16.988178,-1104150,-3020505,39.25,6.35,53.2,7,3577
"7",1987-12-20 01:20:31.208282,-1104150,-3020505,33.35,3.4,61.8,9.95,3577
"8",1988-01-05 01:20:47.011201,-1104150,-3020505,41.6,11.05,45.85,9,3577
"9",1988-01-21 01:21:04.434773,-1104150,-3020505,51.55,10.65,36.45,8.6,3577
"10",1988-02-06 01:21:22.973802,-1104150,-3020505,41.4,12.05,45.2,9,3577
"11",1988-02-22 01:21:36.86027,-1104150,-3020505,45.1,10.8,42.8,9,3577
"12",1988-03-09 01:21:46.428209,-1104150,-3020505,46.9,9.8,41.95,8.1,3577
"13",1988-03-25 01:21:54.712972,-1104150,-3020505,43.05,9.2,46.25,8.9,3577
"14",1988-06-13 01:22:28.002908,-1104150,-3020505,42.95,6.05,49.5,10.05,3577
"15",1988-07-15 01:22:36.278245,-1104141.92307692,-3020505,51.0769230769231,0.461538461538462,47.6153846153846,6.23076923076923,3577
"16",1988-09-01 01:22:42.087876,-1104150,-3020505,47.85,7.25,43.35,9.45,3577
"17",1988-09-17 01:22:38.618556,-1104150,-3020505,50.6,7.05,40.9,9.15,3577
"18",1988-10-03 01:22:33.318221,-1104150,-3020505,48.9,5.7,43.75,9.05,3577
"19",1988-11-20 01:22:29.727086,-1104150,-3020505,48.5,5.65,44.4,9.05,3577
"20",1988-12-06 01:22:23.701203,-1104150,-3020505,48.05,6.5,44.05,9.05,3577
"21",1988-12-22 01:22:12.842786,-1104150,-3020505,50.55,6.1,41.95,9.35,3577
"22",1989-01-07 01:22:12.309079,-1104150,-3020505,46.45,8.8,43.1,10.05,3577
"23",1989-01-23 01:21:52.000352,-1104150,-3020505,45.75,8.7,44.15,9,3577
"24",1989-03-28 01:20:52.244067,-1104150,-3020505,48.2,7.2,43.25,8.9,3577
"25",1989-04-29 01:20:42.340932,-1104150,-3020505,49.05,5.45,43.9,9.5,3577
"26",1989-06-16 01:19:45.02582,-1104150,-3020505,40.5,7.7,50.55,11.6,3577
"27",1989-07-02 01:19:33.944085,-1104150,-3020505,48.65,8.65,41.1,10.4,3577
"28",1989-07-18 01:19:13.298297,-1104150,-3020505,44.2,7.35,46.75,9.9,3577
"29",1989-08-03 01:18:53.936898,-1104150,-3020505,46.05,7.2,45.4,10.05,3577
"30",1989-08-19 01:18:30.596079,-1104150,-3020505,47.25,10.05,41.15,9.8,3577
"31",1989-09-04 01:18:12.52112,-1104150,-3020505,47.85,10.65,40.05,9.65,3577
"32",1989-09-20 01:17:40.470483,-1104150,-3020505,45.15,11,42.55,9.45,3577
"33",1989-10-06 01:17:30.376513,-1104150,-3020505,46.25,10.45,41.9,9.65,3577
"34",1989-11-23 01:15:52.378831,-1104150,-3020505,47.6,7.3,43.7,9.05,3577
"35",1989-12-09 01:15:31.966337,-1104150,-3020505,46.65,7.55,44.35,9.05,3577
"36",1989-12-25 01:15:05.875969,-1104150,-3020505,47.15,8.15,43.35,9,3577
"37",1990-02-27 01:13:01.865421,-1104150,-3020505,34.15,18.65,45.7,10.1,3577
"38",1990-03-15 01:12:28.276023,-1104150,-3020505,40.2,13.1,45.25,9.25,3577
"39",1990-03-31 01:11:59.05782,-1104150,-3020505,42.9,12.25,43.4,8.9,3577
"40",1990-04-16 01:12:08.388572,-1104150,-3020505,44.05,10.2,44.4,9.25,3577
"41",1990-05-02 01:11:59.71757,-1104150,-3020505,41.9,8.75,48,9.1,3577
"42",1990-06-03 01:12:05.153804,-1104150,-3020505,41.4,7.05,50.3,9.85,3577
"43",1990-06-19 01:12:04.187705,-1104150,-3020505,42.1,8.35,47.95,9.8,3577
"44",1990-07-05 01:12:02.36246,-1104150,-3020505,40.6,7.05,50.9,9.15,3577
"45",1990-07-21 01:11:58.110372,-1104150,-3020520,41.8333333333333,0.833333333333333,56.5,11,3577
"46",1990-08-22 01:11:50.185247,-1104150,-3020505,45.05,4.1,49.5,8.8,3577
"47",1990-09-07 01:11:43.034332,-1104150,-3020505,59.8,2.8,35.9,9.05,3577
"48",1990-10-25 01:11:25.845689,-1104150,-3020505,48.3,4.15,46,9.15,3577
"49",1990-11-10 01:11:24.727052,-1104150,-3020505,50.5,3.45,44.55,9.15,3577
"50",1990-11-26 01:11:13.920749,-1104150,-3020505,42.65,0.8,55.3,8.65,3577
"51",1990-12-12 01:11:14.282891,-1104150,-3020505,48,3.75,47,9,3577
"52",1990-12-28 01:11:35.444566,-1104150,-3020505,48.05,4.65,45.9,9.1,3577
"53",1991-01-13 01:12:04.940363,-1104150,-3020505,47.5,4,47.1,9.05,3577
"54",1991-01-29 01:12:28.325575,-1104150,-3020505,49.6,4.45,44.4,9.05,3577
"55",1991-02-14 01:12:42.419003,-1104150,-3020505,49,3.65,45.9,8.95,3577
"56",1991-03-02 01:12:59.084816,-1104150,-3020505,48,2.3,48.3,8.9,3577
"57",1991-03-18 01:13:21.303284,-1104150,-3020505,47.3,1.8,49.5,9.1,3577
"58",1991-04-03 01:13:33.718808,-1104150,-3020505,49.9,1.9,46.8,9.2,3577
"59",1991-04-19 01:13:50.565689,-1104150,-3020505,50.4,0.2,48.35,7.75,3577
