"","time","x","y","bs","pv","npv","ue","spatial_ref"
"1",1987-09-13 01:29:52.167836,-1391595,-2510865,70.04,6.84,21.12,13.36,3577
"2",1987-09-29 01:30:13.712805,-1391595,-2510865,70.16,8.8,19.2,13,3577
"3",1987-10-15 01:30:31.955397,-1391595,-2510865,71.84,8.04,17.92,13.12,3577
"4",1987-10-22 01:36:49.226512,-1391595,-2510865,67.52,7.92,22.68,13.24,3577
"5",1987-10-31 01:30:48.159315,-1391595,-2510865,68.28,5.88,23.92,13.32,3577
"6",1987-11-07 01:37:09.340276,-1391617.94117647,-2510859.70588235,67.3529411764706,6.41176470588235,24.1176470588235,13.2352941176471,3577
"7",1987-11-16 01:31:09.769723,-1391595,-2510865,70.6,7.28,20.28,13.72,3577
"8",1987-12-02 01:31:25.334288,-1391595,-2510865,76.08,7.56,14.4,13.56,3577
"9",1987-12-09 01:37:41.311109,-1391595,-2510865,73.52,7.12,17.56,13.76,3577
"10",1987-12-18 01:31:39.199168,-1391595,-2510865,67.28,5.28,25.76,13.32,3577
"11",1987-12-25 01:37:56.944588,-1391595,-2510865,60.84,5.88,31.6,13.84,3577
"12",1988-01-03 01:31:54.904924,-1391595,-2510865,64,4.88,29.4,14,3577
"13",1988-01-10 01:38:13.140229,-1391595,-2510865,76.84,4.84,16.32,16.28,3577
"14",1988-01-19 01:32:12.333006,-1391535,-2510880,80,6,12,20.5,3577
"15",1988-02-20 01:32:45.371755,-1391595,-2510865,65.16,11.64,21.2,14.2,3577
"16",1988-04-08 01:33:09.366211,-1391595,-2510865,58.48,10.84,28.92,13.96,3577
"17",1988-05-26 01:33:31.4465,-1391585,-2510867.85714286,71.9047619047619,11.7142857142857,14.5714285714286,18.4761904761905,3577
"18",1988-06-11 01:33:36.503875,-1391595,-2510865,63.64,14.6,19.88,14.44,3577
"19",1988-07-13 01:33:45.734782,-1391595,-2510865,56.44,14.44,27.12,14.8,3577
"20",1988-07-29 01:33:48.03885,-1391595,-2510865,61.6,12.6,23.88,14.2,3577
"21",1988-08-14 01:33:47.095647,-1391595,-2510865,62.88,12.44,22.64,13.92,3577
"22",1988-08-30 01:33:51.984343,-1391595,-2510865,66.84,11.64,19.68,13.84,3577
"23",1988-09-15 01:33:48.983607,-1391595,-2510865,70.76,10.44,16.88,14,3577
"24",1988-10-01 01:33:42.847003,-1391595,-2510865,71.52,9.44,17.08,13.76,3577
"25",1988-10-17 01:33:37.93553,-1391595,-2510865,67.16,8.52,22.68,13.64,3577
"26",1988-11-02 01:33:40.901186,-1391595,-2510865,66.84,9.36,22.08,13.6,3577
"27",1988-11-18 01:33:38.820848,-1391595,-2510865,68.76,7.52,21.96,13.88,3577
"28",1988-12-04 01:33:35.908495,-1391595,-2510865,69.88,8.28,19.88,13.88,3577
"29",1988-12-20 01:33:23.812522,-1391595,-2510865,72.36,10.28,15.44,13.56,3577
"30",1989-02-06 01:33:06.319189,-1391595,-2510865,57.76,15.92,24.56,13.8,3577
"31",1989-03-10 01:32:34.187227,-1391595,-2510865,55.72,17.64,25.12,9.72,3577
"32",1989-03-17 01:38:23.403333,-1391595,-2510865,60,16.6,21.36,14.76,3577
"33",1989-03-26 01:32:00.478959,-1391595,-2510865,59.52,15.2,23.52,13.44,3577
"34",1989-04-02 01:38:17.59137,-1391595,-2510865,56.84,14.64,26.68,14.08,3577
"35",1989-04-11 01:32:12.830433,-1391595,-2510865,57.76,14.08,26.56,13.08,3577
"36",1989-04-27 01:31:53.196857,-1391595,-2510865,68.08,13.16,16.96,13.6,3577
"37",1989-05-13 01:31:38.593654,-1391595,-2510865,58.04,15.84,24.28,13.32,3577
"38",1989-05-29 01:31:24.807089,-1391595,-2510891.66666667,65.5555555555556,12.6666666666667,20,18.2222222222222,3577
"39",1989-06-14 01:31:00.163829,-1391595,-2510865,58.48,14.8,24.8,15.28,3577
"40",1989-06-30 01:30:46.054756,-1391595,-2510865,57.92,14.56,25.76,13.88,3577
"41",1989-08-01 01:30:06.867133,-1391595,-2510865,68.28,12.12,17.88,13.56,3577
"42",1989-08-17 01:29:42.377922,-1391595,-2510865,63.8,13.88,20.52,13.96,3577
"43",1989-09-02 01:29:24.928594,-1391595,-2510865,58.84,15.16,24.28,12.96,3577
"44",1989-09-18 01:28:52.045612,-1391595,-2510865,58.6,14.24,25.4,13.16,3577
"45",1989-10-04 01:28:43.256357,-1391595,-2510865,64.68,11.48,22,13.52,3577
"46",1989-11-05 01:27:43.260508,-1391595,-2510865,64.4,10.92,22.76,13.24,3577
"47",1989-11-12 01:33:35.716494,-1391595,-2510865,71.56,6.04,20.44,20.96,3577
"48",1989-11-21 01:27:00.535051,-1391595,-2510865,64.2,9.12,24.88,13.56,3577
"49",1989-12-23 01:26:18.691879,-1391595,-2510865,60.84,9.12,28.24,13,3577
"50",1990-03-13 01:23:42.033939,-1391595,-2510865,51.12,16.64,30.64,13.6,3577
"51",1990-03-29 01:23:11.221229,-1391589.28571429,-2510873.57142857,62.6666666666667,15,20.6190476190476,17.7619047619048,3577
"52",1990-04-14 01:23:17.06872,-1391583.33333333,-2510871.66666667,73.9444444444444,13.2777777777778,11.4444444444444,17.6666666666667,3577
"53",1990-04-30 01:23:09.679784,-1391595,-2510865,55.52,13.72,29.08,11.12,3577
"54",1990-06-01 01:23:14.666014,-1391595,-2510865,54.52,10.2,33.36,11.84,3577
"55",1990-06-17 01:23:13.569263,-1391595,-2510865,58.28,9.88,29.96,11.48,3577
"56",1990-07-03 01:23:13.176939,-1391595,-2510865,59.32,10.04,28.68,11.48,3577
"57",1990-07-19 01:23:08.30897,-1391595,-2510865,59.16,7.4,31.84,11.72,3577
"58",1990-08-20 01:23:01.250426,-1391595,-2510865,64.72,6.92,26.64,12.44,3577
"59",1990-09-21 01:22:51.020469,-1391595,-2510865,61.6,8.28,28.32,12.44,3577
"60",1990-10-23 01:22:36.486935,-1391595,-2510865,63.52,7.4,27.36,12.6,3577
"61",1990-11-08 01:22:33.640353,-1391595,-2510865,58.4,5.44,34.64,11.2,3577
"62",1990-12-10 01:22:22.946059,-1391595,-2510865,61.16,6.08,31.04,12.68,3577
"63",1990-12-26 01:22:43.277485,-1391595,-2510865,61.28,5.24,32,12.44,3577
"64",1991-01-11 01:23:10.335568,-1391595,-2510865,63.52,5,29.72,12.8,3577
"65",1991-01-27 01:23:36.891455,-1391595,-2510865,65,5.44,27.84,12.88,3577
"66",1991-02-28 01:24:06.480647,-1391595,-2510865,62.84,5.64,29.56,12.84,3577
"67",1991-04-01 01:24:42.008304,-1391595,-2510865,68.4,1.96,27.84,13.12,3577
"68",1991-04-17 01:25:01.016316,-1391595,-2510865,70.56,1.6,25.92,13.08,3577
"69",1991-05-03 01:25:18.518815,-1391595,-2510865,67.6,1.2,29.52,12.84,3577
"70",1991-05-19 01:25:33.195553,-1391595,-2510865,68.56,1.76,28.2,11.96,3577
"71",1991-06-20 01:26:01.018678,-1391595,-2510865,74.56,0,24.12,14.56,3577
"72",1991-07-06 01:26:16.977095,-1391595,-2510865,69.92,0.8,27.88,14.8,3577
"73",1991-07-22 01:26:29.396862,-1391595,-2510865,72.6,1.56,24.28,14.8,3577
"74",1991-08-07 01:26:35.207784,-1391595,-2510865,72.88,3.32,22.04,13.64,3577
"75",1991-08-23 01:26:39.671633,-1391595,-2510865,72.72,5.52,20.12,13.48,3577
"76",1991-09-08 01:26:54.35216,-1391595,-2510865,67.36,7,23.88,14,3577
"77",1991-09-24 01:27:01.150188,-1391595,-2510865,67.68,5.92,24.6,14,3577
"78",1991-10-10 01:27:07.849381,-1391595,-2510865,67.16,7.08,24.28,13.24,3577
"79",1991-10-26 01:27:12.204973,-1391595,-2510865,66.8,5.36,26.04,13.92,3577
"80",1991-11-11 01:27:16.867563,-1391595,-2510865,68.32,4.76,25.16,13.84,3577
"81",1991-11-27 01:27:23.805932,-1391595,-2510865,67.68,5.04,25.52,13.84,3577
"82",1991-12-13 01:27:31.678611,-1391595,-2510865,66.8,5.28,26.28,13.2,3577
"83",1992-01-14 01:27:19.476712,-1391595,-2510865,69.92,5.36,22.84,13.48,3577
"84",1992-01-30 01:27:24.408824,-1391595,-2510865,66.56,5.48,26.12,14,3577
"85",1992-02-15 01:27:11.440655,-1391595,-2510865,66.24,6.4,25.56,13.32,3577
"86",1992-03-02 01:27:14.681924,-1391595,-2510865,55,8.08,36,9,3577
"87",1992-03-18 01:27:15.97047,-1391595,-2510865,64,7.36,26.72,13.64,3577
"88",1992-04-03 01:27:07.725195,-1391595,-2510865,66.44,7.04,24.64,13.92,3577
"89",1992-04-19 01:27:00.586027,-1391595,-2510865,63.64,8.76,25.68,15.32,3577
"90",1992-06-06 01:26:33.869743,-1391597.5,-2510862.5,71.5833333333333,11.1666666666667,15.625,15.7083333333333,3577
"91",1992-06-22 01:26:20.816425,-1391595,-2510865,57.84,15.24,25.2,14.56,3577
"92",1992-07-08 01:26:09.656474,-1391595,-2510865,58.56,15.2,24.48,13.08,3577
"93",1992-07-24 01:25:56.829752,-1391595,-2510865,59.08,14.96,24.24,14.16,3577
"94",1992-09-10 01:25:15.426421,-1391595,-2510865,64.4,14.04,19.76,14.12,3577
"95",1992-09-26 01:24:56.894108,-1391595,-2510865,65.72,13.04,19.32,14,3577
"96",1992-10-28 01:24:26.832235,-1391595,-2510865,66.56,9.52,22.16,13.4,3577
"97",1992-11-29 01:24:10.210362,-1391595,-2510865,62.52,9.2,26.52,13.4,3577
"98",1992-12-15 01:24:21.572259,-1391595,-2510865,64.32,9.52,24.44,13.2,3577
"99",1992-12-31 01:24:30.199951,-1391595,-2510865,62.44,9.64,25.96,13.04,3577
"100",1993-01-16 01:24:43.065811,-1391595,-2510865,63.6,8.4,26.2,13.24,3577
"101",1993-02-01 01:24:54.101931,-1391596.66666667,-2510870,64.5555555555556,11.3333333333333,22.1111111111111,22.3888888888889,3577
"102",1993-02-17 01:25:02.065713,-1391595,-2510865,55.48,16.36,26.4,14.12,3577
"103",1993-03-05 01:25:10.349202,-1391595,-2510865,56.08,15.04,27.2,13.88,3577
"104",1993-03-21 01:25:13.873216,-1391595,-2510865,56.88,12.96,28.36,13.24,3577
"105",1993-04-22 01:25:27.82668,-1391595,-2510865,59.56,9.08,29.52,12.92,3577
