"","time","x","y","bs","pv","npv","ue","spatial_ref"
"1",1987-09-04 01:38:13.252988,-1498425,-3619275,7.28,50.84,40.76,21.44,3577
"2",1987-09-29 01:32:37.609143,-1498425,-3619275,10.52,48.12,40.24,19.84,3577
"3",1987-10-15 01:32:55.841301,-1498425,-3619275,5.92,51.76,41.2,16.12,3577
"4",1987-10-22 01:39:12.996569,-1498425,-3619275,10.28,46.2,42.08,18.64,3577
"5",1987-11-07 01:39:32.954919,-1498425,-3619275,9.16,47.84,41.76,18.96,3577
"6",1987-12-02 01:33:49.014491,-1498425,-3619275,11.08,46.8,40.72,18.8,3577
"7",1987-12-09 01:40:04.959739,-1498425,-3619275,9.36,44.44,44.84,17.72,3577
"8",1987-12-25 01:40:20.600848,-1498410,-3619215,0,5.5,91.5,3,3577
"9",1988-01-03 01:34:18.579015,-1498425,-3619275,2.96,51.48,44.36,18.48,3577
"10",1988-01-19 01:34:36.154746,-1498410,-3619290,7.75,55.25,36,16,3577
"11",1988-01-26 01:40:54.852557,-1498425,-3619275,10.56,47.4,40.72,18.76,3577
"12",1988-02-11 01:41:12.254086,-1498425,-3619275,5.76,50.56,42.4,18.68,3577
"13",1988-02-20 01:35:09.040106,-1498425,-3619275,6.12,49.12,43.52,17.92,3577
"14",1988-02-27 01:41:24.405898,-1498425,-3619275,11,47.96,39.56,18.04,3577
"15",1988-03-14 01:41:33.451384,-1498425,-3619275,5.12,49.96,43.68,18.88,3577
"16",1988-03-30 01:41:40.927112,-1498425,-3619275,4.28,51.36,43.24,17.96,3577
"17",1988-04-08 01:35:33.085843,-1498425,-3619275,14.68,43.32,40.8,13.08,3577
"18",1988-05-10 01:35:48.315742,-1498425,-3619275,10.88,50.28,37.4,17.68,3577
"19",1988-06-11 01:36:00.280804,-1498425,-3619275,8.72,51.2,38.72,20.32,3577
"20",1988-06-27 01:36:06.135925,-1498411.36363636,-3619302.27272727,31.1818181818182,35.1818181818182,32.5454545454545,15.5454545454545,3577
"21",1988-07-29 01:36:11.719618,-1498425,-3619271.25,6.875,51.625,40.25,22.8125,3577
"22",1988-08-05 01:42:22.280221,-1498422.5,-3619272.5,7.125,50.2083333333333,41.5833333333333,22.25,3577
"23",1988-08-21 01:42:23.910554,-1498422.27272727,-3619276.36363636,5.86363636363636,51.2727272727273,42,22.0454545454545,3577
"24",1988-08-30 01:36:15.832318,-1498425,-3619275,11.52,47.28,39.88,18.92,3577
"25",1988-09-15 01:36:12.808439,-1498425,-3619275,8.48,48.88,41.24,21.88,3577
"26",1988-10-24 01:42:11.931371,-1498425,-3619275,3.48,50.84,44.4,20.16,3577
"27",1988-11-02 01:36:04.493267,-1498425,-3619275,5.04,51.52,42.2,18.64,3577
"28",1988-11-09 01:42:14.495308,-1498425,-3619275,4.12,49,45.76,19.68,3577
"29",1988-12-04 01:35:59.637102,-1498425,-3619275,7.76,47.4,43.48,18.08,3577
"30",1988-12-11 01:42:03.70309,-1498425,-3619275,5.32,48,45.44,19,3577
"31",1988-12-20 01:35:47.564365,-1498425,-3619275,8.36,47.6,42.84,18.4,3577
"32",1988-12-27 01:41:58.212986,-1498425,-3619275,8.36,47.52,42.72,18.8,3577
"33",1989-01-05 01:35:47.019212,-1498425,-3619275,9.72,49.56,39.52,17.36,3577
"34",1989-01-12 01:41:50.926525,-1498425,-3619275,6.24,51.04,41.4,19.12,3577
"35",1989-01-28 01:41:37.901933,-1498425,-3619275,5.96,51.4,41.32,19.04,3577
"36",1989-02-22 01:35:22.539145,-1498425,-3619275,5.8,51.28,41.6,17.68,3577
"37",1989-03-10 01:34:57.825535,-1498425,-3619275,4.88,53.2,40.48,19.2,3577
"38",1989-03-17 01:40:47.047339,-1498425,-3619275,9.04,51.6,38.32,20.2,3577
"39",1989-03-26 01:34:24.160301,-1498425,-3619275,8.6,52.08,38,19.16,3577
"40",1989-04-11 01:34:36.663087,-1498425,-3619275,6.96,53.28,38.24,18.52,3577
"41",1989-04-27 01:34:17.026671,-1498425,-3619275,6.24,55.64,36.84,19.92,3577
