"","window","QDACYP0020.adjusted.R2","window","NSTSYB0006.adjusted.R2","window","NTAFIN0015.adjusted.R2","window","SATFLB0020.adjusted.R2","window","SATFLB0003.adjusted.R2","window","WAACAR0002.adjusted.R2","window","NSANAN0002.adjusted.R2","window","NSACOP0001.adjusted.R2","window","NSAMDD0011.adjusted.R2","window","QDACHC0003.adjusted.R2","window","NSAMUL0003.adjusted.R2","window","NTAGFU0034.adjusted.R2","window","WAAGAS0001.adjusted.R2","window","NSANSS0002.adjusted.R2","window","QDAMUL0003.adjusted.R2","window","NSABBS0001.adjusted.R2","window","QDAGUP0006.adjusted.R2","window","NSTSYB0003.adjusted.R2","window","WAAPIL0023.adjusted.R2","window","SATFLB0022.adjusted.R2","window","QDAMGD0025.adjusted.R2","window","NSANAN0001.adjusted.R2","window","NTAGFU0030.adjusted.R2","window","QDASEQ0004.adjusted.R2","window","QDAMUL0002.adjusted.R2","window","SAAFLB0008.adjusted.R2","window","TCATCH0004.adjusted.R2","window","NTAFIN0003.adjusted.R2","window","QDABBN0002.adjusted.R2","window","NSAMDD0020.adjusted.R2","window","WAACOO0024.adjusted.R2","window","SAAEYB0028.adjusted.R2","window","WAACOO0029.adjusted.R2","window","SAAKAN0009.adjusted.R2","window","SAASTP0023.adjusted.R2","window","SAASTP0034.adjusted.R2","window","SASMDD0009.adjusted.R2","window","WAACOO0016.adjusted.R2","window","WAACOO0026.adjusted.R2","window","SAAEYB0021.adjusted.R2","window","WAANUL0003.adjusted.R2","window","SAAEYB0001.adjusted.R2","window","NSTSYB0005.adjusted.R2","window","NTAFIN0018.adjusted.R2","window","WAAPIL0010.adjusted.R2","window","QDAGUP0021.adjusted.R2","window","QDABBS0010.adjusted.R2","window","QDACYP0018.adjusted.R2","window","SAAFLB0005.adjusted.R2","window","WAACOO0007.adjusted.R2","window","SAASTP0033.adjusted.R2","window","SATFLB0023.adjusted.R2","window","WAAGES0001.adjusted.R2","window","NSABHC0011.adjusted.R2","window","NSAMDD0028.adjusted.R2","window","SASMDD0014.adjusted.R2","window","WAALSD0002.adjusted.R2","window","WAACAR0004.adjusted.R2","window","SAAGAW0008.adjusted.R2","window","WAACOO0027.adjusted.R2","window","WAANOK0006.adjusted.R2","window","NTTDMR0003.adjusted.R2","window","NTASTU0004.adjusted.R2","window","TCATNM0003.adjusted.R2","window","QDASSD0015.adjusted.R2","window","QDACYP0006.adjusted.R2","window","QDAGUP0009.adjusted.R2","window","SAAFLB0003.adjusted.R2","window","WAAPIL0031.adjusted.R2","window","QDAMGD0023.adjusted.R2","window","TCATNM0001.adjusted.R2","window","NTADAC0001.adjusted.R2","window","SASMDD0005.adjusted.R2","window","WAAAVW0006.adjusted.R2","window","NSAMDD0001.adjusted.R2","window","NTAFIN0006.adjusted.R2","window","SAAEYB0029.adjusted.R2","window","NTAGFU0020.adjusted.R2","window","WAAPIL0024.adjusted.R2","window","SATFLB0019.adjusted.R2","window","QDABBS0002.adjusted.R2","window","QDAGUP0019.adjusted.R2","window","QDAEIU0005.adjusted.R2","window","QDACYP0022.adjusted.R2","window","VCAAUA0012.adjusted.R2","window","QDAMGD0002.adjusted.R2","window","QDAMGD0024.adjusted.R2","window","NTAGFU0014.adjusted.R2","window","NTADMR0001.adjusted.R2","window","WAACOO0030.adjusted.R2"
"1",1,-0.000273314458447915,1,0.00460296621402567,1,0.00192152063369888,1,0.00512166852755969,1,0.014050113023926,1,0.00253755091987784,1,-0.000786537344765748,1,0.0153097452995181,1,0.00163951271321416,1,0.00246688429903796,1,-0.000603379231833179,1,0.0312107538805581,1,7.2791734455957e-05,1,0.00032010368784019,1,-0.00096176671684578,1,0.00593328655131375,1,0.0021063307254614,1,-0.00154236364426108,1,0.00143732237743333,1,8.11676347833856e-06,1,0.0183849608200534,1,-0.00056285838371406,1,0.00242702747945156,1,0.000285840389110836,1,0.000685578573430101,1,0.00348077626958965,1,0.0120309041260941,1,-0.000928622979803562,1,0.00587633687556777,1,0.0177159449285963,1,-0.000996355726628817,1,0.00681858841664273,1,-0.000434163537463839,1,-0.000712976852086378,1,-0.000973117436570359,1,-0.000910729390920517,1,0.0080745571523918,1,0.0378923471317292,1,-0.000559054665608461,1,0.0388789451432165,1,-0.0013736263670332,1,0.0157402593404886,1,0.00582713283965208,1,-0.00115682495891112,1,-0.000816613285054446,1,0.0190064140856193,1,-0.000507396488921952,1,-0.00121944304903576,1,0.00561912824703514,1,-0.000824315200513848,1,-0.00109636416238579,1,0.00279409043758605,1,0.0129432146106472,1,0.00909889341068704,1,0.00606152613463695,1,0.0185215150783742,1,0.000452576788969594,1,0.0129454343319791,1,0.00322461807033603,1,0.000175231562025369,1,0.0257993166146432,1,0.00828029611347991,1,0.0296227442668058,1,0.00783877083854834,1,-0.000472063476046447,1,0.0315880027832135,1,0.00390597607526955,1,0.0100517202278795,1,-0.000312103849059442,1,0.00790960005408503,1,0.000775937420551931,1,0.0431229077075458,1,0.0204440214674007,1,0.00164030742892052,1,0.0128635167648647,1,0.0042730500650946,1,0.0199135070244223,1,0.00322493209917507,1,-0.000650902076646753,1,8.7863985705483e-05,1,0.0041909695467004,1,0.00150968273181917,1,-0.000583707085514806,1,0.00480085581207235,1,0.00580025843170207,1,0.00249714900831488,1,0.0103883272760262,1,0.00555671063161078,1,0.00252527233008815,1,0.00636126195195086
"2",6,0.00253807520362681,6,0.000152282569035544,6,-0.000578330938568072,6,0.00448973394102004,6,0.0107904498087766,6,0.0112122127947698,6,0.000397198282791944,6,0.00511520663468212,6,-0.00119768137602616,6,0.0554052757757814,6,-0.00111166678124319,6,0.0888779276362126,6,0.0135580834254865,6,0.00337194347077407,6,0.00167092160523186,6,0.0334363012695154,6,0.00759126527218579,6,0.00169278295268582,6,0.000638658696566985,6,0.00184406639141022,6,0.0593476448968462,6,-0.000734550503464826,6,0.0424557437291252,6,0.00186883182677133,6,0.000954739179924835,6,0.00716755305412164,6,0.0292164501644716,6,-0.000109301152307006,6,0.0225201769320413,6,0.0196930036804978,6,-0.000422947340684932,6,0.00163232754351161,6,-0.000429301921677228,6,0.0201107954841127,6,0.000709508161663153,6,0.00326175201722712,6,0.00895272312914341,6,0.0207872250543361,6,-0.000286621805307252,6,0.0374407565476,6,-0.00137219011482581,6,0.0701457572233796,6,0.00900706989472211,6,0.00958480097976755,6,0.000548438562165132,6,0.0844904824252376,6,0.0245201481117849,6,0.00381153456411043,6,0.00315460204158535,6,0.00339999614238706,6,-0.000619554676074108,6,0.0174625574110187,6,0.0471731327837899,6,0.0279509055892431,6,0.0131926507473104,6,0.0175479245994874,6,-0.000536033066809161,6,0.0201197834643478,6,0.0116431937673017,6,-0.000610317219771783,6,0.109716571481252,6,0.0396761422531499,6,0.146136240520149,6,0.00625036548025704,6,0.00418523447433405,6,0.0680073015906186,6,0.0453502763866406,6,0.0308242758319123,6,0.00432904266603396,6,0.0130217958355371,6,-0.000142133124604094,6,0.166707788605571,6,0.0212666929949745,6,0.0421776872049895,6,0.0184748652958915,6,0.021237744382964,6,0.0241455084661406,6,0.0171189949792058,6,0.0113529257379926,6,0.000829275004425645,6,0.0450573977198766,6,0.0255062342967436,6,0.021351879221313,6,0.0302921284908543,6,0.0136142959659996,6,0.0248180732942668,6,0.012880354964584,6,0.0549756802470016,6,-0.000906502316305513,6,0.0343530860917286
"3",11,0.00375085741480208,11,-0.000422988854217321,11,0.0013185641949609,11,0.00635378973967882,11,0.0137136308275978,11,0.0304099317147691,11,0.000556335490304316,11,0.0129655782220752,11,-0.00128883159252102,11,0.0693949699671278,11,-0.00106231409316315,11,0.113032397376837,11,0.00310382371064322,11,0.00829401722545631,11,0.0134799342000086,11,0.060677292323191,11,0.0240083689682127,11,0.0144500264032201,11,0.00896369721416013,11,0.00417918792730076,11,0.0900982521647173,11,-0.000351918287124997,11,0.0812115251171873,11,0.00919087565801791,11,0.0104830759878028,11,0.0195426054393414,11,0.0139223114655314,11,0.001203996834787,11,0.0575153051776122,11,0.0384407370837083,11,-0.00100065216511425,11,-0.000412360229369968,11,-0.0002870830516013,11,0.0216764565071381,11,0.00177150337971599,11,0.0199441536622332,11,0.0169127002544225,11,0.022183953993712,11,-0.000133324651423461,11,0.0367483928023912,11,-0.00100986213195919,11,0.101829555413817,11,0.00663107310945144,11,0.0297644757436013,11,0.0191173094201748,11,0.141363771416261,11,0.0347723301209641,11,0.00994624028610736,11,0.0067239058670977,11,0.0059495642945816,11,0.00651857191389671,11,0.0251287571205361,11,0.101093922909535,11,0.047709114963015,11,0.047477915183068,11,0.0266862551955483,11,-0.000249623266208365,11,0.0462061919829089,11,0.0183105287247314,11,-0.000725158086549049,11,0.161250386331199,11,0.0962571938706692,11,0.240769058223194,11,0.0058633348388123,11,0.0146403514528748,11,0.125177480904086,11,0.0996633700989792,11,0.0554166892583666,11,0.0109518569166606,11,0.001207274933125,11,-0.00169629739805122,11,0.182727569152485,11,0.0400376620931854,11,0.0746105515457706,11,0.0373996432038092,11,0.0391270382636582,11,0.0174499940183079,11,0.0357318965938227,11,0.0441609149092562,11,0.00645605002933081,11,0.106662145396446,11,0.0657813947170555,11,0.0410412002713937,11,0.0477388090263562,11,0.0153331360595794,11,0.0533333881212954,11,0.0165817526791876,11,0.104430019194073,11,0.00778048834822231,11,0.0314444339892668
"4",16,0.00470973595367952,16,-2.76463882951106e-05,16,0.00512842511698419,16,0.0132986438156786,16,0.0208831034860211,16,0.0439009875929506,16,0.000945138181226657,16,0.0213416162426289,16,-0.00132067173932038,16,0.129946847687677,16,0.00193414205017695,16,0.14297154662,16,-0.000656465309103238,16,0.016638863971682,16,0.0258565152703658,16,0.0922767484246837,16,0.0448392207506428,16,0.011400172727879,16,0.0150644840223009,16,0.0139994897855482,16,0.152925706909189,16,-0.000618799349386023,16,0.122720813731107,16,0.0119366045294059,16,0.0141403037038288,16,0.0428928826690225,16,0.0133855947708643,16,0.00434342138446131,16,0.0932949445459446,16,0.0509633654857083,16,-0.000372477229572121,16,0.000335008746559895,16,-0.000721234363644241,16,0.021635856166261,16,0.0161662680967286,16,0.0322527438137961,16,0.0288226625625545,16,0.0268890736801942,16,-0.000679236888265544,16,0.0609773090760262,16,0.00322171569417751,16,0.173738050723657,16,0.00413581340329894,16,0.0487561202709871,16,0.0308948963911048,16,0.19793317702125,16,0.0531726254372983,16,0.0127803692295765,16,0.0156557047539426,16,0.0104298958259502,16,0.0134822069008916,16,0.0372813186119465,16,0.136652664537684,16,0.103302279069325,16,0.0457385754868512,16,0.0327867917004824,16,0.000806691757135214,16,0.0699491458522373,16,0.0235014622246773,16,-8.38084840797393e-05,16,0.203226525602013,16,0.156691529658399,16,0.303675401199603,16,0.00993157285195856,16,0.0278405129511407,16,0.16896073466647,16,0.130147037484318,16,0.0665144627729518,16,0.0197678982077311,16,0.000279348868036378,16,-0.00150271199010632,16,0.228792896687124,16,0.0597949302656131,16,0.097011929942545,16,0.0639972125870254,16,0.0547702203941174,16,0.0228786241244118,16,0.0513713047492949,16,0.068812864198607,16,0.0136140825676248,16,0.143511221631562,16,0.104505858876854,16,0.0655125653519634,16,0.0436350617889895,16,0.0149064423159641,16,0.093193632724169,16,0.0344223083006342,16,0.175503562549486,16,0.0151266889407308,16,0.0571615111983877
"5",21,0.00690117398798173,21,-0.00104595552201592,21,0.00912999558991234,21,0.0243170597415978,21,0.0304694083669732,21,0.0586160073208435,21,0.00356036777514912,21,0.0328840745078924,21,-0.00132585323719048,21,0.181718020324655,21,0.0124256020891037,21,0.167498249744312,21,0.00102262287303245,21,0.0241794539150483,21,0.0386963578406768,21,0.122023094726184,21,0.0620310362789293,21,0.00465871306151799,21,0.0351679943188172,21,0.0221689687308958,21,0.196481010088727,21,-0.00080127592041479,21,0.161444404473689,21,0.020421564608162,21,0.0212010642141369,21,0.0587838366919671,21,0.0150154259874683,21,0.00574755823907402,21,0.135202378356339,21,0.0774435303808301,21,-0.000169911761715547,21,0.00466889533707404,21,-0.000429686529787698,21,0.0316219344603463,21,0.0420546755521745,21,0.0467383145320563,21,0.0507002453756613,21,0.0317048822832025,21,-0.000683317000987893,21,0.0632752302359424,21,0.00951424078306951,21,0.243101274394723,21,0.00397160802064589,21,0.0693479200043089,21,0.0589351361331654,21,0.244879940634866,21,0.0639110901095811,21,0.0166869865359336,21,0.0277262122760978,21,0.0101306007751968,21,0.0241918121916721,21,0.0450043926719865,21,0.135177177660491,21,0.146505900428233,21,0.0698195221600371,21,0.0456714714760856,21,0.00430567708881713,21,0.0965465760057164,21,0.0392361963226617,21,0.000205264903499591,21,0.238905493144602,21,0.209129713935182,21,0.345921322527918,21,0.0161060020450458,21,0.0477086784366322,21,0.213921294168591,21,0.165323539914941,21,0.0974818868285563,21,0.0292276928473598,21,0.0153912664339777,21,-0.00097424910517252,21,0.274847642656656,21,0.0762924784981702,21,0.130699871029095,21,0.0830317981638998,21,0.0773102895630504,21,0.028080882515365,21,0.0715186207196961,21,0.115229481110519,21,0.0301603235823147,21,0.186564523120259,21,0.106292414886089,21,0.089468085900234,21,0.0613510552400881,21,0.0198521069501503,21,0.156524528619792,21,0.0666820665454824,21,0.223247653011831,21,0.0241734358529535,21,0.0953745958725398
"6",26,0.00745837038063135,26,-0.00155482248406846,26,0.0185808203363464,26,0.0293758804506854,26,0.0403557513495206,26,0.0800943680421543,26,0.00661624876662437,26,0.0355721203947985,26,-0.00131765883433865,26,0.234154752039685,26,0.0256908746374829,26,0.195714282947037,26,0.0108229645617515,26,0.0303559373166442,26,0.0546297335918369,26,0.145338812114853,26,0.0789844257765761,26,0.00125005150848134,26,0.0468652224194289,26,0.0252537802887421,26,0.219750412458809,26,-0.000548539167341655,26,0.214131110362453,26,0.0311388521407382,26,0.0311996985054142,26,0.0630927956589863,26,0.0187125153966015,26,0.00992622263271725,26,0.162285580087768,26,0.0931923560499344,26,0.000492655260487362,26,0.00269340407371566,26,0.00011746254525824,26,0.0321985798864515,26,0.0825061006719079,26,0.056913841117352,26,0.0667843685601401,26,0.0355262901648042,26,-0.000494935228668947,26,0.0675499042499161,26,0.0154124005431937,26,0.302593262161479,26,-0.000495190788623034,26,0.0887779650978326,26,0.0806540310690712,26,0.28465106527802,26,0.0820316229300115,26,0.0258185176049379,26,0.0322842347454496,26,0.0115371882340015,26,0.0369919768542338,26,0.0594733925587569,26,0.146787757409261,26,0.192075892665314,26,0.100884168886577,26,0.0537386869020949,26,0.0100101401785188,26,0.128370600238582,26,0.0522288151660268,26,0.00121622959932288,26,0.276395924981264,26,0.265436976601645,26,0.397649107908431,26,0.0217693254136437,26,0.0853481584192152,26,0.260425040715487,26,0.203256897841575,26,0.136765099805092,26,0.0455595239925144,26,0.036976430869035,26,0.000262634364380676,26,0.298032042188014,26,0.104297572859862,26,0.173875514471315,26,0.106354985552656,26,0.116492939064172,26,0.0321565407009529,26,0.0975290982369689,26,0.148866118217154,26,0.0452293411935559,26,0.242340738078559,26,0.0994415536149306,26,0.110391816184659,26,0.0720771332086599,26,0.0250636367560791,26,0.206181092749387,26,0.0960696601123562,26,0.271565035672464,26,0.0418607579882383,26,0.105509609300557
"7",31,0.0075173397065329,31,-0.00145446184653819,31,0.0334806410653423,31,0.0382645158328973,31,0.0515356771888819,31,0.101705317131354,31,0.0105140255485782,31,0.044240138157782,31,-0.000124750015009223,31,0.281160176919071,31,0.0388096733924227,31,0.218669173534966,31,0.0249093209338754,31,0.0357315426909111,31,0.0614495243341489,31,0.185603972148205,31,0.101347112220288,31,-0.00052040239350104,31,0.0640247935014667,31,0.0380990827835117,31,0.262005083347992,31,-0.000577213186413017,31,0.26629432903199,31,0.0340425313898784,31,0.0348952329533059,31,0.0776668083365605,31,0.0171625815284722,31,0.0168355620302627,31,0.189934725267331,31,0.11209856050242,31,0.00111395323235375,31,0.000894170363666236,31,0.000736311045125726,31,0.0331615747985115,31,0.10854869727946,31,0.0670492437766909,31,0.0871114471725096,31,0.0457891633702124,31,0.000250926042740574,31,0.0802881166670507,31,0.0290229117220132,31,0.359434094330053,31,-0.00131734968750385,31,0.118730767870372,31,0.0932948116036384,31,0.332816791959043,31,0.102568594060762,31,0.0316793047693337,31,0.0480026890295641,31,0.0103263631958336,31,0.0444689867297053,31,0.0744883087666572,31,0.160546937744365,31,0.244750529566632,31,0.113803430974006,31,0.0675061565663762,31,0.015836081542667,31,0.150669157432912,31,0.0625370704331908,31,0.00191100225920504,31,0.313634602337828,31,0.313309268232568,31,0.454307358748314,31,0.0308093514667661,31,0.112935264067065,31,0.304809488032687,31,0.260606906945467,31,0.170001881019578,31,0.0595633846515543,31,0.0618053308527824,31,-0.00140583070936584,31,0.323058566562522,31,0.129733812186201,31,0.198288595917298,31,0.124114059557093,31,0.150963375239817,31,0.0503699031215676,31,0.116068792065835,31,0.192587871721569,31,0.0616474020350625,31,0.272589342606885,31,0.102337882694642,31,0.131634683545155,31,0.0889973948291957,31,0.0213295967950862,31,0.244394076181698,31,0.125051683021302,31,0.31276631018279,31,0.0674437444155258,31,0.144924267878895
"8",36,0.0113350948201485,36,0.00114048707735603,36,0.0435384374885391,36,0.0480123311635925,36,0.0572259851056844,36,0.129112571072018,36,0.0142621647988456,36,0.0556315091956415,36,-9.43906122174987e-06,36,0.313514156538076,36,0.0524404367948974,36,0.244021450112131,36,0.0361580173581059,36,0.0391538312637377,36,0.0732071000650355,36,0.200490884856115,36,0.126651167354695,36,0.00185617166594754,36,0.0852583594149504,36,0.0487842604138219,36,0.286618115594045,36,-0.000436060948165951,36,0.313524236832368,36,0.044844791980691,36,0.0382839968551651,36,0.100308634220388,36,0.0199857218765234,36,0.0222159367283851,36,0.207884138044867,36,0.130344771314332,36,0.001615989409678,36,0.002893312551976,36,0.000781839344585977,36,0.0287706526720866,36,0.165370402806405,36,0.0902304009776167,36,0.102125733381949,36,0.0443808367238179,36,0.00134759848776456,36,0.0818104155089466,36,0.0390474940334437,36,0.412179136778923,36,-0.00189825845615887,36,0.149746291943824,36,0.125919243992076,36,0.377392358877458,36,0.111814217870166,36,0.0375590496436877,36,0.0613970894933056,36,0.015140403470434,36,0.0608671550706988,36,0.0859670936273483,36,0.178389384434252,36,0.291712245769971,36,0.144260382762898,36,0.0778727927205625,36,0.0240538847341883,36,0.194284438904341,36,0.0735384249876437,36,0.00372405974425483,36,0.336531064686403,36,0.358502132188226,36,0.502240633371648,36,0.032029730378265,36,0.145058354240258,36,0.341059208217316,36,0.296192013910989,36,0.199490914119341,36,0.0742157222280776,36,0.0971876366029162,36,-0.00169421753977317,36,0.338927957319944,36,0.148902705940769,36,0.222725497296732,36,0.139523998082314,36,0.185871933705778,36,0.0565697532692327,36,0.138218024803893,36,0.248674364887476,36,0.0799600009255227,36,0.311029219158931,36,0.108705400451143,36,0.150146056192877,36,0.10134019679603,36,0.0235512400778057,36,0.276038900952733,36,0.153428469531321,36,0.353004931711552,36,0.0853394729535324,36,0.133064473839565
"9",41,0.0166255924901834,41,0.0013181433345667,41,0.0514617375853511,41,0.0540581134359082,41,0.0528151333075709,41,0.149339496192262,41,0.0167632762617336,41,0.058458975583496,41,0.000286740982251787,41,0.341068978250994,41,0.0671088792640373,41,0.277889288632705,41,0.0531806555645375,41,0.043653904131248,41,0.0944460720472573,41,0.217000294679114,41,0.146922523949147,41,0.00118965964021023,41,0.0965158151667316,41,0.0532308263336461,41,0.300297992129031,41,-0.00037327105179541,41,0.357770340777806,41,0.0561290334904958,41,0.0532321770109275,41,0.11607470721387,41,0.0211764484903251,41,0.0261901971284263,41,0.251034049956551,41,0.147215194086722,41,0.00302790085922566,41,0.00303407491391361,41,0.00261277475899169,41,0.0203689359434693,41,0.189082219675461,41,0.11391049622356,41,0.11103582385907,41,0.0495356746624361,41,0.0026227801247205,41,0.0799840768657359,41,0.0428239298329339,41,0.461141904338466,41,-0.00234668056250387,41,0.168701649518077,41,0.145278782662243,41,0.400411111575213,41,0.133194640686799,41,0.0443885425664949,41,0.0796785663266684,41,0.0169626943558476,41,0.0888346513776218,41,0.099851205889167,41,0.186657177130174,41,0.332806465688576,41,0.174667841582107,41,0.0872626238142242,41,0.0357788469341439,41,0.234496221551843,41,0.0823963428207408,41,0.00530594102537185,41,0.360352740864678,41,0.400914902863524,41,0.544823826955033,41,0.0349680439344658,41,0.1898815119734,41,0.372150130988255,41,0.340505235969205,41,0.207662215805193,41,0.0850410199947575,41,0.125525929410342,41,-0.00131206605573353,41,0.357195971696567,41,0.156849363259407,41,0.242593078606687,41,0.161871210223467,41,0.211082541510532,41,0.063824772548814,41,0.170021068553806,41,0.272466096799855,41,0.0953881393949156,41,0.339729815178817,41,0.107212800543721,41,0.17646037379832,41,0.113383820987639,41,0.0237536026433537,41,0.302215757255979,41,0.174242243355528,41,0.385044811879837,41,0.106845477423002,41,0.149527115892063
"10",46,0.0206661570511967,46,0.00321452449792015,46,0.0577214713550563,46,0.0603755121839915,46,0.0614600553409952,46,0.173123810330389,46,0.0223986821399208,46,0.0672118360868225,46,0.000826937206227618,46,0.378305820907024,46,0.0776711273827129,46,0.297542852392626,46,0.0666418084045557,46,0.0486386421541388,46,0.113818959552658,46,0.21755584834526,46,0.168745266291071,46,0.00183627997183533,46,0.116829928747523,46,0.0611455821724981,46,0.318105122708516,46,0.000868505619536664,46,0.389945605270871,46,0.058925397452728,46,0.0627764676132382,46,0.13883360792814,46,0.01532574182191,46,0.0301071354242668,46,0.274088830745817,46,0.169087024608073,46,0.0045301123596212,46,0.00258794057674194,46,0.00267743881801696,46,0.0142269594509395,46,0.207497339388023,46,0.134364989136353,46,0.116937995119498,46,0.0503138091369796,46,0.00246451203971643,46,0.079598345857654,46,0.0546089477685465,46,0.501387009251553,46,-0.00232550006331866,46,0.182212107105149,46,0.160483230342907,46,0.419956118418684,46,0.151167266569801,46,0.0497293680909713,46,0.100741684734687,46,0.0120101924125223,46,0.105489244211869,46,0.0973421013757599,46,0.194790484414821,46,0.362675243342851,46,0.182868852688572,46,0.086337894378833,46,0.0435252194931623,46,0.268335967089064,46,0.0914623613673609,46,0.00447649332264222,46,0.383352641368619,46,0.442899217763538,46,0.585765326915171,46,0.0435854486541594,46,0.211212556194194,46,0.414998216068156,46,0.385550806989825,46,0.226745853309184,46,0.103777032630606,46,0.153698992967512,46,-0.000795883359386407,46,0.372957135087765,46,0.172178179711132,46,0.271555740011254,46,0.165753391030734,46,0.243438250981094,46,0.0790469388393694,46,0.198184197482007,46,0.317033540898287,46,0.104697068060969,46,0.365786234892247,46,0.106342824592681,46,0.191154880815805,46,0.125414300713438,46,0.0267348698424738,46,0.327792120671332,46,0.199349385295715,46,0.408436576068472,46,0.126834964708118,46,0.174001197586048
