date,rain(mm),bare_mean,green_mean,non_green_mean,bare5percentile,bare20percentile,bare50percentile,bare80percentile,bare95percentile,green5percentile,green20percentile,green50percentile,green80percentile,green95percentile,nongreen5percentile,nongreen20percentile,nongreen50percentile,nongreen80percentile,nongreen95percentile
1988-01,12,57.844612753481556,12.932062561094819,27.952380952380953,53,55,58,60,62,9,11,13,15,18,24,26,28,30,31,
1988-02,0,,,,,,,,,,,,,,,,,,,
1988-03,134,,,,,,,,,,,,,,,,,,,
1988-04,27,56.968498168498165,13.676434676434676,28.0888671875,52,54,57,60,62,8,10,14,17,20,23,26,28,30,32,
1988-05,28,,,,,,,,,,,,,,,,,,,
1988-06,2,,,,,,,,,,,,,,,,,,,
1988-07,8,34.119082479258175,35.04879238838741,29.38217338217338,27,30,33,39,43,30,32,35,38,41,24,27,29,32,38,
1988-08,5,,,,,,,,,,,,,,,,,,,
1988-09,3,,,,,,,,,,,,,,,,,,,
1988-10,2,42.302371058420924,19.37973137973138,36.637362637362635,36,39,41,46,51,16,17,19,21,23,30,34,37,39,41,
1988-11,24,,,,,,,,,,,,,,,,,,,
1988-12,90,,,,,,,,,,,,,,,,,,,
1989-01,3,44.18803418803419,28.243282852955545,26.09619140625,39,41,44,47,50,24,26,28,30,32,21,24,26,28,30,
1989-02,1,,,,,,,,,,,,,,,,,,,
1989-03,162,,,,,,,,,,,,,,,,,,,
1989-04,19,21.748779296875,40.05734504636408,36.58119658119658,16,18,21,26,29,34,37,39,44,47,30,33,36,40,45,
1989-05,9,,,,,,,,,,,,,,,,,,,
1989-06,0,,,,,,,,,,,,,,,,,,,
1989-07,6,41.841796875,16.186813186813186,40.56103515625,37,39,42,44,46,12,14,16,18,20,35,37,40,44,46,
1989-08,3,,,,,,,,,,,,,,,,,,,
1989-09,0,,,,,,,,,,,,,,,,,,,
1989-10,1,46.656898656898655,12.98583984375,38.833943833943835,40,44,47,50,52,8,11,13,15,17,33,35,37,43,49,
1989-11,24,,,,,,,,,,,,,,,,,,,
1989-12,24,,,,,,,,,,,,,,,,,,,
1990-01,41,,,,,,,,,,,,,,,,,,,
1990-02,2,,,,,,,,,,,,,,,,,,,
1990-03,6,,,,,,,,,,,,,,,,,,,
1990-04,14,46.4013671875,12.984126984126984,38.877197265625,37,40,47,50,54,9,11,13,15,16,32,34,38,44,48,
1990-05,92,,,,,,,,,,,,,,,,,,,
1990-06,0,,,,,,,,,,,,,,,,,,,
1990-07,0,39.44444444444444,20.797313797313798,38.08791208791209,33,36,40,43,45,17,19,21,23,25,33,35,38,41,44,
