,0,1
0,VCAAUA0003,1
1,WAAGES0001,1
2,QDAEIU0003,1
3,SAAEYB0031,1
4,SAASTP0016,1
5,WAAPIL0015,1
6,NSABHC0019,1
7,QDACYP0001,1
8,SATFLB0014,1
9,WAADAL0005,1
10,WAACOO0005,1
11,NTASTU0003,1
12,QDAMGD0004,1
13,WAAYAL0002,1
14,SAASTP0013,1
15,SATSTP0004,1
16,WAAHAM0002,1
17,WAAMUR0030,1
18,NTAGFU0012,1
19,NSABHC0013,1
20,QDAGUP0014,1
21,QDAMGD0006,1
22,NSABBS0004,1
23,NSABHC0028,1
24,NTASTU0004,1
25,SATSTP0007,1
26,QDACYP0012,1
27,SAAMDD0009,1
28,SAASTP0027,1
29,TCATCH0012,1
30,SAASTP0005,1
31,NTAGFU0037,1
32,WAAVIB0004,1
33,QDACYP0008,1
34,WAANOK0007,1
35,WAAHAM0001,1
36,NTAGFU0026,1
37,WAACOO0020,1
38,WAACOO0025,1
39,NTASSD0009,1
40,NSAMDD0008,1
41,VCAMDD0002,1
42,WAAPIL0024,1
43,QDAGUP0018,1
44,NTAARP0003,1
45,SAAFLB0006,1
46,WAAGAS0002,1
47,SASMDD0011,1
48,VCAAUA0012,1
49,SAAEYB0026,1
50,NSABBS0005,1
51,QDAMGD0014,1
52,NSAMDD0009,1
53,QDAEIU0010,1
54,SAASTP0004,1
55,WAAGSD0001,1
56,NSTSYB0007,1
57,SAASTP0021,1
58,NTASSD0004,1
59,NSABHC0002,1
60,QDAMGD0025,1
61,SAAEYB0022,1
62,WAAPIL0023,1
63,WAAPIL0017,1
64,NSABHC0001,1
65,QDACYP0006,1
66,QDAGUP0006,1
67,SAAGAW0004,1
68,TCABEL0001,1
69,NTAGFU0004,1
70,NTAGFU0021,1
71,NTAPCK0002,1
72,SAAEYB0012,1
73,SAAFLB0005,1
74,SAASTP0033,1
75,NTAPCK1010,1
76,QDAEIU0006,1
77,WAANOK0002,1
78,QDACYP0005,1
79,WAANUL0006,1
80,NTAARP0001,1
81,NTAARP0002,1
82,QDACYP0007,1
83,SATFLB0016,1
84,SAAKAN0009,1
85,NSAMDD0010,1
86,NSANSS0001,1
87,NTAGFU0029,1
88,SAANUL0001,1
89,QDAEIU0008,1
90,WAAPIL0029,1
91,NTAGFU0007,1
92,QDASSD0005,1
93,QDAGUP0029,1
94,NTAMGD0003,1
95,QDABBN0002,1
96,NSABHC0010,1
97,QDACYP0019,1
98,NTAFIN0033,1
99,NSABHC0025,1
100,NSAMDD0014,1
101,QDAMGD0027,1
102,WAACOO0029,1
103,WAAPIL0019,1
104,NSABHC0029,1
105,QDAMGD0010,1
106,NTAPCK0003,1
107,SAASTP0029,1
108,WAACAR0001,1
109,WAAPIL0021,1
110,NTAMAC0003,1
111,SASMDD0004,1
112,WAANOK0005,1
113,NSTSYB0006,1
114,NTTMGD0001,1
115,SASMDD0009,1
116,QDABBS0004,1
117,WAAMAL0002,1
118,QDAMGD0022,1
119,NTADAC0001,1
120,QDAGUP0008,1
121,NTAPCK0005,1
122,QDACYP0015,1
123,NSTSYB0008,1
124,NTASSD0006,1
125,QDABBS0010,1
126,SAASTP0017,1
127,QDAMGD0003,1
128,WAAJAF0002,1
129,WAAMUR0004,1
130,WAAPIL0007,1
131,NTAGFU0008,1
132,QDABBS0008,1
133,WAAPIL0011,1
134,NSAMDD0012,1
135,SATFLB0022,1
136,QDADEU0001,1
137,SASMDD0013,1
138,QDACYP0013,1
139,WAAAVW0006,1
140,NSAMDD0011,1
141,NTAPCK2013,1
142,QDASSD0015,1
143,SAAEYB0011,1
144,NSAMDD0021,1
145,SAABHC0003,1
146,NTTSTU0001,1
147,NSANAN0002,1
148,NSABHC0011,1
149,QDASSD0006,1
150,NTAFIN0012,1
151,VCAAUA0005,1
152,WAAMUR0028,1
153,QDACHC0003,1
154,SAAFLB0031,1
155,TCATNM0001,1
156,SATSTP0006,1
157,NTAGFU0015,1
158,NTAGFU0005,1
159,NTAGFU0028,1
160,NTAFIN0019,1
161,SAARIV0007,1
162,QDAGUP0017,1
163,NTASTU0005,1
164,NTAGFU0032,1
165,SAAEYB0027,1
166,SAAEYB0033,1
167,WAAPIL0006,1
168,SATFLB0026,1
169,NTASSD0013,1
170,QDAGUP0010,1
171,NTAFIN0022,1
172,SAAFLB0003,1
173,WAANUL0003,1
174,SAASTP0010,1
175,NTAGFU0030,1
176,WAAPIL0030,1
177,SAAGVD0004,1
178,WAAPIL0013,1
179,SAAEYB0010,1
180,NTAFIN0018,1
181,SASMDD0018,1
182,NSABHC0003,1
183,NTAFIN0029,1
184,NTATAN0001,1
185,TCATNM0004,1
186,SAAGAW0008,1
187,WAACAR0003,1
188,NTAFIN0003,1
189,WAGCOO0004,1
190,NSAMDD0022,1
191,QDACYP0010,1
192,SATSTP0005,1
193,QDACHC0002,1
194,WAASWA0001,1
195,QDAGUP0002,1
196,SAASTP0031,1
197,SATFLB0021,1
198,WAACOO0018,1
199,SAAMDD0010,1
200,NTAFIN0026,1
201,SASRIV0001,1
202,NTAGFU0016,1
203,SAAKAN0002,1
204,SATFLB0010,1
205,NTTDMR0003,1
206,WAAMUR0031,1
207,SASMDD0003,1
208,NSTSYB0003,1
209,QDAMGD0018,1
210,WAACOO0012,1
211,WAAPIL0012,1
212,TCATNM0005,1
213,NTAFIN0031,1
214,SAASTP0023,1
215,NTAGFU0001,1
216,QDAMUL0001,1
217,QDASSD0002,1
218,SASMDD0005,1
219,SAAEYB0028,1
220,NTAFIN0023,1
221,NSAMDD0032,1
222,SAAEYB0023,1
223,WAANUL0001,1
224,WAAYAL0006,1
225,WAAMAL0001,1
226,NTAGFU0027,1
227,NTAPCK0004,1
228,QDASEQ0004,1
229,NTAPCK2014,1
230,WAAPIL0008,1
231,QDACYP0004,1
232,SAAEYB0030,1
233,QDAGUP0027,1
234,NSAMDD0002,1
235,WAANOK0004,1
236,SAAEYB0032,1
237,QDAGUP0012,1
238,SAASTP0008,1
239,VCAMDD0003,1
240,NTAFIN0010,1
241,WAACOO0030,1
242,NTABRT0002,1
243,NSACHC0004,1
244,NTAFIN0025,1
245,SAAEYB0013,1
246,SAAEYB0024,1
247,QDASSD0013,1
248,VCAAUA0002,1
249,QDASSD0010,1
250,SASMDD0008,1
251,NTABRT0005,1
252,NTABRT0006,1
253,NSAMDD0023,1
254,QDABBS0007,1
255,SASMDD0012,1
256,SATSTP0008,1
257,NSABHC0004,1
258,QDACHC0007,1
259,WAADAL0003,1
260,SAASTP0026,1
261,NSABHC0026,1
262,NTTDMR0001,1
263,QDASSD0014,1
264,WAAAVW0005,1
265,WAAJAF0001,1
266,SAASTP0006,1
267,SAAGAW0007,1
268,SAAEYB0003,1
269,NTAFIN0015,1
270,SAARIV0008,1
271,WAAPIL0004,1
272,WAAPIL0027,1
273,WAAPIL0031,1
274,QDASEQ0002,1
275,SAAEYB0009,1
276,WAANUL0004,1
277,WAACOO0022,1
278,VCAMDD0001,1
279,WAACOO0028,1
280,SASMDD0001,1
281,WAAMUR0029,1
282,NTAGFU0040,1
283,NTAFIN0016,1
284,SATFLB0017,1
285,NTAGFU0035,1
286,SATKAN0002,1
287,WAACOO0027,1
288,NSACHC0001,1
289,SAASTP0011,1
290,QDAGUP0030,1
291,NTAGFU0009,1
292,VCAAUA0007,1
293,SASMDD0017,1
294,WAAPIL0002,1
295,SAAGAW0002,1
296,SAAMDD0007,1
297,QDABBS0001,1
298,NSTSYB0005,1
299,WAAPIL0014,1
300,WAAHAM0005,1
301,WAAHAM0004,1
302,WAAMUR0005,1
303,QDABBS0006,1
304,SAAFLB0008,1
305,NTAPCK1009,1
306,NSABHC0024,1
307,SATFLB0013,1
308,SAASTP0034,1
309,NTAFIN0014,1
310,WAAGES0004,1
311,WAAMUR0003,1
312,NTAGFU0022,1
313,SAAGVD0001,1
314,NTABRT0004,1
315,SAASTP0014,1
316,SATSTP0002,1
317,NSAMUL0004,1
318,QDAMGD0028,1
319,WAADAL0002,1
320,QDAGUP0013,1
321,SAAMDD0008,1
322,WAANUL0005,1
323,WAAMAL0003,1
324,SAASTP0007,1
325,VCAAUA0011,1
326,NSACHC0003,1
327,NTAMGD0001,1
328,SAAMDD0011,1
329,SATSTP0001,1
330,WAAGES0003,1
331,QDACYP0003,1
332,SAABHC0005,1
333,WAALSD0003,1
334,WAACAR0004,1
335,QDAGUP0003,1
336,NSTSYB0001,1
337,NTASSD0016,1
338,SAAKAN0003,1
339,NTAPCK0007,1
340,WAAMUR0007,1
341,NTASSD0015,1
342,NTAGFU0036,1
343,NTADMR0002,1
344,NTAFIN0017,1
345,NTAFIN0032,1
346,NSAMDD0019,1
347,NTAGFU0034,1
348,NTASSD0001,1
349,WAAPIL0003,1
350,SAAKAN0010,1
351,WAAPIL0025,1
352,QDAMGD0026,1
353,QDAGUP0004,1
354,TCATNM0002,1
355,WAASWA0004,1
356,WAACOO0031,1
357,VCAAUA0008,1
358,WAANOK0006,1
359,NSAMDD0006,1
360,SAASTP0002,1
361,NSABBS0006,1
362,WAAESP0001,1
363,QDABBS0005,1
364,QDAMGD0020,1
365,NTAFIN0013,1
366,NSABBS0001,1
367,QDAMGD0015,1
368,SATFLB0018,1
369,QDAGUP0015,1
370,SAANUL0003,1
371,QDAMGD0011,1
372,TCABEL0003,1
373,WAAPIL0033,1
374,NTAGFU0011,1
375,NSAMDD0003,1
376,QDACYP0018,1
377,SAAFLB0004,1
378,QDAGUP0021,1
379,QDAEIU0001,1
380,NSAMDD0031,1
381,SAARIV0005,1
382,SAASTP0030,1
383,SASMDD0006,1
384,NTAMAC0001,1
385,SAASTP0009,1
386,WAAGVD0001,1
387,TCATCH0003,1
388,SAABHC0006,1
389,NSABHC0020,1
390,QDAEIU0007,1
391,NTAFIN0009,1
392,SATFLB0027,1
393,WAAAVW0007,1
394,SATFLB0005,1
395,WAACOO0023,1
396,WAAPIL0035,1
397,NTABRT0001,1
398,NTAFIN0024,1
399,NSAMDD0001,1
400,NTASSD0003,1
401,SAARIV0006,1
402,WAASWA0002,1
403,WAAPIL0032,1
404,WAAPIL0010,1
405,NTABRT0007,1
406,NSABHC0018,1
407,QDABBN0001,1
408,WAAJAF0003,1
409,QDAGUP0024,1
410,VCAAUA0006,1
411,SAAEYB0008,1
412,NTAGFU0025,1
413,SAASTP0020,1
414,NTAGFU0041,1
415,SATFLB0025,1
416,NTAGFU0002,1
417,QDAGUP0011,1
418,WAACAR0002,1
419,NSABHC0014,1
420,QDABBS0003,1
421,NTAFIN0030,1
422,NTABRT0008,1
423,SAAGAW0005,1
424,WAACOO0007,1
425,NTAFIN0011,1
426,SAABHC0002,1
427,SATFLB0020,1
428,SATKAN0003,1
429,QDAMGD0021,1
430,QDAMGD0017,1
431,WAACEK0003,1
432,QDACYP0017,1
433,WAAPIL0026,1
434,NTAARP0005,1
435,SAAGVD0003,1
436,NTAGFU0031,1
437,QDAMUL0003,1
438,NTAFIN0005,1
439,SAAGAW0003,1
440,TCATCH0009,1
441,NTAGFU0018,1
442,NSABHC0005,1
443,QDASEQ0001,1
444,SATKAN0001,1
445,WAAMUR0006,1
446,QDAMGD0008,1
447,SAABHC0001,1
448,NTAGFU0024,1
449,QDAGUP0022,1
450,VCAAUA0004,1
451,VCAAUA0014,1
452,WAACEK0001,1
453,NSAMDD0025,1
454,WAAPIL0016,1
455,NTAGFU0014,1
456,SATFLB0001,1
457,NTASTU0002,1
458,NTAFIN0021,1
459,NTASTU0001,1
460,NSABHC0008,1
461,NTASSD0011,1
462,SAARIV0002,1
463,SATFLB0019,1
464,NTAGFU0019,1
465,NSABHC0009,1
466,NTAMGD0002,1
467,WAAPIL0020,1
468,SATFLB0023,1
469,WAANUL0008,1
470,SATFLB0015,1
471,NTAPCK1012,1
472,SAAKAN0001,1
473,SAAKAN0006,1
474,WAAYAL0005,1
475,SAAEYB0005,1
476,NTAGFU0033,1
477,SASRIV0002,1
478,WAAMUR0001,1
479,WAAHAM0006,1
480,NSAMDD0018,1
481,WAACOO0004,1
482,NTASSD0007,1
483,WAAPIL0001,1
484,VCAAUA0015,1
485,WAANOK0003,1
486,QDAMGD0007,1
487,SAASTP0032,1
488,SAAGAW0001,1
489,WAANOK0001,1
490,NSTSYB0009,1
491,SAANUL0004,1
492,WAAMUR0008,1
493,NSAMDD0016,1
494,SAARIV0001,1
495,QDAGUP0005,1
496,SAAEYB0006,1
497,SATKAN0004,1
498,QDACHC0006,1
499,NTAGFU0038,1
500,NTASSD0012,1
501,SAASTP0003,1
502,NTAFIN0020,1
503,QDAGUP0028,1
504,WAACOO0008,1
505,WAAVIB0003,1
506,WAAVIB0002,1
507,QDACYP0014,1
508,SAASTP0022,1
509,SAASTP0015,1
510,WAAPIL0028,1
511,QDAMGD0009,1
512,QDAMGD0013,1
513,NTAFIN0006,1
514,TCATCH0011,1
515,NSAMDD0028,1
516,NTASSD0017,1
517,NTAFIN0001,1
518,QDAGUP0031,1
519,QDAEIU0009,1
520,WAAAVW0001,1
521,NTAGFU0013,1
522,QDACHC0004,1
523,SATFLB0009,1
524,NSACHC0002,1
525,QDASSD0004,1
526,NSAMDD0026,1
527,TCATNM0003,1
528,SAAEYB0021,1
529,NSAMDD0005,1
530,WAACOO0021,1
531,NTAGFU0023,1
532,TCATCH0001,1
533,NSABHC0006,1
534,SATFLB0004,1
535,WAACOO0017,1
536,VCAAUA0010,1
537,SAAEYB0004,1
538,NTASSD0005,1
539,WAAGAS0001,1
540,SAAKAN0007,1
541,WAADAL0004,1
542,NTAFIN0028,1
543,VCAAUA0001,1
544,NTAPCK1011,1
545,SAAEYB0002,1
546,WAAMUR0002,1
547,QDACYP0011,1
548,QDASSD0008,1
549,SAASTP0018,1
550,NTADMR0001,1
551,QDAEIU0002,1
552,WAAYAL0004,1
553,QDAEIU0005,1
554,NSTSYB0002,1
555,TCATCH0008,1
556,WAAGES0002,1
557,NTAFIN0027,1
558,SATFLB0024,1
559,WAAVIB0001,1
560,NSAMDD0015,1
561,TCABEL0002,1
562,WAACOO0016,1
563,SAAEYB0029,1
564,NSAMUL0003,1
565,WAACOO0006,1
566,QDASSD0009,1
567,SAAFLB0007,1
568,NSABHC0016,1
569,TCATCH0006,1
570,WAASWA0003,1
571,NTTDMR0002,1
572,QDAMGD0001,1
573,NTASSD0008,1
574,QDASSD0007,1
575,SATEYB0002,1
576,NTTDAB0001,1
577,WAAAVW0004,1
578,NTAMGD0004,1
579,NTAGFU0003,1
580,NTAPCK0001,1
581,QDASSD0001,1
582,NTABRT0003,1
583,NTAARP0004,1
584,NTASSD0010,1
585,WAACOO0009,1
586,QDACYP0016,1
587,QDACYP0020,1
588,NTATAN0004,1
589,QDAGUP0026,1
590,QDAMGD0012,1
591,NSANAN0001,1
592,NSABHC0012,1
593,SAASTP0025,1
594,QDAMGD0024,1
595,WAACOO0003,1
596,SAAKAN0008,1
597,WAAPIL0022,1
598,SAAKAN0005,1
599,TCATCH0010,1
600,SATFLB0011,1
601,WAALSD0002,1
602,QDAGUP0001,1
603,QDAMGD0005,1
604,NSAMDD0027,1
605,QDAGUP0009,1
606,NSAMUL0001,1
607,QDACYP0021,1
608,WAAHAM0003,1
609,QDAGUP0016,1
610,QDASSD0012,1
611,NSTSYB0004,1
612,SAAGAW0006,1
613,QDAMUL0002,1
614,SAASTP0001,1
615,NTAMAC0002,1
616,WAAPIL0009,1
617,QDAMGD0019,1
618,NTAGFU0017,1
619,SAARIV0003,1
620,SAAEYB0007,1
621,QDASSD0011,1
622,QDAEIU0004,1
623,SAASTP0012,1
624,QDABBS0009,1
625,QDASEQ0003,1
626,SAANUL0002,1
627,QDACYP0024,1
628,NSANSS0002,1
629,NSAMDD0024,1
630,WAANUL0007,1
631,SATFLB0002,1
632,NSAMDD0004,1
633,WAACOO0032,1
634,QDAMGD0002,1
635,NSTNSS0001,1
636,NSABBS0003,1
637,WAAGES0005,1
638,NSAMDD0020,1
639,WAAAVW0002,1
640,QDAMII0001,1
641,SAARIV0004,1
642,SAABHC0004,1
643,QDABBS0002,1
644,NTTPCK0001,1
645,WAANUL0009,1
646,SAAFLB0030,1
647,WAACEK0002,1
648,QDACHC0005,1
649,TCATCH0007,1
650,WAACOO0024,1
651,WAACOO0026,1
652,NTATAN0002,1
653,NTAGFU0010,1
654,SATFLB0028,1
655,NSAMDD0030,1
656,SAAKAN0004,1
657,WAANUL0002,1
658,WAACOO0019,1
659,NSAMDD0013,1
660,NTAGFU0039,1
661,WAGCOO0002,1
662,SAAEYB0025,1
663,WAGCOO0001,1
664,SATFLB0006,1
665,NTAFIN0008,1
666,VCAAUA0009,1
667,SAAKAN0012,1
668,SATFLB0012,1
669,QDAGUP0023,1
670,QDAMGD0016,1
671,WAANOK0008,1
672,NTAFIN0007,1
673,NSABHC0021,1
674,SATFLB0008,1
675,NTAFIN0002,1
676,QDASSD0003,1
677,SAASTP0028,1
678,QDAMGD0023,1
679,NSAMDD0017,1
680,NTATAN0003,1
681,SASMDD0002,1
682,SATSTP0003,1
683,QDACYP0002,1
684,WAAPIL0034,1
685,QDAGUP0007,1
686,WAAAVW0003,1
687,NTASSD0019,1
688,NTAMGD0005,1
689,SAARIV0009,1
690,NSAMDD0029,1
691,NSACOP0001,1
692,QDACYP0023,1
693,TCATCH0002,1
694,WAAPIL0018,1
695,NSANET0001,1
696,NSABHC0022,1
697,WAACOO0010,1
698,WAADAL0001,1
699,SATFLB0003,1
700,VCAAUA0013,1
701,NTASSD0014,1
702,QDACHC0001,1
703,NSABHC0007,1
704,NTASSD0018,1
705,SAASTP0019,1
706,NTAPCK0006,1
707,WAAPIL0005,1
708,QDAGUP0019,1
709,SATFLB0007,1
710,QDACYP0009,1
711,SASMDD0016,1
712,TCATNM0006,1
713,WAALSD0001,1
714,SAAGVD0002,1
715,NSACOP0002,1
716,NSABHC0015,1
717,NTADAC0002,1
718,WAACOO0011,1
719,NSAMUL0002,1
720,NTAFIN0004,1
721,SAASTP0024,1
722,TCATCH0005,1
723,WAAYAL0007,1
724,NSAMDD0007,1
725,WAACOO0001,1
726,NSABHC0017,1
727,NSABHC0023,1
728,SASMDD0014,1
729,NTAGFU0020,1
730,NTTDAC0001,1
731,QDACYP0022,1
732,QDAMII0002,1
733,SATEYB0001,1
734,TCATCH0004,1
735,WAAYAL0008,1
736,NTAGFU0006,1
737,NSABBS0002,1
