,Gini_importance
fire_severity,0.0
tmax_lag,0.003496190849300583
tmin_lag,0.003541482758031491
tmax_7,0.0036520437920288537
VPD_lag,0.004097415484830222
tmax_14,0.004108776695523734
tmin_7,0.0045827452507301945
tmin_14,0.00472718135535761
tmax_30,0.005135474687066524
tmin_30,0.006023232499338011
shrub,0.006660135841387039
VPD_7,0.006867776402902104
VPD_14,0.008202963995725449
photoperiod_gradient,0.009259833433792242
days_since_fire,0.009490241313225404
DER_000_999,0.011208629814175038
photoperiod,0.01226182759308115
tree,0.013487829181847606
precip_1460,0.014126793662360696
SLGA_3,0.014302350596736619
VPD_30,0.014950796172339223
precip_180,0.016570022799894012
precip_30,0.017007142596189375
precip_1095,0.018404023419470023
precip_365,0.019035804600529466
precip_730,0.030426882105403598
MAT,0.03895636061538369
grass,0.03896310802910937
SLGA_1,0.04162502929834296
CO2,0.04975856570112423
SLGA_2,0.06813248424971671
precip_90,0.07349918198551857
MAP,0.42743767321953824
